Median and Average Sales Price of Houses Sold by Type of Financing,,,,,,,,,,,,
,,,,,,,,,,,,
Period,Median Sales Price,,,,,,Average Sales Price,,,,,
,Total Sold,Type of Financing ,,,,,,Type of Financing ,,,,
,,Conven-,FHA ,VA,Rural,Cash,Total,Conven-,FHA ,VA,Rural,Cash
,,tional1,Insured,Guaranteed,Hous. Serv.,,,tional1,Insured,Guaranteed,Hous. Serv.,
1988,"112,500","135,000","80,000","87,000","45,800","108,400","138,300","159,500","82,000","92,200","52,000","128,100"
1989,"120,000","145,000","82,000","89,000","42,500","112,000","148,800","173,100","84,700","97,800","48,500","144,000"
1990,"122,900","147,700","82,700","91,500","48,000","117,100","149,800","173,900","86,500","103,800","57,300","149,300"
1991,"120,000","142,400","84,500","92,400","46,000","120,000","147,200","169,400","87,700","103,200","57,700","142,300"
1992,"121,500","138,000","86,500","99,000","46,500","116,500","144,100","161,100","89,900","107,000","51,500","137,100"
1993,"126,500","140,000","90,900","100,900","49,900","120,700","147,700","162,700","95,500","108,600","58,600","148,700"
1994,"130,000","145,000","95,000","105,400","54,500","125,500","154,500","169,100","101,000","111,400","59,700","153,000"
1995,"133,900","148,500","95,900","107,000","71,000","127,000","158,700","173,800","100,700","112,800","75,700","154,900"
1996,"140,000","155,000","99,900","108,000","76,800","140,000","166,400","182,100","105,700","112,600","84,100","169,600"
1997,"146,000","160,800","106,000","116,000","84,900","143,900","176,200","191,700","108,000","117,500","88,600","176,700"
1998,"152,500","167,000","109,000","129,000","89,000","150,000","181,900","195,100","111,100","130,000","92,800","198,800"
1999,"161,000","177,700","115,900","127,400","91,800","155,600","195,600","212,500","119,400","131,400","99,500","197,300"
2000,"169,000","188,000","121,000","139,400","84,300","161,100","207,000","224,500","122,300","140,100","90,100","216,000"
2001,"175,200","194,900","122,700","139,400","88,100","176,800","213,200","231,900","127,500","140,300","108,800","213,400"
2002,"187,600","206,900","127,900","144,200","94,600","195,600","228,700","246,300","132,900","147,300","106,700","232,800"
2003,"195,000","215,700","128,200","150,900","100,900","184,500","246,300","263,600","133,100","155,400","106,800","256,100"
2004,"221,000","238,100","130,100","149,900","101,000","199,900","274,500","290,500","133,900","158,700","121,100","245,800"
2005,"240,900","252,200","134,900","161,500","104,700","221,000","297,000","307,500","140,000","175,300","108,300","284,600"
2006,"246,500","258,400","146,200","184,900","145,100","246,900","305,900","316,900","160,100","195,700","137,200","301,800"
2007,"247,900","258,500","151,700","187,700","139,700","249,400","313,600","320,000","161,900","199,700","148,700","342,900"
2008,"232,100","250,600","185,800","193,200",(NA),"257,500","292,600","314,100","204,600","208,900",(NA),"322,500"
2009,"216,700","239,900","182,700","204,100",(NA),"262,900","270,900","298,700","202,400","225,500",(NA),"324,600"
2010,"221,800","252,800","186,900","210,100",(NA),"244,700","272,900","306,100","206,900","229,300",(NA),"318,800"
2011,"227,200","244,700","191,700","216,900",(NA),"232,100","267,900","288,000","212,600","235,400",(NA),"282,700"
2012,"245,200","270,800","200,000","228,700",(NA),"253,700","292,200","321,100","220,500","249,600",(NA),"305,200"
2013,"268,900","287,200","205,300","254,000",(NA),"280,400","324,500","348,200","231,200","276,800",(NA),"358,200"
2014,"288,500","306,000","213,000","261,600",(NA),"304,300","347,700","364,600","230,700","288,500",(NA),"398,400"
2015,"294,200","321,700","223,600","260,500",(NA),"322,700","352,700","380,100","243,100","290,100",(NA),"399,000"
2016,"307,800","339,000","216,600","283,300",(NA),"325,100","360,900","392,200","236,100","304,300",(NA),"403,500"
2017,"323,100","351,300","234,500","296,800",(NA),"349,200","384,900","415,700","254,900","317,400",(NA),"418,700"
2018,"326,400","362,500","249,500","294,500",(NA),"342,900","385,000","417,700","263,500","321,000",(NA),"411,100"
2019,"321,500","353,700","241,200","327,300",(NA),"335,400","383,900","414,500","258,400","359,000",(NA),"411,600"
2020,"336,900","370,600","254,600","348,100",(NA),"336,000","391,900","418,000","268,400","375,600",(NA),"441,000"
,,,,,,,,,,,,
,,,,,,,,,,,,
"1Includes houses reporting other types of financing. Beginning in 2008, also includes Rural Housing Service.",,,,,,,,,,,,
