Median and Average Sales Price of Houses Sold by Type of Financing,,,,,,,,,,,,
,,,,,,,,,,,,
Period,Median Sales Price,,,,,,Average Sales Price,,,,,
,Total Sold 1,Type of Financing ,,,,,,Type of Financing ,,,,
,,Conven-,FHA ,VA,Rural,Cash,Total 1,Conven-,FHA ,VA,Rural,Cash
,,tional 2,Insured,Guaranteed,Hous. Serv.,,,tional 2,Insured,Guaranteed,Hous. Serv.,
1988Q1,"110,000","135,000","79,500","84,500",(S),"105,500","137,900","161,300","80,400","89,600",(S),"127,100"
1988Q2,"110,000","134,200","81,000","88,000",(S),"105,000","134,800","156,300","82,200","93,100",(S),"120,900"
1988Q3,"115,000","137,000","82,000","81,800","45,800","113,400","141,500","162,100","83,000","91,500","45,700","130,600"
1988Q4,"113,900","133,600","79,500","88,000","45,000","110,500","140,400","160,400","82,600","93,500","47,500","135,600"
1989Q1,"118,000","140,000","84,100","93,500","35,000","112,500","144,300","164,200","87,100","102,300","40,100","155,500"
1989Q2,"118,900","141,300","82,000","87,300","45,000","103,000","146,800","171,700","83,600","95,200","48,100","130,400"
1989Q3,"120,000","146,500","81,000","86,500","44,500","114,500","150,200","176,200","83,400","94,900","52,400","151,500"
1989Q4,"124,800","150,000","81,500","87,500",(S),"114,000","151,200","178,000","84,600","99,100",(S),"132,800"
1990Q1,"123,900","149,000","82,000","92,000","44,000","120,000","149,500","174,200","84,800","102,200","52,100","158,700"
1990Q2,"126,800","150,000","81,400","89,600","50,500","120,000","151,200","174,600","85,800","107,400","69,300","156,600"
1990Q3,"117,000","139,900","83,000","90,000","51,000","116,000","145,500","166,700","87,600","98,700","49,500","140,600"
1990Q4,"121,500","150,000","85,000","98,000","50,000","111,900","150,100","178,800","89,100","107,900","57,600","135,300"
1991Q1,"120,000","152,000","86,000","93,500","55,000","119,700","151,100","184,300","88,200","102,600","53,400","142,400"
1991Q2,"119,900","142,800","83,500","94,000","43,000","116,000","148,200","170,000","86,200","104,800","56,100","137,900"
1991Q3,"120,000","139,000","84,500","94,000","46,000","119,000","145,400","162,900","87,200","105,100","63,100","145,600"
1991Q4,"120,000","140,000","84,000","89,000","43,000","129,000","144,400","162,200","89,400","99,500","66,300","140,500"
1992Q1,"119,500","137,000","87,000","104,000","46,500","120,000","144,500","163,800","94,000","110,200","47,200","130,900"
1992Q2,"120,000","139,000","85,000","94,400","46,900","100,400","145,300","164,500","88,400","102,100","52,700","130,000"
1992Q3,"120,000","135,000","86,500","100,000","45,000","120,000","141,700","156,900","87,700","107,400","53,100","137,900"
1992Q4,"126,000","139,000","87,200","100,000","46,500","118,000","147,200","161,100","91,300","106,700","49,600","152,000"
1993Q1,"125,000","137,000","86,900","101,100","48,900","119,900","144,700","160,700","92,000","110,400","53,700","146,000"
1993Q2,"127,000","143,400","93,000","105,000","54,000","119,800","148,900","164,900","96,400","110,100","53,500","146,400"
1993Q3,"127,000","144,000","91,000","100,900","48,000","120,700","148,000","164,100","95,400","108,400","60,300","146,700"
1993Q4,"127,000","136,600","92,000","96,300","49,900","129,500","148,300","159,600","98,000","105,100","56,000","150,700"
1994Q1,"130,000","145,900","94,900","107,400",(S),"115,000","153,600","169,500","98,400","112,000",(S),"154,300"
1994Q2,"130,000","145,000","96,900","105,400","57,200","129,200","154,200","168,500","100,100","109,400","59,600","155,100"
1994Q3,"129,700","144,500","94,900","110,000","52,000","117,700","152,800","167,800","98,600","114,000","58,300","149,400"
1994Q4,"132,000","142,000","94,000","98,000","54,500","136,000","156,100","168,600","107,600","110,300","62,200","156,100"
