Median and Average Sales Price of Houses Sold by Region,,,,,,,,,,
,,,,,,,,,,
,Median sales price,,,,,Average sales price,,,,
Period,United ,Northeast,Midwest,South,West,United ,Northeast,Midwest,South,West
,States 1 ,,,,,States 1 ,,,,
1963Q1,"17,800","20,800","17,500","16,800","18,000","19,300",(NA),(NA),(NA),(NA)
1963Q2,"18,000","20,600","17,700","15,800","18,900","19,400",(NA),(NA),(NA),(NA)
1963Q3,"17,900","19,600","17,800","15,900","19,000","19,200",(NA),(NA),(NA),(NA)
1963Q4,"18,500","20,600","19,100","15,800","19,500","19,600",(NA),(NA),(NA),(NA)
1964Q1,"18,500","20,300","18,700","16,500","19,600","19,600",(NA),(NA),(NA),(NA)
1964Q2,"18,900","19,800","19,800","16,800","20,100","20,200",(NA),(NA),(NA),(NA)
1964Q3,"18,900","20,200","18,900","16,800","20,600","20,500",(NA),(NA),(NA),(NA)
1964Q4,"19,400","21,400","20,800","16,700","21,500","20,900",(NA),(NA),(NA),(NA)
1965Q1,"20,200","21,000","21,900","17,400","21,600","21,500",(NA),(NA),(NA),(NA)
1965Q2,"19,800","21,900","20,800","16,400","22,100","21,000",(NA),(NA),(NA),(NA)
1965Q3,"20,200","21,200","22,100","17,700","21,500","21,600",(NA),(NA),(NA),(NA)
1965Q4,"20,300","23,100","21,100","18,100","22,400","21,700",(NA),(NA),(NA),(NA)
1966Q1,"21,000","23,700","22,500","17,800","23,300","22,700",(NA),(NA),(NA),(NA)
1966Q2,"22,100","23,700","23,300","18,800","23,800","23,200",(NA),(NA),(NA),(NA)
1966Q3,"21,500","23,700","24,100","18,200","22,500","23,000",(NA),(NA),(NA),(NA)
1966Q4,"21,400","23,400","23,700","18,900","22,800","22,800",(NA),(NA),(NA),(NA)
1967Q1,"22,300","23,800","23,000","18,900","24,700","24,000",(NA),(NA),(NA),(NA)
1967Q2,"23,300","25,400","25,900","19,400","24,700","24,200",(NA),(NA),(NA),(NA)
1967Q3,"22,500","25,600","24,100","19,400","23,600","23,900",(NA),(NA),(NA),(NA)
1967Q4,"22,900","27,500","26,900","19,600","23,300","24,400",(NA),(NA),(NA),(NA)
1968Q1,"23,900","26,600","26,900","19,800","24,700","25,400",(NA),(NA),(NA),(NA)
1968Q2,"24,900","26,900","28,200","22,000","25,500","26,700",(NA),(NA),(NA),(NA)
1968Q3,"24,800","27,800","26,800","21,700","25,500","26,600",(NA),(NA),(NA),(NA)
1968Q4,"25,600","29,900","27,700","22,400","24,800","27,000",(NA),(NA),(NA),(NA)
1969Q1,"25,700","31,500","27,300","23,100","24,800","27,600",(NA),(NA),(NA),(NA)
1969Q2,"25,900","32,100","28,700","23,300","25,600","28,100",(NA),(NA),(NA),(NA)
1969Q3,"25,900","31,300","28,700","23,000","25,400","28,100",(NA),(NA),(NA),(NA)
1969Q4,"24,900","30,500","26,400","21,100","25,500","27,100",(NA),(NA),(NA),(NA)
1970Q1,"23,900","32,000","28,500","20,000","23,800","27,000",(NA),(NA),(NA),(NA)
1970Q2,"24,400","33,100","25,000","21,100","24,700","27,300",(NA),(NA),(NA),(NA)
1970Q3,"23,000","26,800","23,800","20,400","24,200","26,000",(NA),(NA),(NA),(NA)
1970Q4,"22,600","29,200","22,700","20,000","23,600","26,300",(NA),(NA),(NA),(NA)
1971Q1,"24,300","31,000","27,100","21,300","24,700","27,300",(NA),(NA),(NA),(NA)
1971Q2,"25,800","30,500","27,800","22,700","26,200","28,600",(NA),(NA),(NA),(NA)
1971Q3,"25,300","30,900","27,600","22,900","25,300","28,300",(NA),(NA),(NA),(NA)
1971Q4,"25,500","31,300","26,200","23,200","25,600","28,200",(NA),(NA),(NA),(NA)
1972Q1,"26,200","31,900","28,300","23,900","26,200","29,000",(NA),(NA),(NA),(NA)
1972Q2,"26,800","31,100","28,400","25,200","26,300","29,400",(NA),(NA),(NA),(NA)
1972Q3,"27,900","29,400","30,200","26,600","28,300","30,300",(NA),(NA),(NA),(NA)
1972Q4,"29,200","33,800","30,800","27,500","28,800","31,600",(NA),(NA),(NA),(NA)
1973Q1,"30,200","35,100","31,500","29,100","29,600","32,800",(NA),(NA),(NA),(NA)
1973Q2,"32,700","38,400","32,200","30,900","32,800","35,100",(NA),(NA),(NA),(NA)
1973Q3,"33,500","36,900","33,500","32,200","33,600","35,900",(NA),(NA),(NA),(NA)
1973Q4,"34,000","38,600","35,000","32,100","33,900","36,600",(NA),(NA),(NA),(NA)
1974Q1,"35,200","38,600","35,200","34,800","34,400","38,000",(NA),(NA),(NA),(NA)
1974Q2,"35,600","39,500","36,000","33,600","36,100","38,600",(NA),(NA),(NA),(NA)
1974Q3,"36,200","40,700","36,200","35,100","36,000","39,000",(NA),(NA),(NA),(NA)
1974Q4,"37,200","44,000","37,500","34,900","37,200","39,300",(NA),(NA),(NA),(NA)
1975Q1,"38,100","44,000","37,400","36,700","38,500","40,900","47,300","41,800","38,000","42,300"
1975Q2,"39,000","43,400","39,700","36,800","40,400","42,600","46,400","44,000","39,800","43,600"
1975Q3,"38,800","44,400","39,300","36,500","39,800","42,200","47,400","42,900","39,200","43,600"
1975Q4,"41,200","44,400","41,900","39,000","43,400","44,400","47,700","44,500","41,300","47,400"
1976Q1,"42,800","45,700","42,500","39,800","45,100","46,000","48,600","45,100","43,000","49,200"
1976Q2,"44,200","46,300","45,800","40,400","47,400","47,800","48,100","49,400","43,700","51,600"
1976Q3,"44,400","48,400","44,100","41,400","47,300","48,100","50,700","47,800","44,200","52,000"
1976Q4,"45,500","50,200","48,400","40,000","50,000","50,300","53,100","52,600","44,200","54,900"
1977Q1,"46,300","50,900","47,600","41,200","51,700","51,600","54,000","51,500","45,100","57,900"
1977Q2,"48,900","53,200","50,800","44,300","53,200","54,300","55,800","54,100","48,300","61,200"
1977Q3,"48,800","49,300","51,100","44,600","53,700","54,000","52,900","54,800","48,300","60,700"
1977Q4,"51,600","52,000","56,400","46,100","56,800","57,500","55,700","60,900","50,400","65,300"
1978Q1,"53,000","56,800","54,700","47,700","58,800","59,300","61,000","59,600","52,400","66,800"
1978Q2,"55,300","55,400","58,700","49,900","61,800","61,600","60,800","63,400","54,800","69,600"
1978Q3,"56,100","57,800","61,400","51,300","61,000","63,500","64,000","66,000","56,800","70,000"
1978Q4,"59,000","60,700","63,200","53,000","65,500","66,400","65,400","68,400","58,600","76,200"
