Houses For Sale by Region and Months'  Supply at Current Sales Rate,,,,,,,,
,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,
,,,,,,,,
,Not Seasonally adjusted,,,,,,Seasonally adjusted ,
,For sale at end of period,,,,,Months',,Months'
Period,,,,,,Supply,For sale at,Supply
,United,North-,Mid-,South,West,at Current,end of,at Current
,States,east,West,,,sales rate1,period,sales rate1
Jan 1963,234,(NA),(NA),(NA),(NA),5.6,235,4.7
Feb 1963,236,(NA),(NA),(NA),(NA),6.8,238,6.6
Mar 1963,246,(NA),(NA),(NA),(NA),5.6,242,6.4
Apr 1963,254,(NA),(NA),(NA),(NA),4.9,246,5.3
May 1963,254,(NA),(NA),(NA),(NA),4.4,248,5.1
Jun 1963,256,(NA),(NA),(NA),(NA),5.3,253,6.0
Jul 1963,251,(NA),(NA),(NA),(NA),4.1,254,4.6
Aug 1963,258,(NA),(NA),(NA),(NA),4.6,264,5.6
Sep 1963,249,(NA),(NA),(NA),(NA),5.1,257,5.4
Oct 1963,269,(NA),(NA),(NA),(NA),6.1,274,5.9
Nov 1963,260,(NA),(NA),(NA),(NA),6.6,258,5.5
Dec 1963,265,(NA),(NA),(NA),(NA),8.5,264,6.1
Jan 1964,261,(NA),(NA),(NA),(NA),6.7,261,5.8
Feb 1964,259,(NA),(NA),(NA),(NA),5.6,262,5.5
Mar 1964,267,(NA),(NA),(NA),(NA),5.1,263,5.8
Apr 1964,269,(NA),(NA),(NA),(NA),5.5,260,6.0
May 1964,272,(NA),(NA),(NA),(NA),5.2,266,6.2
Jun 1964,267,(NA),(NA),(NA),(NA),5.0,264,5.7
Jul 1964,260,(NA),(NA),(NA),(NA),4.8,263,5.5
Aug 1964,253,(NA),(NA),(NA),(NA),4.5,258,5.4
Sep 1964,248,(NA),(NA),(NA),(NA),5.1,256,5.4
Oct 1964,249,(NA),(NA),(NA),(NA),5.5,253,5.3
Nov 1964,251,(NA),(NA),(NA),(NA),6.7,249,5.6
Dec 1964,250,(NA),(NA),(NA),(NA),7.6,250,5.5
Jan 1965,248,(NA),(NA),(NA),(NA),6.5,248,5.6
Feb 1965,248,(NA),(NA),(NA),(NA),5.6,251,5.5
Mar 1965,246,(NA),(NA),(NA),(NA),4.7,243,5.4
Apr 1965,250,(NA),(NA),(NA),(NA),5.1,242,5.6
May 1965,243,(NA),(NA),(NA),(NA),4.5,238,5.3
Jun 1965,238,(NA),(NA),(NA),(NA),4.2,235,4.7
Jul 1965,232,(NA),(NA),(NA),(NA),4.5,235,5.2
Aug 1965,227,(NA),(NA),(NA),(NA),3.9,232,4.6
Sep 1965,224,(NA),(NA),(NA),(NA),4.7,231,4.9
Oct 1965,225,(NA),(NA),(NA),(NA),5.2,227,5.0
Nov 1965,234,(NA),(NA),(NA),(NA),5.6,231,4.6
Dec 1965,228,(NA),(NA),(NA),(NA),6.1,226,4.4
Jan 1966,227,(NA),(NA),(NA),(NA),5.4,228,4.7
Feb 1966,221,(NA),(NA),(NA),(NA),5.1,224,4.9
