Houses Sold by Region,,,,,,,,,,
,,,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,,,
,,,,,,,,,,
Period,Sold during period,,,,,,,,,
,Not seasonally adjusted,,,,,Seasonally adjusted annual rate,,,,
,United,North-,Mid-,South,West,United,North-,Mid-,South,West
,States,east,West,,,States,east,West,,
Jan 1963,42,(NA),(NA),(NA),(NA),591,(NA),(NA),(NA),(NA)
Feb 1963,35,(NA),(NA),(NA),(NA),464,(NA),(NA),(NA),(NA)
Mar 1963,44,(NA),(NA),(NA),(NA),461,(NA),(NA),(NA),(NA)
Apr 1963,52,(NA),(NA),(NA),(NA),605,(NA),(NA),(NA),(NA)
May 1963,58,(NA),(NA),(NA),(NA),586,(NA),(NA),(NA),(NA)
Jun 1963,48,(NA),(NA),(NA),(NA),526,(NA),(NA),(NA),(NA)
Jul 1963,62,(NA),(NA),(NA),(NA),665,(NA),(NA),(NA),(NA)
Aug 1963,56,(NA),(NA),(NA),(NA),570,(NA),(NA),(NA),(NA)
Sep 1963,49,(NA),(NA),(NA),(NA),590,(NA),(NA),(NA),(NA)
Oct 1963,44,(NA),(NA),(NA),(NA),567,(NA),(NA),(NA),(NA)
Nov 1963,39,(NA),(NA),(NA),(NA),579,(NA),(NA),(NA),(NA)
Dec 1963,31,(NA),(NA),(NA),(NA),514,(NA),(NA),(NA),(NA)
Jan 1964,39,(NA),(NA),(NA),(NA),549,(NA),(NA),(NA),(NA)
Feb 1964,46,(NA),(NA),(NA),(NA),609,(NA),(NA),(NA),(NA)
Mar 1964,53,(NA),(NA),(NA),(NA),562,(NA),(NA),(NA),(NA)
Apr 1964,49,(NA),(NA),(NA),(NA),559,(NA),(NA),(NA),(NA)
May 1964,52,(NA),(NA),(NA),(NA),523,(NA),(NA),(NA),(NA)
Jun 1964,53,(NA),(NA),(NA),(NA),580,(NA),(NA),(NA),(NA)
Jul 1964,54,(NA),(NA),(NA),(NA),575,(NA),(NA),(NA),(NA)
Aug 1964,56,(NA),(NA),(NA),(NA),582,(NA),(NA),(NA),(NA)
Sep 1964,48,(NA),(NA),(NA),(NA),590,(NA),(NA),(NA),(NA)
Oct 1964,45,(NA),(NA),(NA),(NA),583,(NA),(NA),(NA),(NA)
Nov 1964,37,(NA),(NA),(NA),(NA),548,(NA),(NA),(NA),(NA)
Dec 1964,33,(NA),(NA),(NA),(NA),540,(NA),(NA),(NA),(NA)
Jan 1965,38,(NA),(NA),(NA),(NA),533,(NA),(NA),(NA),(NA)
Feb 1965,44,(NA),(NA),(NA),(NA),559,(NA),(NA),(NA),(NA)
Mar 1965,53,(NA),(NA),(NA),(NA),556,(NA),(NA),(NA),(NA)
Apr 1965,49,(NA),(NA),(NA),(NA),555,(NA),(NA),(NA),(NA)
May 1965,54,(NA),(NA),(NA),(NA),544,(NA),(NA),(NA),(NA)
