Houses Sold by Type of Financing,,,,,,
,,,,,,
Period,Number of Houses (thousands),,,,,
,,Type of Financing,,,,
,Total,Conven-,FHA ,VA,Rural,Cash
,Sold,tional1,Insured,Guaranteed,Hous. Serv.,
1988,676,437,127,44,6,62
1989,650,416,118,44,14,58
1990,534,337,105,33,10,50
1991,509,329,92,36,9,43
1992,610,428,86,48,7,41
1993,666,476,92,55,6,37
1994,670,490,78,51,9,41
1995,667,490,79,50,9,39
1996,757,570,89,51,9,38
1997,804,616,90,47,6,46
1998,886,693,90,46,9,48
1999,880,689,106,37,6,41
2000,877,695,108,30,4,40
2001,908,726,106,35,2,39
2002,973,788,106,34,4,42
2003,1086,911,94,36,4,41
2004,1203,1047,77,28,6,46
2005,1283,1150,51,28,1,52
2006,1051,948,38,25,1,38
2007,776,693,28,24,2,30
2008,485,358,77,27,(NA),23
2009,375,234,92,32,(NA),17
2010,323,189,81,35,(NA),19
2011,306,190,61,35,(NA),20
2012,368,234,75,35,(NA),24
2013,429,296,67,36,(NA),31
2014,437,311,51,38,(NA),37
2015,501,348,81,42,(NA),30
2016,561,396,88,48,(NA),29
2017,613,442,86,49,(NA),36
2018,617,461,74,43,(NA),39
2019,683,469,119,52,(NA),42
2020,822,570,153,63,(NA),37
,,,,,,
,,,,,,
"1Includes houses reporting other types of financing. Beginning in 2008, also includes Rural Housing Service.",,,,,,
,,,,,,
Note: Estimates prior to 1999 include an upward adjustment of 3.3 percent made to account for ,,,,,,
houses sold in permit-issuing areas that will never have a permit authorization.,,,,,,
