Houses Sold by Type of Financing,,,,,,
,,,,,,
Period,Number of Houses (thousands),,,,,
,,Type of Financing,,,,
,Total,Conven-,FHA ,VA,Rural,Cash
,Sold,tional1,Insured,Guaranteed,Hous. Serv.,
1988Q1,166,108,34,12,(S),12
1988Q2,197,125,39,12,(S),19
1988Q3,170,113,30,11,2,16
1988Q4,143,92,24,9,2,15
1989Q1,161,105,28,10,4,13
1989Q2,180,116,33,12,3,16
1989Q3,172,106,32,13,5,16
1989Q4,137,88,24,10,(S),13
1990Q1,152,98,30,9,2,13
1990Q2,152,97,30,10,2,13
1990Q3,130,81,25,8,4,13
1990Q4,100,61,20,6,2,11
1991Q1,121,74,26,7,4,10
1991Q2,145,94,26,10,3,13
1991Q3,127,81,22,10,2,13
1991Q4,117,81,19,8,2,7
1992Q1,160,110,29,11,2,9
1992Q2,158,110,22,12,2,13
1992Q3,159,112,20,15,2,11
1992Q4,133,97,16,10,2,8
1993Q1,154,110,21,14,2,8
1993Q2,184,129,27,15,2,10
1993Q3,169,120,24,14,1,9
1993Q4,160,117,20,13,2,9
1994Q1,177,129,23,16,(S),8
1994Q2,185,134,22,14,3,12
1994Q3,166,122,19,12,4,10
1994Q4,141,105,15,10,2,10
1995Q1,154,112,19,12,2,9
1995Q2,185,136,22,14,2,11
1995Q3,182,134,21,14,3,11
1995Q4,145,108,16,11,(S),9
1996Q1,191,139,26,17,2,8
1996Q2,204,154,23,14,3,10
1996Q3,201,154,21,14,3,10
1996Q4,161,124,19,8,(S),9
1997Q1,211,159,26,15,(S),11
1997Q2,212,164,24,11,2,12
1997Q3,207,161,22,11,(S),11
1997Q4,173,132,19,11,2,10
1998Q1,220,171,24,13,2,10
1998Q2,248,192,25,14,3,13
1998Q3,218,173,20,11,2,12
1998Q4,200,157,22,10,2,10
1999Q1,227,176,27,12,2,10
1999Q2,248,191,32,11,2,12
1999Q3,220,175,25,9,2,10
1999Q4,185,147,22,7,1,8
2000Q1,233,181,31,9,1,11
2000Q2,226,179,29,8,1,9
2000Q3,219,172,27,7,1,12
2000Q4,199,161,23,6,1,7
2001Q1,251,197,33,11,(Z),10
2001Q2,243,198,27,9,(Z),9
2001Q3,216,172,25,8,(Z),11
2001Q4,199,158,24,8,1,8
2002Q1,239,191,26,10,1,11
2002Q2,259,209,29,8,1,12
2002Q3,255,206,30,9,1,9
2002Q4,220,180,23,8,1,9
2003Q1,256,211,26,9,1,8
2003Q2,298,252,26,10,1,9
2003Q3,293,247,25,9,1,11
2003Q4,239,200,18,9,1,10
2004Q1,314,266,25,11,1,11
2004Q2,329,285,22,8,2,12
2004Q3,292,252,20,6,1,13
2004Q4,268,239,14,5,1,10
2005Q1,328,293,13,9,1,12
2005Q2,351,318,14,7,(Z),12
2005Q3,326,290,14,7,1,16
2005Q4,277,246,12,7,(Z),13
2006Q1,285,254,12,10,(Z),9
2006Q2,300,272,12,6,(Z),11
2006Q3,250,224,9,7,(Z),10
2006Q4,216,197,7,4,1,7
2007Q1,213,193,5,7,(Z),8
2007Q2,235,210,9,7,1,8
2007Q3,181,160,7,6,1,8
2007Q4,146,129,7,5,(Z),5
2008Q1,141,110,18,7,(NA),6
2008Q2,143,108,21,7,(NA),7
2008Q3,116,83,21,7,(NA),5
2008Q4,85,60,15,6,(NA),4
2009Q1,84,52,20,8,(NA),4
2009Q2,104,63,27,10,(NA),4
2009Q3,104,66,24,10,(NA),4
2009Q4,83,53,21,5,(NA),5
2010Q1,86,50,24,8,(NA),5
2010Q2,95,55,24,12,(NA),4
2010Q3,75,43,19,8,(NA),5
2010Q4,66,41,14,7,(NA),4
2011Q1,71,42,16,8,(NA),5
2011Q2,87,55,18,9,(NA),5
2011Q3,76,47,14,9,(NA),6
