Houses Sold and For Sale by Stage of Construction and Median Number of Months on Sales Market,,,,,,,,,
,,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,,
,,,,,,,,,
Year,Sold during period,,,,For Sale at end of period,,,,
,,,,,,,,,Median Number
, Total,Not,Under,Completed, Total,Not,Under,Completed,of months
,, Started,Construction,,, Started,Construction,,for sale1
Jan 1963,42,9,11,22,234,(NA),(NA),(NA),(NA)
Feb 1963,35,8,10,16,236,(NA),(NA),(NA),(NA)
Mar 1963,44,13,12,18,246,(NA),(NA),(NA),(NA)
Apr 1963,52,10,15,27,254,(NA),(NA),(NA),(NA)
May 1963,58,14,20,24,254,(NA),(NA),(NA),(NA)
Jun 1963,48,10,16,22,256,(NA),(NA),(NA),(NA)
Jul 1963,62,14,19,29,251,(NA),(NA),(NA),(NA)
Aug 1963,56,8,21,26,258,(NA),(NA),(NA),(NA)
Sep 1963,49,9,20,20,249,(NA),(NA),(NA),(NA)
Oct 1963,44,7,17,20,269,(NA),(NA),(NA),(NA)
Nov 1963,39,6,14,19,260,(NA),(NA),(NA),(NA)
Dec 1963,31,6,11,14,265,(NA),(NA),(NA),(NA)
Jan 1964,39,8,12,19,261,(NA),(NA),(NA),(NA)
Feb 1964,46,12,15,19,259,(NA),(NA),(NA),(NA)
Mar 1964,53,12,18,23,267,(NA),(NA),(NA),(NA)
Apr 1964,49,11,16,21,269,(NA),(NA),(NA),(NA)
May 1964,52,12,19,21,272,(NA),(NA),(NA),(NA)
Jun 1964,53,11,18,23,267,(NA),(NA),(NA),(NA)
Jul 1964,54,10,19,25,260,(NA),(NA),(NA),(NA)
Aug 1964,56,12,19,25,253,(NA),(NA),(NA),(NA)
Sep 1964,48,10,17,22,248,(NA),(NA),(NA),(NA)
Oct 1964,45,8,16,21,249,(NA),(NA),(NA),(NA)
Nov 1964,37,8,12,18,251,(NA),(NA),(NA),(NA)
Dec 1964,33,6,11,16,250,(NA),(NA),(NA),(NA)
Jan 1965,38,9,9,19,248,(NA),(NA),(NA),(NA)
Feb 1965,44,14,11,18,248,(NA),(NA),(NA),(NA)
Mar 1965,53,16,17,21,246,(NA),(NA),(NA),(NA)
Apr 1965,49,14,16,20,250,(NA),(NA),(NA),(NA)
May 1965,54,11,19,24,243,(NA),(NA),(NA),(NA)
