Houses Sold and For Sale by Stage of Construction - Seasonally Adjusted,,,,,,,,
,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,
,,,,,,,,
Year,Sold during period,,,,For Sale at end of period,,,
,,,,,,,,
, Total,Not,Under,Completed, Total,Not,Under,Completed
,, Started,Construction,,, Started,Construction,
Jan 1963,591,(NA),(NA),(NA),235,(NA),(NA),(NA)
Feb 1963,464,(NA),(NA),(NA),238,(NA),(NA),(NA)
Mar 1963,461,(NA),(NA),(NA),242,(NA),(NA),(NA)
Apr 1963,605,(NA),(NA),(NA),246,(NA),(NA),(NA)
May 1963,586,(NA),(NA),(NA),248,(NA),(NA),(NA)
Jun 1963,526,(NA),(NA),(NA),253,(NA),(NA),(NA)
Jul 1963,665,(NA),(NA),(NA),254,(NA),(NA),(NA)
Aug 1963,570,(NA),(NA),(NA),264,(NA),(NA),(NA)
Sep 1963,590,(NA),(NA),(NA),257,(NA),(NA),(NA)
Oct 1963,567,(NA),(NA),(NA),274,(NA),(NA),(NA)
Nov 1963,579,(NA),(NA),(NA),258,(NA),(NA),(NA)
Dec 1963,514,(NA),(NA),(NA),264,(NA),(NA),(NA)
Jan 1964,549,(NA),(NA),(NA),261,(NA),(NA),(NA)
Feb 1964,609,(NA),(NA),(NA),262,(NA),(NA),(NA)
Mar 1964,562,(NA),(NA),(NA),263,(NA),(NA),(NA)
Apr 1964,559,(NA),(NA),(NA),260,(NA),(NA),(NA)
May 1964,523,(NA),(NA),(NA),266,(NA),(NA),(NA)
Jun 1964,580,(NA),(NA),(NA),264,(NA),(NA),(NA)
Jul 1964,575,(NA),(NA),(NA),263,(NA),(NA),(NA)
Aug 1964,582,(NA),(NA),(NA),258,(NA),(NA),(NA)
Sep 1964,590,(NA),(NA),(NA),256,(NA),(NA),(NA)
Oct 1964,583,(NA),(NA),(NA),253,(NA),(NA),(NA)
Nov 1964,548,(NA),(NA),(NA),249,(NA),(NA),(NA)
Dec 1964,540,(NA),(NA),(NA),250,(NA),(NA),(NA)
Jan 1965,533,(NA),(NA),(NA),248,(NA),(NA),(NA)
Feb 1965,559,(NA),(NA),(NA),251,(NA),(NA),(NA)
Mar 1965,556,(NA),(NA),(NA),243,(NA),(NA),(NA)
Apr 1965,555,(NA),(NA),(NA),242,(NA),(NA),(NA)
May 1965,544,(NA),(NA),(NA),238,(NA),(NA),(NA)
Jun 1965,614,(NA),(NA),(NA),235,(NA),(NA),(NA)
Jul 1965,554,(NA),(NA),(NA),235,(NA),(NA),(NA)
Aug 1965,615,(NA),(NA),(NA),232,(NA),(NA),(NA)
Sep 1965,587,(NA),(NA),(NA),231,(NA),(NA),(NA)
Oct 1965,555,(NA),(NA),(NA),227,(NA),(NA),(NA)
Nov 1965,616,(NA),(NA),(NA),231,(NA),(NA),(NA)
Dec 1965,609,(NA),(NA),(NA),226,(NA),(NA),(NA)
Jan 1966,599,(NA),(NA),(NA),228,(NA),(NA),(NA)
Feb 1966,541,(NA),(NA),(NA),224,(NA),(NA),(NA)
Mar 1966,557,(NA),(NA),(NA),225,(NA),(NA),(NA)
Apr 1966,545,(NA),(NA),(NA),221,(NA),(NA),(NA)
May 1966,499,(NA),(NA),(NA),216,(NA),(NA),(NA)
Jun 1966,434,(NA),(NA),(NA),214,(NA),(NA),(NA)
Jul 1966,435,(NA),(NA),(NA),210,(NA),(NA),(NA)
Aug 1966,377,(NA),(NA),(NA),208,(NA),(NA),(NA)
Sep 1966,358,(NA),(NA),(NA),208,(NA),(NA),(NA)
Oct 1966,387,(NA),(NA),(NA),199,(NA),(NA),(NA)
Nov 1966,382,(NA),(NA),(NA),193,(NA),(NA),(NA)
Dec 1966,369,(NA),(NA),(NA),194,(NA),(NA),(NA)
Jan 1967,416,(NA),(NA),(NA),193,(NA),(NA),(NA)
Feb 1967,408,(NA),(NA),(NA),194,(NA),(NA),(NA)
