Seasonal Indexes Used to Adjust Houses Sold and For Sale by Stage of Construction,,,,,,,,
,,,,,,,,
(Components may not add to total because of rounding.  Number of housing units in thousands.),,,,,,,,
,,,,,,,,
Year,Sold during period,,,,For Sale at end of period,,,
,,,,,,,,
, Total,Not,Under,Completed, Total,Not,Under,Completed
,, Started,Construction,,, Started,Construction,
Jan 1997,88.2,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Feb 1997,103.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Mar 1997,117.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Apr 1997,112.9,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
May 1997,112.1,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Jun 1997,107.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Jul 1997,102.9,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Aug 1997,106.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Sep 1997,95.7,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Oct 1997,93.0,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Nov 1997,84.7,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Dec 1997,77.2,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Jan 1998,88.1,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Feb 1998,103.9,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Mar 1998,116.3,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Apr 1998,113.6,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
May 1998,110.9,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Jun 1998,107.9,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Jul 1998,102.7,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Aug 1998,106.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Sep 1998,94.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Oct 1998,92.7,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Nov 1998,84.4,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Dec 1998,77.1,(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Jan 1999,91.9,96.2,85.1,91.1,100.0,98.2,99.8,102.2
Feb 1999,107.5,113.5,100.0,99.7,98.6,96.9,97.2,100.7
Mar 1999,116.8,124.7,115.3,110.1,99.0,101.1,97.1,98.7
Apr 1999,112.4,118.0,112.1,99.9,99.7,103.4,98.7,99.5
May 1999,108.1,109.6,112.9,102.9,98.6,98.6,99.0,100.6
Jun 1999,106.6,107.2,110.5,105.0,100.3,102.7,100.2,99.1
Jul 1999,104.0,97.3,104.3,109.4,99.3,100.4,100.9,96.1
Aug 1999,104.8,100.2,109.9,106.3,99.0,102.1,100.4,96.5
Sep 1999,94.4,89.6,96.9,97.5,100.7,102.6,100.6,99.5
Oct 1999,92.2,82.9,94.3,96.5,101.0,98.3,102.3,100.7
Nov 1999,84.8,82.3,85.1,89.8,101.3,95.2,102.2,101.9
Dec 1999,78.4,79.3,73.5,92.1,102.3,99.9,101.4,104.1
Jan 2000,92.1,97.0,84.9,90.1,99.7,97.1,99.9,102.7
Feb 2000,109.3,112.6,100.4,99.6,102.0,96.9,97.4,101.2
Mar 2000,117.3,124.2,115.7,110.9,99.0,104.4,97.1,98.6
Apr 2000,111.3,117.5,111.0,100.0,98.0,99.9,98.6,99.5
May 2000,107.8,109.2,113.4,102.4,99.0,99.9,98.9,100.7
Jun 2000,107.4,106.7,111.3,106.3,100.7,106.3,100.2,98.9
Jul 2000,102.8,97.8,105.0,109.1,99.0,99.7,101.2,95.5
Aug 2000,103.3,100.6,109.2,105.8,100.3,106.2,100.2,96.2
Sep 2000,92.1,89.5,96.4,97.7,100.3,100.3,100.5,99.5
