" New Houses Sold in the United States, by Sales Price",,,,,,,,,,,,,
,,,,,,,,,,,,,
Quarterly Data,,,,,,,,,,,,,
,,,,,,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,,,,,,
,,,,,,,,,,,,,
Period,Total ,Under ,"$100,000 to ","$125,000 to ","$150,000 to ","$175,000 to "," $200,000 to  "," $250,000 to  ","$300,000 to ","$500,000  ",,,
,," $100,000 "," $124,999  "," $149,999 "," $174,999 "," $199,999 "," $249,999  "," $299,999  "," $499,999  ",and over ,,,
1999Q1,227 ,29 ,35 ,40 ,31 ,23 ,27 ,15 ,22 ,5 ,,,
1999Q2,248 ,31 ,38 ,43 ,32 ,25 ,31 ,18 ,25 ,6 ,,,
1999Q3,220 ,26 ,30 ,41 ,31 ,21 ,28 ,15 ,22 ,6 ,,,
1999Q4,185 ,18 ,24 ,32 ,25 ,21 ,24 ,14 ,19 ,7 ,,,
2000Q1,233 ,23 ,32 ,41 ,28 ,26 ,30 ,19 ,26 ,8 ,,,
2000Q2,226 ,25 ,32 ,40 ,27 ,20 ,32 ,19 ,23 ,8 ,,,
2000Q3,219 ,21 ,27 ,37 ,30 ,24 ,32 ,18 ,22 ,8 ,,,
2000Q4,199 ,21 ,24 ,32 ,25 ,19 ,29 ,17 ,25 ,8 ,,,
2001Q1,251 ,20 ,32 ,41 ,37 ,23 ,39 ,23 ,27 ,9 ,,,
2001Q2,243 ,20 ,25 ,37 ,35 ,29 ,36 ,22 ,30 ,8 ,,,
2001Q3,216 ,21 ,23 ,34 ,32 ,21 ,31 ,21 ,25 ,6 ,,,
2001Q4,199 ,16 ,26 ,34 ,26 ,19 ,26 ,19 ,26 ,7 ,,,
2002Q1,239 ,16 ,25 ,31 ,34 ,25 ,36 ,27 ,35 ,11 ,,,
2002Q2,259 ,16 ,25 ,38 ,35 ,28 ,36 ,28 ,41 ,11 ,,,
2002Q3,255 ,19 ,27 ,38 ,39 ,27 ,36 ,24 ,36 ,9 ,,,
2002Q4,220 ,13 ,19 ,34 ,30 ,23 ,29 ,25 ,38 ,9 ,,,
2003Q1,256 ,12 ,26 ,40 ,36 ,26 ,34 ,27 ,42 ,14 ,,,
2003Q2,298 ,15 ,28 ,43 ,40 ,33 ,41 ,28 ,51 ,18 ,,,
2003Q3,293 ,16 ,25 ,38 ,43 ,31 ,39 ,29 ,52 ,19 ,,,
2003Q4,239 ,13 ,20 ,28 ,32 ,25 ,31 ,25 ,47 ,17 ,,,
2004Q1,314 ,13 ,26 ,39 ,41 ,25 ,49 ,34 ,64 ,23 ,,,
2004Q2,329 ,15 ,26 ,36 ,41 ,29 ,50 ,38 ,66 ,27 ,,,
2004Q3,292 ,12 ,21 ,37 ,37 ,28 ,42 ,27 ,60 ,28 ,,,
2004Q4,268 ,10 ,17 ,27 ,29 ,27 ,43 ,29 ,58 ,29 ,,,
2005Q1,328 ,11 ,20 ,34 ,36 ,30 ,51 ,35 ,76 ,34 ,,,
2005Q2,351 ,9 ,22 ,32 ,36 ,36 ,55 ,42 ,83 ,37 ,,,
2005Q3,326 ,8 ,20 ,33 ,35 ,32 ,45 ,37 ,80 ,36 ,,,
2005Q4,277 ,6 ,14 ,30 ,23 ,24 ,47 ,35 ,69 ,29 ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
