" New Houses Sold, by Region, by Sales Price",,,,,,,,,,,,," New Houses Sold, by Region, by Sales Price",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast and Midwest: Annual Data,,,,,,,,,,,,,South and West: Annual Data,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,,,,,,[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,,,,,,
Period,Northeast,,,,,,Midwest,,,,,,Period,South,,,,,,West,,,,,,
,Total ,Under ,"$100,000 to ","$150,000 to "," $200,000 to  ","$300,000 ",Total ,Under ,"$100,000 to ","$150,000 to "," $200,000 to  ","$300,000 ",,Total ,Under ,"$100,000 to ","$150,000 to "," $200,000 to  ","$300,000 ",Total ,Under ,"$100,000 to ","$150,000 to "," $200,000 to  ","$300,000 ",
,," $100,000 "," $149,999 "," $199,999 "," $299,999  ",and over ,," $100,000 "," $149,999 "," $199,999 "," $299,999  ",and over ,,," $100,000 "," $149,999 "," $199,999 "," $299,999  ",and over ,," $100,000 "," $149,999 "," $199,999 "," $299,999  ",and over ,
1999,76 ,3 ,15 ,16 ,23 ,18 ,168 ,15 ,57 ,40 ,38 ,18 ,1999,395 ,71 ,139 ,86 ,61 ,37 ,242 ,12 ,71 ,65 ,52 ,41 ,
2000,71 ,3 ,12 ,15 ,20 ,22 ,155 ,13 ,47 ,39 ,35 ,23 ,2000,406 ,65 ,142 ,89 ,71 ,39 ,244 ,8 ,62 ,56 ,69 ,49 ,
2001,66 ,1 ,11 ,12 ,19 ,22 ,164 ,11 ,46 ,45 ,40 ,21 ,2001,439 ,56 ,145 ,107 ,84 ,47 ,239 ,6 ,46 ,57 ,78 ,53 ,
2002,65 ,1 ,8 ,13 ,17 ,26 ,185 ,10 ,47 ,53 ,48 ,28 ,2002,450 ,47 ,136 ,117 ,90 ,60 ,273 ,4 ,41 ,54 ,91 ,83 ,
2003,79 ,(Z),8 ,13 ,25 ,33 ,189 ,9 ,45 ,53 ,48 ,34 ,2003,511 ,40 ,152 ,133 ,108 ,77 ,307 ,4 ,37 ,64 ,80 ,121 ,
2004,83 ,1 ,5 ,7 ,26 ,45 ,210 ,6 ,40 ,54 ,61 ,49 ,2004,562 ,39 ,142 ,136 ,129 ,115 ,348 ,2 ,34 ,56 ,96 ,159 ,
2005,81 ,1 ,3 ,6 ,21 ,49 ,205 ,4 ,33 ,50 ,69 ,50 ,2005,638 ,27 ,147 ,152 ,162 ,151 ,358 ,1 ,11 ,38 ,99 ,210 ,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
