" New Houses Sold, by Region, by Sales Price",,,,,,,,,,,,," New Houses Sold, by Region, by Sales Price",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast and Midwest: Quarterly Data,,,,,,,,,,,,,South and West: Quarterly Data,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,,,,,,[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period,Northeast,,,,,,Midwest,,,,,,Period,South,,,,,,West,,,,,
,Total ,Under ,"$100,000 to ","$150,000 to "," $200,000 to  ","$300,000 ",Total ,Under ,"$100,000 to ","$150,000 to "," $200,000 to  ","$300,000 ",,Total ,Under ,"$100,000 to ","$150,000 to "," $200,000 to  ","$300,000 ",Total ,Under ,"$100,000 to ","$150,000 to "," $200,000 to  ","$300,000 "
,," $100,000 "," $149,999 "," $199,999 "," $299,999  ",and over ,," $100,000 "," $149,999 "," $199,999 "," $299,999  ",and over ,,," $100,000 "," $149,999 "," $199,999 "," $299,999  ",and over ,," $100,000 "," $149,999 "," $199,999 "," $299,999  ",and over 
1999Q1 ,19 ,1 ,5 ,4 ,6 ,3 ,39 ,3 ,14 ,10 ,9 ,3 ,1999Q1 ,106 ,22 ,37 ,22 ,16 ,9 ,63 ,4 ,20 ,17 ,11 ,11 
1999Q2 ,20 ,1 ,3 ,5 ,6 ,5 ,50 ,6 ,18 ,12 ,10 ,4 ,1999Q2 ,110 ,20 ,39 ,22 ,17 ,11 ,69 ,4 ,20 ,18 ,16 ,11 
1999Q3 ,22 ,2 ,5 ,4 ,6 ,5 ,42 ,3 ,14 ,11 ,9 ,5 ,1999Q3 ,97 ,19 ,35 ,21 ,15 ,8 ,59 ,2 ,17 ,17 ,13 ,9 
1999Q4 ,15 ,(Z),2 ,4 ,5 ,4 ,36 ,4 ,12 ,9 ,8 ,4 ,1999Q4 ,82 ,12 ,29 ,21 ,12 ,8 ,51 ,2 ,14 ,13 ,13 ,10 
2000Q1 ,19 ,1 ,3 ,4 ,6 ,6 ,41 ,4 ,12 ,10 ,10 ,5 ,2000Q1 ,107 ,16 ,39 ,25 ,17 ,10 ,66 ,2 ,18 ,16 ,16 ,13 
2000Q2 ,20 ,1 ,4 ,4 ,7 ,5 ,42 ,3 ,14 ,11 ,8 ,6 ,2000Q2 ,105 ,19 ,38 ,20 ,19 ,9 ,59 ,2 ,17 ,12 ,17 ,11 
2000Q3 ,17 ,1 ,3 ,4 ,3 ,6 ,39 ,4 ,12 ,11 ,8 ,4 ,2000Q3 ,100 ,15 ,34 ,22 ,21 ,9 ,63 ,1 ,15 ,17 ,18 ,11 
2000Q4 ,16 ,1 ,2 ,3 ,4 ,5 ,33 ,2 ,9 ,8 ,8 ,6 ,2000Q4 ,93 ,16 ,32 ,22 ,15 ,9 ,56 ,2 ,12 ,10 ,18 ,13 
2001Q1 ,18 ,(Z),3 ,2 ,6 ,6 ,45 ,3 ,14 ,12 ,11 ,5 ,2001Q1 ,118 ,15 ,40 ,30 ,21 ,12 ,70 ,2 ,16 ,16 ,24 ,13 
2001Q2 ,17 ,(Z),2 ,3 ,4 ,7 ,47 ,3 ,12 ,14 ,13 ,5 ,2001Q2 ,115 ,15 ,37 ,29 ,23 ,11 ,64 ,2 ,11 ,18 ,19 ,14 
2001Q3 ,16 ,(Z),3 ,3 ,5 ,5 ,38 ,4 ,11 ,11 ,9 ,4 ,2001Q3 ,105 ,15 ,35 ,26 ,19 ,10 ,56 ,1 ,9 ,14 ,19 ,13 
2001Q4 ,15 ,(Z),3 ,3 ,4 ,5 ,34 ,2 ,11 ,9 ,7 ,5 ,2001Q4 ,101 ,12 ,36 ,24 ,18 ,11 ,49 ,2 ,10 ,9 ,16 ,12 
2002Q1 ,16 ,(Z),2 ,3 ,5 ,6 ,42 ,3 ,9 ,13 ,11 ,7 ,2002Q1 ,112 ,12 ,35 ,30 ,23 ,13 ,68 ,(Z),10 ,13 ,24 ,20 
2002Q2 ,18 ,(Z),2 ,4 ,4 ,7 ,49 ,3 ,14 ,14 ,13 ,5 ,2002Q2 ,116 ,11 ,36 ,30 ,22 ,17 ,77 ,1 ,12 ,15 ,26 ,23 
2002Q3 ,17 ,(Z),3 ,3 ,4 ,7 ,49 ,2 ,13 ,16 ,12 ,7 ,2002Q3 ,120 ,16 ,38 ,32 ,22 ,13 ,68 ,1 ,11 ,15 ,22 ,19 
2002Q4 ,13 ,(Z),1 ,2 ,4 ,6 ,46 ,2 ,12 ,12 ,12 ,7 ,2002Q4 ,102 ,10 ,30 ,27 ,20 ,15 ,60 ,1 ,9 ,12 ,18 ,20 
2003Q1 ,19 ,(Z),3 ,5 ,3 ,7 ,44 ,2 ,12 ,12 ,12 ,6 ,2003Q1 ,123 ,9 ,40 ,31 ,25 ,17 ,70 ,1 ,11 ,13 ,20 ,26 
2003Q2 ,21 ,(Z),2 ,4 ,5 ,9 ,50 ,3 ,13 ,16 ,11 ,8 ,2003Q2 ,138 ,11 ,45 ,34 ,27 ,20 ,90 ,1 ,11 ,20 ,26 ,31 
2003Q3 ,20 ,(Z),2 ,3 ,8 ,8 ,57 ,3 ,13 ,17 ,14 ,10 ,2003Q3 ,137 ,13 ,40 ,37 ,28 ,18 ,79 ,1 ,8 ,18 ,19 ,34 
2003Q4 ,19 ,(Z),1 ,2 ,7 ,9 ,38 ,2 ,8 ,10 ,11 ,7 ,2003Q4 ,114 ,10 ,31 ,31 ,24 ,18 ,67 ,2 ,8 ,14 ,14 ,30 
2004Q1 ,22 ,(Z),2 ,3 ,7 ,10 ,49 ,1 ,9 ,13 ,16 ,11 ,2004Q1 ,151 ,12 ,40 ,37 ,35 ,28 ,91 ,(Z),13 ,14 ,25 ,39 
2004Q2 ,25 ,(Z),1 ,3 ,9 ,12 ,58 ,3 ,11 ,14 ,16 ,14 ,2004Q2 ,150 ,12 ,42 ,37 ,33 ,26 ,96 ,(Z),7 ,16 ,30 ,42 
2004Q3 ,17 ,(Z),1 ,1 ,4 ,11 ,57 ,2 ,11 ,16 ,15 ,13 ,2004Q3 ,133 ,9 ,37 ,31 ,30 ,26 ,85 ,1 ,8 ,17 ,20 ,39 
2004Q4 ,19 ,(Z),1 ,1 ,4 ,13 ,47 ,1 ,8 ,12 ,15 ,10 ,2004Q4 ,127 ,9 ,28 ,32 ,31 ,27 ,75 ,(Z),6 ,10 ,21 ,37 
2005Q1 ,18 ,1 ,(Z),1 ,4 ,12 ,48 ,1 ,8 ,10 ,17 ,11 ,2005Q1 ,168 ,9 ,40 ,41 ,41 ,36 ,94 ,(Z),6 ,13 ,24 ,51 
2005Q2 ,26 ,1 ,1 ,2 ,8 ,15 ,64 ,1 ,11 ,17 ,21 ,14 ,2005Q2 ,164 ,7 ,39 ,41 ,41 ,35 ,97 ,(Z),2 ,12 ,27 ,56 
2005Q3 ,20 ,(Z),1 ,2 ,5 ,12 ,53 ,1 ,10 ,14 ,16 ,11 ,2005Q3 ,161 ,7 ,39 ,41 ,36 ,37 ,93 ,(Z),2 ,9 ,24 ,56 
2005Q4 ,17 ,(Z),(Z),1 ,4 ,11 ,40 ,(Z),5 ,9 ,15 ,10 ,2005Q4 ,146 ,6 ,36 ,31 ,40 ,33 ,74 ,(Z),3 ,6 ,22 ,44 
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"S   Withheld because estimate did not meet publication standards on the basis of response rate, ",,,,,,,,,,,,,,,,,,,,,,,,,
"      associated standard error, or a consistency review.",,,,,,,,,,,,,,,,,,,,,,,,,
Z  Less than 500 units. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
