" New Houses Sold in the United States, by Sales Price",,,,,,,,,,
,,,,,,,,,,
Annual Data,,,,,,,,,,
,,,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,,,
,,,,,,,,,,
Period,Total ,Under ,"$125,000 to ","$150,000 to ","$200,000 to ","$250,000 to "," $300,000 to  "," $400,000 to  ","$500,000 to ","$750,000  "
,," $125,000 "," $149,999  "," $199,999 "," $249,999 "," $299,999 "," $399,999  "," $499,999  "," $749,999  ",and over 
2002,973,157,138,237,139,107,106,47,31,12
2003,"1,086",150,146,264,148,112,142,56,51,17
2004,"1,203",133,137,254,181,131,165,90,82,31
2005,"1,283",104,122,246,200,152,203,111,99,45
2006,"1,051",64,97,208,162,138,174,84,80,43
2007,776,38,68,162,125,102,121,65,62,32
2008,485,31,46,106,86,63,69,35,31,18
2009,375,25,41,96,66,48,46,23,20,10
2010,323,19,36,79,54,43,44,21,18,8
2011,306,19,31,68,59,40,46,20,17,6
2012,368,16,30,74,68,52,63,33,23,9
2013,429,9,25,79,72,67,85,40,36,16
2014,437,9,17,69,69,68,91,50,42,21
2015,501,7,14,73,82,82,105,64,51,23
2016,561,5,14,75,83,89,132,76,62,25
2017,613,5,13,61,94,93,147,88,79,33
2018,617,7,11,54,89,98,153,90,78,36
2019,683,3,10,52,115,112,171,95,90,34
2020,822,3,6,53,117,136,229,132,104,42
