" New Houses Sold in the United States, by Sales Price",,,,,,,,
,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding.],,,,,,,,
,,,,,,,,
Period,Total ,Under ,"$150,000 to ","$200,000 to ","$300,000 to "," $400,000 to  "," $500,000 to  ","$750,000 "
,," $150,000 "," $199,999  "," $299,999 "," $399,999 "," $499,999  "," $749,999  ",and over 
Jan 2002,66,19,17,17,8,3,2,(Z)
Feb 2002,84,26,18,24,8,3,2,1
Mar 2002,90,27,23,22,8,4,3,2
Apr 2002,86,27,21,21,10,4,3,1
May 2002,88,27,24,20,10,4,3,1
Jun 2002,84,26,19,24,9,4,2,1
Jul 2002,82,28,22,18,7,4,3,1
Aug 2002,90,28,24,22,8,4,2,1
Sep 2002,82,28,19,19,9,4,2,1
Oct 2002,77,24,18,18,9,4,2,1
Nov 2002,73,24,18,17,6,5,2,1
Dec 2002,70,19,17,18,10,4,2,1
Jan 2003,76,24,19,18,9,3,3,1
Feb 2003,82,25,18,20,9,4,4,1
Mar 2003,98,29,25,23,12,3,4,1
Apr 2003,91,27,23,21,11,4,4,1
May 2003,101,28,25,25,11,5,4,2
Jun 2003,107,32,27,23,14,5,5,2
Jul 2003,99,28,25,23,11,6,4,2
Aug 2003,105,29,27,24,14,5,5,1
Sep 2003,90,24,23,22,10,5,5,2
Oct 2003,88,26,20,22,11,4,4,1
Nov 2003,76,19,17,17,11,6,4,2
Dec 2003,75,19,20,17,11,3,4,2
Jan 2004,89,23,20,21,13,6,4,2
Feb 2004,102,25,20,28,13,6,7,2
Mar 2004,123,32,26,33,17,8,6,3
Apr 2004,109,26,21,29,15,8,7,2
May 2004,115,28,25,31,15,7,6,2
Jun 2004,105,24,24,29,13,7,6,2
Jul 2004,96,22,22,23,11,9,6,4
Aug 2004,102,24,23,24,13,8,6,3
Sep 2004,94,24,19,23,12,8,7,2
Oct 2004,101,21,21,25,14,8,7,4
Nov 2004,84,18,16,23,11,7,5,3
Dec 2004,83,15,17,24,11,6,7,2
Jan 2005,92,20,20,22,12,8,6,2
Feb 2005,109,21,21,30,15,10,9,3
Mar 2005,127,27,25,33,18,10,10,4
Apr 2005,116,20,23,32,18,10,9,3
May 2005,120,24,25,31,17,10,9,5
Jun 2005,115,21,25,32,17,9,7,3
Jul 2005,117,22,25,30,17,9,9,4
Aug 2005,110,21,21,27,22,6,10,4
Sep 2005,99,19,21,25,16,8,7,4
Oct 2005,105,22,15,31,16,10,8,3
Nov 2005,86,15,17,22,15,7,7,3
Dec 2005,87,16,15,28,14,6,6,2
Jan 2006,89,15,18,25,15,6,6,4
Feb 2006,88,15,16,26,14,8,6,4
Mar 2006,108,16,24,30,18,8,9,4
Apr 2006,100,16,17,28,18,8,9,4
May 2006,102,18,22,27,16,7,7,4
Jun 2006,98,14,21,28,16,7,8,3
Jul 2006,83,12,18,25,11,6,6,4
Aug 2006,88,15,18,22,14,8,7,4
Sep 2006,80,13,20,21,10,6,6,3
Oct 2006,74,12,13,21,12,7,6,3
Nov 2006,71,11,15,19,13,6,5,2
Dec 2006,71,12,13,20,11,5,6,3
Jan 2007,66,9,15,18,11,6,5,3
Feb 2007,68,9,12,21,11,5,6,3
Mar 2007,80,8,16,24,14,7,6,4
Apr 2007,83,14,18,22,12,7,6,4
May 2007,79,10,17,24,13,6,6,3
Jun 2007,73,10,18,20,10,5,6,3
Jul 2007,68,10,13,22,10,4,6,3
Aug 2007,60,9,14,18,8,5,4,2
Sep 2007,53,8,10,18,7,4,4,2
Oct 2007,57,9,14,13,9,5,5,2
Nov 2007,45,7,9,13,7,4,4,2
Dec 2007,44,6,9,14,6,4,2,1
Jan 2008,44,8,9,15,5,4,2,1
Feb 2008,48,7,9,16,8,3,3,2
Mar 2008,49,7,11,17,7,2,3,2
Apr 2008,49,5,10,15,9,3,5,2
May 2008,49,9,11,15,5,4,3,2
Jun 2008,45,8,9,14,7,2,2,2
Jul 2008,43,8,9,12,6,4,3,2
Aug 2008,38,7,9,12,5,3,1,1
Sep 2008,35,7,8,10,4,2,3,1
Oct 2008,32,6,8,10,4,2,1,1
Nov 2008,27,5,6,8,4,1,2,1
Dec 2008,26,4,6,9,4,2,1,(Z)
Jan 2009,24,5,7,7,3,1,1,(Z)
Feb 2009,29,6,7,9,3,2,1,1
Mar 2009,31,6,8,10,3,2,2,1
Apr 2009,32,6,8,10,4,2,1,1
May 2009,34,5,9,11,4,3,2,1
Jun 2009,37,6,10,11,5,2,2,1
Jul 2009,38,6,11,10,5,2,2,1
Aug 2009,36,8,9,10,4,3,2,1
Sep 2009,30,5,8,10,3,2,2,1
Oct 2009,33,6,8,11,4,2,1,1
Nov 2009,26,5,7,8,3,2,1,1
Dec 2009,24,5,5,7,3,1,2,1
Jan 2010,24,5,5,6,3,1,2,1
Feb 2010,27,6,6,9,3,1,2,1
Mar 2010,36,6,9,11,5,3,1,(Z)
Apr 2010,41,7,12,12,5,2,2,1
May 2010,26,4,7,7,3,2,1,1
Jun 2010,28,5,7,9,5,1,1,(Z)
Jul 2010,26,4,8,9,3,1,1,1
Aug 2010,23,4,6,7,3,2,1,1
Sep 2010,25,4,6,9,3,1,1,1
Oct 2010,23,5,6,6,3,1,1,(Z)
Nov 2010,20,3,5,5,3,1,1,1
Dec 2010,23,3,5,6,4,2,2,1
Jan 2011,21,3,3,8,3,2,1,(Z)
Feb 2011,22,3,6,6,3,2,1,(Z)
Mar 2011,28,5,6,9,4,1,2,(Z)
Apr 2011,30,5,7,10,5,2,2,1
May 2011,28,5,7,9,4,2,1,(Z)
Jun 2011,28,4,6,10,4,2,2,(Z)
Jul 2011,27,4,6,9,4,1,1,1
Aug 2011,25,5,5,8,4,2,1,(Z)
Sep 2011,24,4,6,8,3,1,1,(Z)
Oct 2011,25,5,5,8,3,2,1,1
Nov 2011,23,4,6,7,3,1,1,(Z)
Dec 2011,24,4,6,7,3,2,1,1
Jan 2012,23,4,5,7,4,2,1,(Z)
Feb 2012,30,4,6,12,5,2,1,(Z)
Mar 2012,34,5,7,11,5,3,2,1
Apr 2012,34,5,7,11,5,3,2,1
May 2012,35,4,8,12,5,3,2,1
Jun 2012,34,5,8,11,5,3,2,1
Jul 2012,33,3,8,11,6,3,1,1
Aug 2012,31,3,5,11,5,3,3,1
Sep 2012,30,4,6,9,6,3,2,1
Oct 2012,29,3,6,10,5,2,1,1
Nov 2012,28,4,6,9,5,2,2,1
