" New Houses Sold, by Region, by Sales Price",,,,,,,,,,,,," New Houses Sold, by Region, by Sales Price",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast and Midwest: Quarterly Data,,,,,,,,,,,,,South and West: Quarterly Data,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding. ],,,,,,,,,,,,,[Thousands of houses.  Components may not add to total because of rounding. ],,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period,Northeast,,,,,,Midwest,,,,,,Period,South,,,,,,West,,,,,
,Total ,Under ,"$200,000 to ","$300,000 to "," $500,000 to  ","$750,000 ",Total ,Under ,"$150,000 to ","$200,000 to "," $300,000 to  ","$500,000 ",,Total ,Under ,"$150,000 to ","$200,000 to "," $300,000 to  ","$500,000 ",Total ,Under ,"$200,000 to ","$300,000 to "," $500,000 to  ","$750,000 "
,," $200,000 "," $299,999 "," $499,999 "," $749,999  ",and over ,," $150,000 "," $199,999 "," $299,999 "," $499,999  ",and over ,,," $150,000 "," $199,999 "," $299,999 "," $499,999  ",and over ,," $200,000 "," $299,999 "," $499,999 "," $749,999  ",and over 
2002Q1 ,16,5,5,5,1,1,42,12,13,11,5,2,2002Q1 ,112,47,30,23,10,3,68,24,24,15,3,2
2002Q2 ,18,7,4,5,1,(Z),49,17,14,13,4,1,2002Q2 ,116,47,30,22,14,3,77,28,26,17,4,2
2002Q3 ,17,7,4,5,1,(Z),49,15,16,12,6,1,2002Q3 ,120,53,32,22,11,2,68,27,22,14,3,2
2002Q4 ,13,3,4,4,1,(Z),46,14,12,12,6,1,2002Q4 ,102,40,27,20,12,3,60,22,18,16,3,1
2003Q1 ,19,9,3,5,2,(Z),44,14,12,12,4,2,2003Q1 ,123,49,31,25,14,4,70,25,20,20,4,2
2003Q2 ,21,6,5,7,1,1,50,16,16,11,7,1,2003Q2 ,138,56,34,27,15,6,90,33,26,22,7,2
2003Q3 ,20,5,8,6,1,1,57,16,17,14,9,1,2003Q3 ,137,53,37,28,13,4,79,26,19,23,8,3
2003Q4 ,19,3,7,7,2,1,38,10,10,11,6,1,2003Q4 ,114,41,31,24,14,4,67,24,14,21,6,3
2004Q1 ,22,5,7,7,2,1,49,10,13,16,9,2,2004Q1 ,151,52,37,35,20,7,91,27,25,28,8,3
2004Q2 ,25,4,9,8,3,1,58,14,14,16,10,4,2004Q2 ,150,54,37,33,19,7,96,24,30,29,9,4
2004Q3 ,17,2,4,7,2,1,57,13,16,15,10,3,2004Q3 ,133,46,31,30,18,7,85,26,20,24,9,5
2004Q4 ,19,2,4,8,3,1,47,9,12,15,9,1,2004Q4 ,127,37,32,31,18,9,75,17,21,23,10,5
2005Q1 ,18,2,4,9,2,1,48,9,10,17,10,1,2005Q1 ,168,49,41,41,25,11,94,19,24,33,14,5
2005Q2 ,26,4,8,10,4,1,64,12,17,21,11,3,2005Q2 ,164,46,41,41,26,9,97,14,27,37,13,6
2005Q3 ,20,3,5,7,3,2,53,11,14,16,9,2,2005Q3 ,161,46,41,36,27,10,93,12,24,36,14,6
2005Q4 ,17,1,4,7,3,1,40,6,9,15,8,2,2005Q4 ,146,42,31,40,24,9,74,8,22,30,10,4
2006Q1 ,16,2,5,6,2,1,42,8,12,12,8,3,2006Q1 ,148,34,37,41,26,11,78,8,25,30,10,6
2006Q2 ,18,2,4,7,2,2,49,11,13,14,9,2,2006Q2 ,157,36,38,44,29,10,76,7,23,28,12,6
2006Q3 ,17,3,3,6,2,2,36,6,10,12,6,2,2006Q3 ,136,34,37,35,21,10,61,5,19,22,10,5
2006Q4 ,13,1,4,5,2,1,34,5,9,11,6,2,2006Q4 ,118,28,28,33,21,7,51,4,13,22,9,3
2007Q1 ,15,1,4,6,3,2,33,5,10,11,6,2,2007Q1 ,114,21,28,33,24,8,51,5,15,19,8,4
2007Q2 ,23,6,5,7,3,2,36,7,10,12,5,3,2007Q2 ,123,25,32,34,24,8,54,6,15,19,9,5
2007Q3 ,14,3,4,4,1,1,28,6,7,9,5,1,2007Q3 ,94,20,22,30,16,6,45,6,14,14,7,3
2007Q4 ,13,3,2,5,2,1,22,4,8,6,3,2,2007Q4 ,81,16,20,22,17,6,30,5,9,11,4,2
2008Q1 ,9,1,3,3,2,1,18,3,5,6,3,1,2008Q1 ,78,18,19,24,11,5,36,5,14,12,3,2
2008Q2 ,10,1,3,3,1,2,22,4,7,7,3,1,2008Q2 ,78,17,19,22,14,6,33,4,12,11,4,2
2008Q3 ,8,(Z),2,3,1,1,17,5,5,5,2,1,2008Q3 ,65,15,16,18,12,4,27,5,9,9,3,1
2008Q4 ,8,1,3,3,1,1,13,3,3,4,2,1,2008Q4 ,46,11,14,13,6,2,18,3,7,6,2,1
2009Q1 ,6,1,2,1,1,(Z),11,3,4,3,1,(Z),2009Q1 ,48,12,14,13,7,2,18,4,8,5,1,1
2009Q2 ,8,2,3,2,1,1,14,3,4,4,2,(Z),2009Q2 ,56,11,16,16,9,3,26,6,8,8,2,1
2009Q3 ,10,2,2,3,2,1,15,4,5,4,2,1,2009Q3 ,53,13,16,13,7,3,26,6,10,6,2,1
2009Q4 ,8,1,3,3,1,1,13,3,4,4,2,1,2009Q4 ,45,12,12,13,6,2,18,4,7,4,1,1
2010Q1 ,8,1,2,3,1,1,12,3,3,4,1,(Z),2010Q1 ,45,13,12,12,6,2,22,5,8,6,2,1
2010Q2 ,9,2,2,4,1,1,14,3,4,4,2,(Z),2010Q2 ,51,12,15,15,8,2,21,5,8,6,2,1
2010Q3 ,8,1,3,2,1,1,11,2,4,4,1,(Z),2010Q3 ,41,8,12,12,7,2,15,4,7,3,1,(Z)
2010Q4 ,6,1,2,2,1,(Z),8,2,2,3,1,1,2010Q4 ,37,9,10,8,8,3,15,4,6,4,1,(Z)
2011Q1 ,6,(Z),2,3,1,(Z),8,2,2,2,1,(Z),2011Q1 ,40,9,10,11,8,3,17,4,8,4,1,(Z)
2011Q2 ,6,1,2,2,1,(Z),12,2,4,4,2,1,2011Q2 ,47,10,12,14,9,2,22,4,9,6,1,1
2011Q3 ,6,1,2,2,1,(Z),12,3,4,4,2,(Z),2011Q3 ,41,9,9,13,7,2,16,4,6,5,1,1
2011Q4 ,4,(Z),1,1,(Z),(Z),12,3,3,3,2,1,2011Q4 ,39,9,10,11,6,2,17,4,7,4,1,(Z)
2012Q1 ,7,1,2,2,1,(Z),10,2,2,4,2,1,2012Q1 ,50,10,12,15,11,2,21,3,10,6,1,1
2012Q2 ,8,1,2,3,1,1,14,2,3,5,3,1,2012Q2 ,51,11,13,14,11,3,30,6,13,8,2,1
2012Q3 ,9,1,2,4,1,1,13,1,3,4,3,1,2012Q3 ,47,8,11,13,12,3,26,5,11,7,2,1
2012Q4 ,6,1,1,2,1,1,11,2,3,4,2,1,2012Q4 ,47,7,10,14,12,3,21,4,8,7,2,1
2013Q1 ,8,1,2,3,1,1,14,2,3,6,2,1,2013Q1 ,56,9,12,18,12,4,32,4,12,11,3,1
2013Q2 ,9,1,2,3,2,1,18,1,3,7,6,1,2013Q2 ,69,7,14,24,18,6,31,4,11,12,3,1
2013Q3 ,8,1,3,2,1,1,15,1,4,5,3,2,2013Q3 ,50,7,12,15,12,5,22,3,7,9,2,1
2013Q4 ,6,1,1,2,1,1,14,1,3,5,3,2,2013Q4 ,58,5,15,18,15,5,21,1,7,8,2,2
2014Q1 ,6,1,2,2,1,1,12,1,2,4,4,1,2014Q1 ,63,5,14,20,18,5,25,2,8,10,2,2
2014Q2 ,8,1,2,2,1,1,19,2,4,6,5,2,2014Q2 ,63,5,13,19,19,7,30,2,9,13,4,2
2014Q3 ,7,(Z),1,2,2,2,14,1,2,5,4,1,2014Q3 ,58,6,13,19,16,5,27,3,9,11,3,2
2014Q4 ,6,(Z),2,2,1,1,13,1,2,4,4,1,2014Q4 ,58,4,11,19,17,8,26,2,7,11,3,2
2015Q1 ,5,(Z),1,2,1,1,13,1,3,4,4,1,2015Q1 ,77,4,15,29,21,8,36,2,11,15,5,2
2015Q2 ,6,(Z),1,3,1,1,18,1,3,7,5,2,2015Q2 ,78,4,17,27,21,8,37,3,11,17,5,1
2015Q3 ,7,1,2,3,1,1,15,1,3,5,6,1,2015Q3 ,68,5,13,21,22,7,29,2,9,12,4,2
2015Q4 ,7,(Z),1,2,1,2,14,(Z),2,5,5,1,2015Q4 ,63,4,9,23,20,7,28,2,8,12,5,2
2016Q1 ,7,(Z),1,3,2,1,14,1,3,5,5,1,2016Q1 ,77,5,13,26,24,9,35,1,11,15,5,2
