" New Houses Sold, by Region, by Sales Price",,,,,,,,,,,,," New Houses Sold, by Region, by Sales Price",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast and Midwest: Quarterly Data Percent,,,,,,,,,,,,,South and West: Quarterly Data Percent,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
[Thousands of houses.  Components may not add to total because of rounding.  Percents computed from unrounded figures],,,,,,,,,,,,,[Thousands of houses.  Components may not add to total because of rounding.  Percents computed from unrounded figures],,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Period,Northeast,,,,,,Midwest,,,,,,Period,South,,,,,,West,,,,,
,Total ,Under ,"$200,000 to ","$300,000 to "," $500,000 to  ","$750,000 ",Total ,Under ,"$150,000 to ","$200,000 to "," $300,000 to  ","$500,000 ",,Total ,Under ,"$150,000 to ","$200,000 to "," $300,000 to  ","$500,000 ",Total ,Under ,"$200,000 to ","$300,000 to "," $500,000 to  ","$750,000 "
,," $200,000 "," $299,999 "," $499,999 "," $749,999  ",and over ,," $150,000 "," $199,999 "," $299,999 "," $499,999  ",and over ,,," $150,000 "," $199,999 "," $299,999 "," $499,999  ",and over ,," $200,000 "," $299,999 "," $499,999 "," $749,999  ",and over 
2002Q1 ,100 ,33 ,27 ,30 ,5 ,4 ,100 ,28 ,30 ,26 ,13 ,4 ,2002Q1 ,100,42,26,20,9,2,100,36,35,21,5,3
2002Q2 ,100 ,38 ,23 ,30 ,6 ,2 ,100 ,34 ,29 ,26 ,8 ,2 ,2002Q2 ,100,41,26,19,12,2,100,36,33,23,5,2
2002Q3 ,100 ,38 ,24 ,29 ,6 ,3 ,100 ,30 ,32 ,24 ,13 ,2 ,2002Q3 ,100,45,26,18,9,2,100,40,33,21,4,3
2002Q4 ,100 ,27 ,29 ,34 ,6 ,3 ,100 ,31 ,27 ,27 ,13 ,2 ,2002Q4 ,100,40,26,20,12,3,100,37,30,26,5,2
2003Q1 ,100 ,45 ,18 ,25 ,11 ,1 ,100 ,31 ,27 ,28 ,9 ,5 ,2003Q1 ,100,40,25,21,11,3,100,36,28,28,6,2
2003Q2 ,100 ,30 ,25 ,35 ,5 ,4 ,100 ,31 ,31 ,22 ,13 ,3 ,2003Q2 ,100,41,25,20,11,4,100,37,29,24,8,3
2003Q3 ,100 ,25 ,37 ,27 ,6 ,5 ,100 ,28 ,29 ,25 ,16 ,2 ,2003Q3 ,100,39,27,21,10,3,100,33,24,30,10,4
2003Q4 ,100 ,14 ,39 ,35 ,8 ,4 ,100 ,27 ,27 ,28 ,15 ,3 ,2003Q4 ,100,36,27,21,12,4,100,35,21,31,9,4
2004Q1 ,100 ,21 ,32 ,30 ,11 ,6 ,100 ,21 ,25 ,32 ,18 ,3 ,2004Q1 ,100,34,24,23,14,5,100,30,27,31,8,3
2004Q2 ,100 ,17 ,37 ,33 ,10 ,2 ,100 ,24 ,25 ,28 ,17 ,6 ,2004Q2 ,100,36,25,22,13,5,100,25,31,30,10,4
2004Q3 ,100 ,13 ,25 ,43 ,14 ,5 ,100 ,23 ,28 ,26 ,18 ,5 ,2004Q3 ,100,35,24,22,14,6,100,30,24,29,11,6
2004Q4 ,100 ,11 ,23 ,43 ,17 ,7 ,100 ,19 ,26 ,33 ,20 ,2 ,2004Q4 ,100,29,25,25,14,7,100,23,28,30,13,6
2005Q1 ,100 ,13 ,23 ,46 ,12 ,6 ,100 ,19 ,22 ,36 ,20 ,3 ,2005Q1 ,100,29,25,24,15,7,100,20,25,35,14,5
2005Q2 ,100 ,14 ,30 ,37 ,15 ,5 ,100 ,19 ,27 ,33 ,17 ,4 ,2005Q2 ,100,28,25,25,16,6,100,15,27,38,14,7
2005Q3 ,100 ,16 ,26 ,36 ,13 ,8 ,100 ,21 ,27 ,31 ,18 ,3 ,2005Q3 ,100,29,26,23,17,6,100,13,26,38,16,7
2005Q4 ,100 ,8 ,25 ,42 ,17 ,8 ,100 ,14 ,23 ,37 ,21 ,5 ,2005Q4 ,100,29,21,28,16,6,100,11,30,40,13,6
2006Q1 ,100 ,11 ,29 ,38 ,13 ,9 ,100 ,19 ,28 ,27 ,19 ,7 ,2006Q1 ,100,23,25,27,17,7,100,10,31,38,13,8
2006Q2 ,100 ,13 ,21 ,41 ,14 ,11 ,100 ,22 ,26 ,29 ,18 ,4 ,2006Q2 ,100,23,24,28,18,6,100,10,30,37,15,8
2006Q3 ,100 ,21 ,17 ,38 ,14 ,11 ,100 ,17 ,27 ,32 ,16 ,7 ,2006Q3 ,100,25,27,26,15,7,100,9,31,37,16,8
