Existing Condo and Co-op Sales,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual 1989 - current; Monthly 1999 - current,,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rate),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,Month over Month % Change,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West
1989,"280,000","90,000","57,000","72,000","61,000",,,,,,,,,,,,
1990,"272,000","73,000","55,000","80,000","64,000",,-2.9%,-18.9%,-3.5%,11.1%,4.9%,,,,,,
1991,"261,000","76,000","55,000","75,000","55,000",,-4.0%,4.1%,0.0%,-6.3%,-14.1%,,,,,,
1992,"282,000","88,000","61,000","77,000","56,000",,8.0%,15.8%,10.9%,2.7%,1.8%,,,,,,
1993,"312,000","98,000","66,000","89,000","59,000",,10.6%,11.4%,8.2%,15.6%,5.4%,,,,,,
1994,"343,000","108,000","68,000","101,000","66,000",,9.9%,10.2%,3.0%,13.5%,11.9%,,,,,,
1995,"333,000","108,000","66,000","96,000","63,000",,-2.9%,0.0%,-2.9%,-5.0%,-4.5%,,,,,,
1996,"370,000","120,000","72,000","105,000","73,000",,11.1%,11.1%,9.1%,9.4%,15.9%,,,,,,
1997,"407,000","134,000","79,000","111,000","83,000",,10.0%,11.7%,9.7%,5.7%,13.7%,,,,,,
1998,"470,000","157,000","92,000","126,000","95,000",,15.5%,17.2%,16.5%,13.5%,14.5%,,,,,,
1999,"534,000","182,000","102,000","145,000","105,000",,13.6%,15.9%,10.9%,15.1%,10.5%,,,,,,
2000,"571,000","197,000","106,000","160,000","108,000",,6.9%,8.2%,3.9%,10.3%,2.9%,,,,,,
2001,"601,000","203,000","116,000","174,000","108,000",,5.3%,3.0%,9.4%,8.7%,0.0%,,,,,,
2002,"657,000","221,000","129,000","193,000","114,000",,9.3%,8.9%,11.2%,10.9%,5.6%,,,,,,
2003,"732,000","250,000","146,000","211,000","125,000",,11.4%,13.1%,13.2%,9.3%,9.6%,,,,,,
2004,"820,000","292,000","161,000","230,000","137,000",,12.0%,16.8%,10.3%,9.0%,9.6%,,,,,,
2005,"896,000"," 331,000 "," 177,000 "," 245,000 "," 143,000 ",,9.3%,13.4%,9.9%,6.5%,4.4%,,,,,,
2006,"801,000"," 299,000 "," 169,000 "," 211,000 "," 122,000 ",,-10.6%,-9.7%,-4.5%,-13.9%,-14.7%,,,,,,
2007,"624,000","126,000","100,000","236,000","162,000",,-22.1%,-57.9%,-40.8%,11.8%,32.8%,,,,,,
2008,"459,000","103,000","71,000","164,000","121,000",,-26.4%,-18.3%,-29.0%,-30.5%,-25.3%,,,,,,
2009,"464,000","105,000","58,000","180,000","121,000",,1.1%,1.9%,-18.3%,9.8%,0.0%,,,,,,
2010,"474,000","95,000","53,000","202,000","124,000",,2.2%,-9.5%,-8.6%,12.2%,2.5%,,,,,,
2011,"477,000","89,000","52,000","210,000","126,000",,0.6%,-6.3%,-1.9%,4.0%,1.6%,,,,,,
2012,"528,000","104,000","66,000","229,000","129,000",,10.7%,16.9%,26.9%,9.0%,2.4%,,,,,,
2013,"603,000","118,000","79,000","265,000","141,000",,14.2%,13.5%,19.7%,15.7%,9.3%,,,,,,
2014,"591,000","112,000","76,000","262,000","141,000",,-2.0%,-5.1%,-3.8%,-1.1%,0.0%,,,,,,
2015,"608,000","115,000","78,000","266,000","149,000",,2.9%,2.7%,2.6%,1.5%,5.7%,,,,,,
2016,"614,000","116,000","82,000","263,000","153,000",,1.0%,0.9%,5.1%,-1.1%,2.7%,,,,,,
2017,"619,000","116,000","80,000","271,000","152,000",,0.8%,0.0%,-2.4%,3.0%,-0.7%,,,,,,
2018,"601,000","110,000","77,000","273,000","141,000",,-2.9%,-5.2%,-3.8%,0.7%,-7.2%,,,,,,
2019,"579,000","106,000","72,000","270,000","131,000",,-3.7%,-3.6%,-6.5%,-1.1%,-7.1%,,,,,,
2020,"578,000","103,000","74,000","275,000","126,000",,-0.2%,-2.8%,2.8%,1.9%,-3.8%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1999.01,"551,000","216,000","95,000","135,000","105,000",,,,,,,,,,,,
1999.02,"536,000","210,000","107,000","129,000","89,000",,,,,,,,-2.7%,-2.8%,12.6%,-4.4%,-15.2%
1999.03,"550,000","205,000","97,000","137,000","111,000",,,,,,,,2.6%,-2.4%,-9.3%,6.2%,24.7%
1999.04,"520,000","176,000","98,000","140,000","107,000",,,,,,,,-5.5%,-14.1%,1.0%,2.2%,-3.6%
1999.05,"528,000","183,000","98,000","141,000","106,000",,,,,,,,1.5%,4.0%,0.0%,0.7%,-0.9%
1999.06,"559,000","207,000","104,000","144,000","104,000",,,,,,,,5.9%,13.1%,6.1%,2.1%,-1.9%
1999.07,"528,000","167,000","98,000","150,000","113,000",,,,,,,,-5.5%,-19.3%,-5.8%,4.2%,8.7%
1999.08,"513,000","172,000","99,000","148,000","93,000",,,,,,,,-2.8%,3.0%,1.0%,-1.3%,-17.7%
1999.09,"523,000","168,000","99,000","147,000","109,000",,,,,,,,1.9%,-2.3%,0.0%,-0.7%,17.2%
1999.10,"530,000","172,000","111,000","137,000","110,000",,,,,,,,1.3%,2.4%,12.1%,-6.8%,0.9%
1999.11,"559,000","176,000","108,000","166,000","109,000",,,,,,,,5.5%,2.3%,-2.7%,21.2%,-0.9%
1999.12,"531,000","161,000","111,000","159,000","100,000",,,,,,,,-5.0%,-8.5%,2.8%,-4.2%,-8.3%
2000.01,"589,000","207,000","114,000","156,000","112,000",,6.9%,-4.2%,20.0%,15.6%,6.7%,,10.9%,28.6%,2.7%,-1.9%,12.0%
2000.02,"548,000","185,000","103,000","148,000","111,000",,2.2%,-11.9%,-3.7%,14.7%,24.7%,,-7.0%,-10.6%,-9.6%,-5.1%,-0.9%
2000.03,"548,000","183,000","98,000","159,000","108,000",,-0.4%,-10.7%,1.0%,16.1%,-2.7%,,0.0%,-1.1%,-4.9%,7.4%,-2.7%
2000.04,"568,000","196,000","108,000","159,000","105,000",,9.2%,11.4%,10.2%,13.6%,-1.9%,,3.6%,7.1%,10.2%,0.0%,-2.8%
2000.05,"543,000","181,000","109,000","154,000","99,000",,2.8%,-1.1%,11.2%,9.2%,-6.6%,,-4.4%,-7.7%,0.9%,-3.1%,-5.7%
2000.06,"560,000","198,000","105,000","154,000","103,000",,0.2%,-4.3%,1.0%,6.9%,-1.0%,,3.1%,9.4%,-3.7%,0.0%,4.0%
2000.07,"560,000","203,000","101,000","156,000","100,000",,6.1%,21.6%,3.1%,4.0%,-11.5%,,0.0%,2.5%,-3.8%,1.3%,-2.9%
2000.08,"571,000","199,000","106,000","159,000","107,000",,11.3%,15.7%,7.1%,7.4%,15.1%,,2.0%,-2.0%,5.0%,1.9%,7.0%
2000.09,"597,000","212,000","111,000","165,000","109,000",,14.1%,26.2%,12.1%,12.2%,0.0%,,4.6%,6.5%,4.7%,3.8%,1.9%
2000.10,"597,000","207,000","108,000","172,000","110,000",,12.6%,20.3%,-2.7%,25.5%,0.0%,,0.0%,-2.4%,-2.7%,4.2%,0.9%
2000.11,"612,000","205,000","111,000","173,000","122,000",,9.5%,16.5%,2.8%,4.2%,11.9%,,2.5%,-1.0%,2.8%,0.6%,10.9%
2000.12,"580,000","194,000","106,000","163,000","117,000",,9.2%,20.5%,-4.5%,2.5%,17.0%,,-5.2%,-5.4%,-4.5%,-5.8%,-4.1%
2001.01,"548,000","174,000","103,000","166,000","105,000",,-7.0%,-15.9%,-9.6%,6.4%,-6.3%,,-5.5%,-10.3%,-2.8%,1.8%,-10.3%
2001.02,"573,000","190,000","107,000","172,000","104,000",,4.6%,2.7%,3.9%,16.2%,-6.3%,,4.6%,9.2%,3.9%,3.6%,-1.0%
2001.03,"619,000","207,000","115,000","172,000","125,000",,13.0%,13.1%,17.3%,8.2%,15.7%,,8.0%,8.9%,7.5%,0.0%,20.2%
2001.04,"587,000","199,000","114,000","169,000","104,000",,3.3%,1.5%,5.6%,6.3%,-1.0%,,-5.2%,-3.9%,-0.9%,-1.7%,-16.8%
2001.05,"585,000","203,000","113,000","176,000","92,000",,7.7%,12.2%,3.7%,14.3%,-7.1%,,-0.3%,2.0%,-0.9%,4.1%,-11.5%
2001.06,"609,000","198,000","117,000","176,000","118,000",,8.7%,0.0%,11.4%,14.3%,14.6%,,4.1%,-2.5%,3.5%,0.0%,28.3%
2001.07,"622,000","210,000","123,000","172,000","117,000",,11.1%,3.4%,21.8%,10.3%,17.0%,,2.1%,6.1%,5.1%,-2.3%,-0.8%
2001.08,"630,000","210,000","121,000","193,000","106,000",,10.3%,5.5%,14.2%,21.4%,-0.9%,,1.3%,0.0%,-1.6%,12.2%,-9.4%
2001.09,"597,000","201,000","121,000","173,000","102,000",,0.0%,-5.2%,9.0%,4.8%,-6.4%,,-5.2%,-4.3%,0.0%,-10.4%,-3.8%
2001.10,"598,000","203,000","114,000","171,000","110,000",,0.2%,-1.9%,5.6%,-0.6%,0.0%,,0.2%,1.0%,-5.8%,-1.2%,7.8%
2001.11,"591,000","209,000","110,000","168,000","105,000",,-3.4%,2.0%,-0.9%,-2.9%,-13.9%,,-1.2%,3.0%,-3.5%,-1.8%,-4.5%
2001.12,"626,000","212,000","121,000","182,000","111,000",,7.9%,9.3%,14.2%,11.7%,-5.1%,,5.9%,1.4%,10.0%,8.3%,5.7%
2002.01,"640,000","214,000","126,000","182,000","118,000",,16.8%,23.0%,22.3%,9.6%,12.4%,,2.2%,0.9%,4.1%,0.0%,6.3%
2002.02,"702,000","245,000","151,000","185,000","120,000",,22.5%,28.9%,41.1%,7.6%,15.4%,,9.7%,14.5%,19.8%,1.6%,1.7%
2002.03,"649,000","212,000","134,000","187,000","117,000",,4.8%,2.4%,16.5%,8.7%,-6.4%,,-7.5%,-13.5%,-11.3%,1.1%,-2.5%
2002.04,"666,000","221,000","132,000","191,000","122,000",,13.5%,11.1%,15.8%,13.0%,17.3%,,2.6%,4.2%,-1.5%,2.1%,4.3%
2002.05,"674,000","225,000","131,000","197,000","121,000",,15.2%,10.8%,15.9%,11.9%,31.5%,,1.2%,1.8%,-0.8%,3.1%,-0.8%
2002.06,"653,000","220,000","128,000","196,000","110,000",,7.2%,11.1%,9.4%,11.4%,-6.8%,,-3.1%,-2.2%,-2.3%,-0.5%,-9.1%
2002.07,"627,000","207,000","122,000","193,000","106,000",,0.8%,-1.4%,-0.8%,12.2%,-9.4%,,-4.0%,-5.9%,-4.7%,-1.5%,-3.6%
2002.08,"631,000","207,000","126,000","191,000","107,000",,0.2%,-1.4%,4.1%,-1.0%,0.9%,,0.6%,0.0%,3.3%,-1.0%,0.9%
2002.09,"654,000","218,000","125,000","197,000","114,000",,9.5%,8.5%,3.3%,13.9%,11.8%,,3.6%,5.3%,-0.8%,3.1%,6.5%
2002.10,"664,000","229,000","132,000","197,000","106,000",,11.0%,12.8%,15.8%,15.2%,-3.6%,,1.5%,5.0%,5.6%,0.0%,-7.0%
2002.11,"670,000","234,000","128,000","197,000","111,000",,13.4%,12.0%,16.4%,17.3%,5.7%,,0.9%,2.2%,-3.0%,0.0%,4.7%
