Inventory and Months Supply of Condo/Coops,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,
"Annual and monthly, 1999 - current",,,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Inventory,Months Supply,,,,,,,,,,,,
1999,"164,000",4.9,,,,,,,,,,,,
2000,"208,000",4.4,,,,,,,,,,,,
2001,"228,000",4.6,,,,,,,,,,,,
2002,"248,000",4.4,,,,,,,,,,,,
2003,"230,000",4.4,,,,,,,,,,,,
2004,"274,000",4.1,,,,,,,,,,,,
2005,"456,000",4.7,,,,,,,,,,,,
2006,"530,000",7.8,,,,,,,,,,,,
2007,"508,000",10.7,,,,,,,,,,,,
2008,"501,000",14.1,,,,,,,,,,,,
2009,"411,000",12.7,,,,,,,,,,,,
2010,"429,000",11.9,,,,,,,,,,,,
2011,"291,000",9.7,,,,,,,,,,,,
2012,"224,000",6.3,,,,,,,,,,,,
2013,"222,000",4.7,,,,,,,,,,,,
2014,"216,000",5.0,,,,,,,,,,,,
2015,"213,000",4.8,,,,,,,,,,,,
2016,"195,000",4.5,,,,,,,,,,,,
2017,"173,000",4.0,,,,,,,,,,,,
2018,"187,000",4.1,,,,,,,,,,,,
2019,"175,000",4.3,,,,,,,,,,,,
2020,"179,000",4.1,,,,,,,,,,,,
,,,,,,,,,,,,,,
1999.01,"339,000",7.4,,,,,,,,,,,,
1999.02,"322,000",7.2,,,,,,,,,,,,
1999.03,"250,000",5.5,,,,,,,,,,,,
1999.04,"202,000",4.7,,,,,,,,,,,,
1999.05,"200,000",4.5,,,,,,,,,,,,
1999.06,"192,000",4.1,,,,,,,,,,,,
1999.07,"182,000",4.1,,,,,,,,,,,,
