Average Sales Price of Existing Condo Homes,,,,,,,,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1999 to present,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,,,,,,,,
1999,"134,700","144,700","135,600","111,400","176,800",,,,,,,,,,,,,,,,,,,,,
2000,"139,300","144,600","145,500","113,700","192,000",,3.4%,-0.1%,7.3%,2.1%,8.6%,,,,,,,,,,,,,,,
2001,"151,800","160,600","157,700","123,600","200,100",,9.0%,11.1%,8.4%,8.7%,4.2%,,,,,,,,,,,,,,,
2002,"176,900","182,600","177,400","145,200","222,100",,16.5%,13.7%,12.5%,17.5%,11.0%,,,,,,,,,,,,,,,
2003,"201,100","214,400","195,000","162,900","249,000",,13.7%,17.4%,9.9%,12.2%,12.1%,,,,,,,,,,,,,,,
2004,"234,100","247,000","213,900","197,300","284,600",,16.4%,15.2%,9.7%,21.1%,14.3%,,,,,,,,,,,,,,,
2005,"260,800","274,200","226,500","230,600","312,500",,11.4%,11.0%,5.9%,16.9%,9.8%,,,,,,,,,,,,,,,
2006,"259,300","283,000","226,400","221,000","302,800",,-0.6%,3.2%,0.0%,-4.2%,-3.1%,,,,,,,,,,,,,,,
2007,"264,300","291,100","236,000","222,700","302,700",,1.9%,2.9%,4.2%,0.8%,0.0%,,,,,,,,,,,,,,,
2008,"250,500","288,600","233,700","207,100","260,700",,-5.2%,-0.9%,-1.0%,-7.0%,-13.9%,,,,,,,,,,,,,,,
2009,"216,300","267,800","197,200","172,500","206,200",,-13.7%,-7.2%,-15.6%,-16.7%,-20.9%,,,,,,,,,,,,,,,
2010,"215,700","279,500","192,100","162,200","202,000",,-0.3%,4.4%,-2.6%,-6.0%,-2.0%,,,,,,,,,,,,,,,
2011,"211,300","276,300","167,500","155,200","218,900",,-2.0%,-1.1%,-12.8%,-4.3%,8.4%,,,,,,,,,,,,,,,
2012,"222,200","280,400","168,300","173,700","240,200",,5.2%,1.5%,0.5%,11.9%,9.7%,,,,,,,,,,,,,,,
2013,"244,300","292,400","182,200","196,500","286,900",,9.9%,4.3%,8.3%,13.1%,19.4%,,,,,,,,,,,,,,,
2014,"253,800","297,700","194,100","202,500","306,500",,3.9%,1.8%,6.5%,3.1%,6.8%,,,,,,,,,,,,,,,
2015,"259,600","294,300","203,200","208,200","325,100",,2.3%,-1.1%,4.7%,2.8%,6.1%,,,,,,,,,,,,,,,
2016,"268,500","300,200","210,300","214,500","344,300",,3.4%,2.0%,3.5%,3.0%,5.9%,,,,,,,,,,,,,,,
2017,"281,300","313,300","219,600","225,100","363,800",,4.8%,4.4%,4.4%,4.9%,5.7%,,,,,,,,,,,,,,,
2018,"288,600","324,800","220,700","225,500","378,900",,2.6%,3.7%,0.5%,0.2%,4.2%,,,,,,,,,,,,,,,
2019,"295,500","331,800","225,800","233,300","385,600",,2.4%,2.2%,2.3%,3.5%,1.8%,,,,,,,,,,,,,,,
2020,"309,100","344,700","233,700","249,900","401,800",,4.6%,3.9%,3.5%,7.1%,4.2%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.01,"130,500","139,500","124,100","113,900","164,500",,,,,,,,,,,,,,,,,,,,,
1999.02,"136,400","136,700","142,400","125,200","176,100",,,,,,,,,,,,,,,,,,,,,
1999.03,"136,700","144,200","161,900","111,500","185,200",,,,,,,,,,,,,,,,,,,,,
1999.04,"129,400","137,500","135,600","107,700","178,000",,,,,,,,,,,,,,,,,,,,,
1999.05,"128,300","133,000","138,500","110,500","173,000",,,,,,,,,,,,,,,,,,,,,
1999.06,"141,800","162,100","133,200","118,200","191,100",,,,,,,,,,,,,,,,,,,,,
1999.07,"129,800","147,300","134,000","105,100","161,200",,,,,,,,,,,,,,,,,,,,,
1999.08,"130,400","145,700","137,100","104,600","163,300",,,,,,,,,,,,,,,,,,,,,
1999.09,"135,700","155,200","137,000","106,100","173,900",,,,,,,,,,,,,,,,,,,,,
1999.10,"130,500","130,800","136,800","107,400","177,100",,,,,,,,,,,,,,,,,,,,,
1999.11,"136,300","145,900","132,100","109,700","182,600",,,,,,,,,,,,,,,,,,,,,
