Existing Condo/Coop Sales,,,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,,,
"Monthly, 1999 to current",,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,,,
1999.01,"30,000","11,000","5,000","8,000","6,000",,,,,,,,,,,,,,
1999.02,"31,000","11,000","5,000","9,000","6,000",,,,,,,,,,,,,,
1999.03,"45,000","14,000","8,000","13,000","10,000",,,,,,,,,,,,,,
1999.04,"47,000","14,000","9,000","14,000","10,000",,,,,,,,,,,,,,
1999.05,"47,000","16,000","9,000","13,000","9,000",,,,,,,,,,,,,,
1999.06,"55,000","20,000","11,000","14,000","10,000",,,,,,,,,,,,,,
1999.07,"54,000","20,000","11,000","13,000","10,000",,,,,,,,,,,,,,
1999.08,"51,000","18,000","10,000","13,000","10,000",,,,,,,,,,,,,,
1999.09,"45,000","15,000","9,000","12,000","9,000",,,,,,,,,,,,,,
1999.10,"44,000","15,000","9,000","11,000","9,000",,,,,,,,,,,,,,
1999.11,"42,000","14,000","8,000","12,000","8,000",,,,,,,,,,,,,,
1999.12,"43,000","14,000","8,000","13,000","8,000",,,,,,,,,,,,,,
2000.01,"31,000","10,000","6,000","9,000","6,000",,3.3%,-9.1%,20.0%,12.5%,0.0%,,,,,,,,
2000.02,"34,000","10,000","5,000","11,000","8,000",,9.7%,-9.1%,0.0%,22.2%,33.3%,,,,,,,,
2000.03,"46,000","13,000","8,000","15,000","10,000",,2.2%,-7.1%,0.0%,15.4%,0.0%,,,,,,,,
2000.04,"47,000","14,000","9,000","15,000","9,000",,0.0%,0.0%,0.0%,7.1%,-10.0%,,,,,,,,
2000.05,"52,000","17,000","11,000","15,000","9,000",,10.6%,6.3%,22.2%,15.4%,0.0%,,,,,,,,
2000.06,"56,000","20,000","11,000","15,000","10,000",,1.8%,0.0%,0.0%,7.1%,0.0%,,,,,,,,
2000.07,"55,000","23,000","11,000","13,000","8,000",,1.9%,15.0%,0.0%,0.0%,-20.0%,,,,,,,,
2000.08,"58,000","21,000","11,000","14,000","12,000",,13.7%,16.7%,10.0%,7.7%,20.0%,,,,,,,,
2000.09,"52,000","19,000","10,000","14,000","9,000",,15.6%,26.7%,11.1%,16.7%,0.0%,,,,,,,,
2000.10,"50,000","18,000","9,000","14,000","9,000",,13.6%,20.0%,0.0%,27.3%,0.0%,,,,,,,,
2000.11,"45,000","16,000","8,000","12,000","9,000",,7.1%,14.3%,0.0%,0.0%,12.5%,,,,,,,,
2000.12,"45,000","16,000","7,000","13,000","9,000",,4.7%,14.3%,-12.5%,0.0%,12.5%,,,,,,,,
2001.01,"31,000","9,000","6,000","10,000","6,000",,0.0%,-10.0%,0.0%,11.1%,0.0%,,,,,,,,
2001.02,"34,000","10,000","5,000","12,000","7,000",,0.0%,0.0%,0.0%,9.1%,-12.5%,,,,,,,,
2001.03,"50,000","14,000","9,000","16,000","11,000",,8.7%,7.7%,12.5%,6.7%,10.0%,,,,,,,,
2001.04,"50,000","15,000","10,000","16,000","9,000",,6.4%,7.1%,11.1%,6.7%,0.0%,,,,,,,,
2001.05,"56,000","19,000","11,000","17,000","9,000",,7.7%,11.8%,0.0%,13.3%,0.0%,,,,,,,,
2001.06,"59,000","19,000","12,000","17,000","11,000",,5.4%,-5.0%,9.1%,13.3%,10.0%,,,,,,,,
2001.07,"64,000","25,000","14,000","15,000","10,000",,16.4%,8.7%,27.3%,15.4%,25.0%,,,,,,,,
2001.08,"65,000","23,000","13,000","17,000","12,000",,12.1%,9.5%,18.2%,21.4%,0.0%,,,,,,,,
2001.09,"49,000","17,000","10,000","14,000","8,000",,-5.8%,-10.5%,0.0%,0.0%,-11.1%,,,,,,,,
2001.10,"51,000","18,000","10,000","14,000","9,000",,2.0%,0.0%,11.1%,0.0%,0.0%,,,,,,,,
2001.11,"45,000","17,000","8,000","12,000","8,000",,0.0%,6.3%,0.0%,0.0%,-11.1%,,,,,,,,
2001.12,"47,000","17,000","8,000","14,000","8,000",,4.4%,6.3%,14.3%,7.7%,-11.1%,,,,,,,,
2002.01,"36,000","11,000","7,000","11,000","7,000",,16.1%,22.2%,16.7%,10.0%,16.7%,,,,,,,,
2002.02,"41,000","13,000","7,000","13,000","8,000",,20.6%,30.0%,40.0%,8.3%,14.3%,,,,,,,,
