Existing Single-Family Home Sales,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
"Annual and monthly, 1989 to current",,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rate),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,Month over Month % Change,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West
1989,"3,010,000","545,000","829,000","1,003,000","633,000",,,,,,,,,,,,
1990,"2,914,000","513,000","804,000","1,008,000","589,000",,-3.2%,-5.9%,-3.0%,0.5%,-7.0%,,,,,,
1991,"2,886,000","516,000","807,000","990,000","573,000",,-1.0%,0.6%,0.4%,-1.8%,-2.7%,,,,,,
1992,"3,151,000","577,000","907,000","1,047,000","620,000",,9.2%,11.8%,12.4%,5.8%,8.2%,,,,,,
1993,"3,427,000","614,000","961,000","1,167,000","685,000",,8.8%,6.4%,6.0%,11.5%,10.5%,,,,,,
1994,"3,544,000","618,000","961,000","1,213,000","752,000",,3.4%,0.7%,0.0%,3.9%,9.8%,,,,,,
1995,"3,519,000","615,000","940,000","1,212,000","752,000",,-0.7%,-0.5%,-2.2%,-0.1%,0.0%,,,,,,
1996,"3,797,000","656,000","986,000","1,283,000","872,000",,7.9%,6.7%,4.9%,5.9%,16.0%,,,,,,
1997,"3,964,000","683,000","1,004,000","1,356,000","921,000",,4.4%,4.1%,1.8%,5.7%,5.6%,,,,,,
1998,"4,495,000","745,000","1,129,000","1,592,000","1,029,000",,13.4%,9.1%,12.5%,17.4%,11.7%,,,,,,
1999,"4,649,000","728,000","1,145,000","1,704,000","1,072,000",,3.4%,-2.3%,1.4%,7.0%,4.2%,,,,,,
2000,"4,603,000","715,000","1,116,000","1,707,000","1,065,000",,-1.0%,-1.8%,-2.5%,0.2%,-0.7%,,,,,,
2001,"4,735,000","710,000","1,154,000","1,795,000","1,076,000",,2.9%,-0.7%,3.4%,5.2%,1.0%,,,,,,
2002,"4,974,000","730,000","1,217,000","1,872,000","1,155,000",,5.0%,2.8%,5.5%,4.3%,7.3%,,,,,,
2003,"5,446,000","770,000","1,323,000","2,073,000","1,280,000",,9.5%,5.5%,8.7%,10.7%,10.8%,,,,,,
2004,"5,958,000","821,000","1,389,000","2,310,000","1,438,000",,9.4%,6.6%,5.0%,11.4%,12.3%,,,,,,
2005,"6,180,000","838,000","1,411,000","2,457,000","1,474,000",,3.7%,2.1%,1.6%,6.4%,2.5%,,,,,,
2006,"5,677,000","787,000","1,314,000","2,352,000","1,224,000",,-8.1%,-6.1%,-6.9%,-4.3%,-17.0%,,,,,,
2007,"4,398,000","587,000","1,091,000","1,819,000","901,000",,-22.5%,-25.4%,-17.0%,-22.7%,-26.4%,,,,,,
2008,"3,665,000","471,000","882,000","1,439,000","873,000",,-16.7%,-19.8%,-19.2%,-20.9%,-3.1%,,,,,,
2009,"3,870,000","480,000","918,000","1,460,000","1,012,000",,5.6%,1.9%,4.1%,1.5%,15.9%,,,,,,
2010,"3,708,000","465,000","859,000","1,426,000","958,000",,-4.2%,-3.1%,-6.4%,-2.3%,-5.3%,,,,,,
2011,"3,787,000","449,000","863,000","1,471,000","1,004,000",,2.1%,-3.4%,0.5%,3.2%,4.8%,,,,,,
2012,"4,128,000","492,000","1,002,000","1,605,000","1,029,000",,9.0%,9.6%,16.1%,9.1%,2.5%,,,,,,
2013,"4,484,000","540,000","1,122,000","1,775,000","1,047,000",,8.6%,9.8%,12.0%,10.6%,1.7%,,,,,,
2014,"4,344,000","533,000","1,060,000","1,789,000","962,000",,-3.1%,-1.3%,-5.5%,0.8%,-8.1%,,,,,,
2015,"4,646,000","576,000","1,162,000","1,885,000","1,023,000",,7.0%,8.1%,9.6%,5.4%,6.3%,,,,,,
2016,"4,838,000","617,000","1,222,000","1,955,000","1,044,000",,4.1%,7.1%,5.2%,3.7%,2.1%,,,,,,
2017,"4,892,000","615,000","1,222,000","1,989,000","1,066,000",,1.1%,-0.3%,0.0%,1.7%,2.1%,,,,,,
2018,"4,742,000","581,000","1,192,000","1,972,000","997,000",,-3.1%,-5.5%,-2.5%,-0.9%,-6.5%,,,,,,
2019,"4,765,000","581,000","1,183,000","2,016,000","985,000",,0.5%,0.0%,-0.8%,2.2%,-1.2%,,,,,,
2020,"5,066,000","604,000","1,264,000","2,175,000","1,023,000",,6.3%,4.0%,6.8%,7.9%,3.9%,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
