Inventory and Months Supply of Existing Single-Family Homes,,,,,,,
United States,,,,,,,
"Annual and monthly, 1982 to current",,,,,,,
(Not Seasonally Adjusted),,,,,,,
Existing Home Sales Program © 2021,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,
,,,,,,,
,,,,,,,
,Inventory,Months Supply,,,,,
1982,"1,910,000",N/A,,,,,
1983,"1,960,000",10.5,,,,,
1984,"2,260,000",10.8,,,,,
1985,"2,200,000",9.9,,,,,
1986,"1,970,000",8.9,,,,,
1987,"2,160,000",8.4,,,,,
1988,"2,160,000",8.6,,,,,
1989,"1,700,000",8.4,,,,,
1990,"1,920,000",8.9,,,,,
1991,"1,990,000",9.0,,,,,
1992,"1,760,000",8.2,,,,,
1993,"1,520,000",6.5,,,,,
1994,"1,380,000",5.4,,,,,
1995,"1,580,000",5.7,,,,,
1996,"1,730,000",6.1,,,,,
1997,"1,690,000",6.1,,,,,
1998,"1,710,000",5.5,,,,,
1999,"1,550,000",4.8,,,,,
2000,"1,660,000",4.5,,,,,
2001,"1,660,000",4.6,,,,,
2002,"1,890,000",4.7,,,,,
2003,"2,040,000",4.7,,,,,
2004,"1,970,000",4.3,,,,,
2005,"2,390,000",4.4,,,,,
2006,"2,920,000",6.4,,,,,
2007,"3,010,000",8.7,,,,,
2008,"2,630,000",10.0,,,,,
2009,"2,330,000",8.3,,,,,
2010,"2,590,000",9.0,,,,,
2011,"2,030,000",8.1,,,,,
2012,"1,610,000",5.8,,,,,
2013,"1,640,000",4.9,,,,,
2014,"1,640,000",5.2,,,,,
2015,"1,550,000",4.8,,,,,
2016,"1,450,000",4.3,,,,,
2017,"1,290,000",3.9,,,,,
2018,"1,340,000",4.0,,,,,
2019,"1,210,000",3.9,,,,,
