Median Sales Price of Existing Single-Family Homes,,,,,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,,,,,
Annual and Monthly Data:  1989 to present,,,,,,,,,,,,,,,,,
(Not seasonally adjusted),,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,,,,,
1989,"94,600","147,700","73,100","85,600","138,400",,,,,,,,,,,,
1990,"97,300","146,200","76,700","86,300","141,200",,2.9%,-1.0%,4.9%,0.8%,2.0%,,,,,,
1991,"102,700","149,300","81,000","89,800","147,400",,5.5%,2.1%,5.6%,4.1%,4.4%,,,,,,
1992,"105,500","149,000","84,600","92,900","143,300",,2.7%,-0.2%,4.4%,3.5%,-2.8%,,,,,,
1993,"109,100","149,300","87,600","95,800","144,400",,3.4%,0.2%,3.5%,3.1%,0.8%,,,,,,
1994,"113,500","149,300","90,900","97,200","151,900",,4.0%,0.0%,3.8%,1.5%,5.2%,,,,,,
1995,"117,000","146,500","96,500","99,200","153,600",,3.1%,-1.9%,6.2%,2.1%,1.1%,,,,,,
1996,"122,600","147,800","102,800","105,000","160,200",,4.8%,0.9%,6.5%,5.8%,4.3%,,,,,,
1997,"129,000","152,400","108,900","111,300","169,000",,5.2%,3.1%,5.9%,6.0%,5.5%,,,,,,
1998,"136,000","157,100","116,300","118,000","179,500",,5.4%,3.1%,6.8%,6.0%,6.2%,,,,,,
1999,"141,200","160,700","121,600","122,100","189,400",,3.8%,2.3%,4.6%,3.5%,5.5%,,,,,,
2000,"147,300","161,200","125,600","130,300","199,200",,4.3%,0.3%,3.3%,6.7%,5.2%,,,,,,
2001,"156,600","169,400","132,300","139,600","211,700",,6.3%,5.1%,5.3%,7.1%,6.3%,,,,,,
2002,"167,600","190,100","138,300","149,700","234,300",,7.0%,12.2%,4.5%,7.2%,10.7%,,,,,,
2003,"180,200","220,300","143,700","159,700","254,700",,7.5%,15.9%,3.9%,6.7%,8.7%,,,,,,
2004,"195,200","254,400","151,500","171,800","289,100",,8.3%,15.5%,5.4%,7.6%,13.5%,,,,,,
2005,"219,000","281,600","168,300","181,100","340,300",,12.2%,10.7%,11.1%,5.4%,17.7%,,,,,,
2006,"221,900","280,300","164,800","183,700","350,500",,1.3%,-0.5%,-2.1%,1.4%,3.0%,,,,,,
2007,"217,900","288,100","161,400","178,800","342,500",,-1.8%,2.8%,-2.1%,-2.7%,-2.3%,,,,,,
2008,"196,600","271,500","150,500","169,400","276,100",,-9.8%,-5.8%,-6.8%,-5.3%,-19.4%,,,,,,
2009,"172,100","243,200","142,900","155,000","215,400",,-12.5%,-10.4%,-5.0%,-8.5%,-22.0%,,,,,,
2010,"173,100","243,900","140,800","153,700","220,700",,0.6%,0.3%,-1.5%,-0.8%,2.5%,,,,,,
2011,"166,200","237,500","135,800","149,300","204,500",,-4.0%,-2.6%,-3.6%,-2.9%,-7.3%,,,,,,
2012,"177,200","237,200","143,700","158,400","234,300",,6.6%,-0.1%,5.8%,6.1%,14.6%,,,,,,
2013,"197,400","248,900","155,700","174,200","276,400",,11.4%,4.9%,8.4%,10.0%,18.0%,,,,,,
2014,"208,900","252,200","164,200","182,900","294,400",,5.8%,1.3%,5.5%,5.0%,6.5%,,,,,,
2015,"223,900","262,500","175,500","196,400","319,100",,7.2%,4.1%,6.9%,7.4%,8.4%,,,,,,
2016,"235,500","265,400","184,400","209,200","342,900",,5.2%,1.1%,5.1%,6.5%,7.5%,,,,,,
2017,"248,800","275,700","196,200","222,700","369,400",,5.6%,3.9%,6.4%,6.5%,7.7%,,,,,,
2018,"261,600","289,200","201,700","231,600","388,600",,5.1%,4.9%,2.8%,4.0%,5.2%,,,,,,
2019,"274,600","301,900","214,500","241,900","405,200",,5.0%,4.4%,6.3%,4.4%,4.3%,,,,,,
2020,"300,200","341,700","235,400","265,100","451,500",,9.3%,13.2%,9.7%,9.6%,11.4%,,,,,,
,,,,,,,,,,,,,,,,,
1989.01,"90,300","131,300","68,200","81,900","138,100",,,,,,,,,,,,
1989.02,"92,300","130,800","70,100","87,800","132,800",,,,,,,,,,,,
