Inventory and Months Supply of Total EHS,,,,,,,
United States,,,,,,,
"Annual and monthly, 1999 - current",,,,,,,
(Not Seasonally Adjusted and Seasonally Adjusted),,,,,,,
Existing Home Sales Program © 2021,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,
,,,,,,,
,,,,,,,
,Inventory,Months Supply,,SA Inv,SA Months,,
1999.00,"1,710,000",4.8,,,,,
2000.00,"1,870,000",4.5,,,,,
2001.00,"1,890,000",4.6,,,,,
2002.00,"2,140,000",4.7,,,,,
2003.00,"2,270,000",4.6,,,,,
2004.00,"2,240,000",4.3,,,,,
2005.00,"2,850,000",4.5,,,,,
2006.00,"3,450,000",6.5,,,,,
2007.00,"3,520,000",8.9,,"3,790,000",8.9,,
2008.00,"3,130,000",10.4,,"3,400,000",10.4,,
2009.00,"2,740,000",8.8,,"2,990,000",8.8,,
2010.00,"3,020,000",9.4,,"3,310,000",9.4,,
2011.00,"2,320,000",8.3,,"2,590,000",8.3,,
2012.00,"1,830,000",5.9,,"2,050,000",5.9,,
2013.00,"1,860,000",4.9,,"2,100,000",4.9,,
2014.00,"1,860,000",5.2,,"2,110,000",5.2,,
2015.00,"1,760,000",4.8,,"2,030,000",4.8,,
2016.00,"1,650,000",4.4,,"1,910,000",4.4,,
2017.00,"1,460,000",3.9,,"1,700,000",3.9,,
2018.00,"1,530,000",4.0,,"1,800,000",4.0,,
2019.00,"1,390,000",3.9,,"1,630,000",3.9,,
2020.00,"1,060,000",3.1,,"1,260,000",3.1,,
,,,,,,,
,,,,,,,
1999.01,"2,210,000",5.1,,,,,
1999.02,"2,140,000",5.0,,,,,
1999.03,"2,130,000",5.0,,,,,
1999.04,"2,180,000",5.1,,,,,
1999.05,"2,180,000",5.0,,,,,
1999.06,"2,140,000",4.7,,,,,
1999.07,"2,030,000",4.6,,,,,
1999.08,"2,070,000",4.7,,,,,
1999.09,"1,990,000",4.7,,,,,
1999.10,"2,060,000",4.8,,,,,
1999.11,"1,910,000",4.5,,,,,
1999.12,"1,710,000",4.0,,,,,
2000.01,"1,850,000",4.2,,"1,920,000",4.4,,
2000.02,"2,010,000",4.7,,"1,980,000",4.6,,
2000.03,"1,790,000",4.1,,"1,800,000",4.2,,
2000.04,"2,010,000",4.6,,"1,910,000",4.4,,
2000.05,"1,940,000",4.6,,"1,950,000",4.6,,
