Mean Sales Price of Existing Homes,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,
"Annual and monthly, 1999 to current",,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West
1999,"171,000","181,800","142,300","147,500","229,300",,,,,,
2000,"178,500","185,300","148,200","157,500","236,700",,,,,,
2001,"188,300","195,500","155,500","167,600","249,100",,,,,,
2002,"206,000","217,500","169,400","181,900","271,700",,,,,,
2003,"222,200","244,900","179,900","195,800","290,000",,,,,,
2004,"244,400","273,600","189,400","215,600","324,300",,,,,,
2005,"266,600","297,000","203,800","231,700","363,800",,,,,,
2006,"268,200","299,700","205,300","230,000","371,200",,,,,,
2007,"266,000","307,100","200,500","225,600","365,900",,,,,,
2008,"242,700","297,800","183,400","211,600","312,300",,,,,,
2009,"216,900","276,300","171,100","192,700","256,700",,,,,,
2010,"220,000","281,500","172,500","193,000","264,100",,,,,,
2011,"214,000","276,900","166,900","188,100","252,300",,,,,,
2012,"225,400","277,900","173,700","198,800","278,100",,,,,,
2013,"245,500","288,900","186,900","216,400","317,400",,,,,,
2014,"255,300","292,700","196,500","224,400","334,100",,,,,,
2015,"266,400","298,900","206,900","234,700","351,200",,,,,,
2016,"276,000","301,700","215,100","243,900","368,500",,,,,,
2017,"289,200","312,200","226,400","255,400","388,200",,,,,,
2018,"298,200","322,900","230,400","262,000","404,400",,,,,,
2019,"308,600","332,100","240,700","271,600","417,000",,,,,,
2020,"331,900","359,300","260,600","293,700","443,500",,,,,,
,,,,,,,,,,,
1999.01,"163,800","168,700","135,000","141,800","222,300",,,,,,
1999.02,"162,400","169,700","133,200","143,200","219,400",,,,,,
1999.03,"164,600","169,900","135,700","143,400","223,900",,,,,,
1999.04,"165,700","172,700","136,900","144,900","222,900",,,,,,
1999.05,"169,600","178,900","140,500","146,100","230,500",,,,,,
1999.06,"177,100","186,500","148,100","156,500","235,300",,,,,,
1999.07,"173,100","187,000","147,100","149,800","227,500",,,,,,
1999.08,"174,800","187,700","147,700","149,000","236,100",,,,,,
1999.09,"174,000","182,500","144,300","147,800","238,600",,,,,,
1999.10,"169,000","173,000","142,100","146,500","229,300",,,,,,
1999.11,"170,400","180,200","140,600","146,200","230,800",,,,,,
1999.12,"171,300","182,400","143,500","148,900","225,600",,,,,,
2000.01,"173,200","172,500","145,300","146,500","234,900",,5.7%,2.3%,7.6%,3.3%,5.7%
2000.02,"170,300","177,300","138,100","153,700","225,100",,4.9%,4.5%,3.7%,7.3%,2.6%
2000.03,"173,500","177,400","136,700","153,600","238,800",,5.4%,4.4%,0.7%,7.1%,6.7%
2000.04,"175,100","191,600","141,000","151,100","238,700",,5.7%,10.9%,3.0%,4.3%,7.1%
2000.05,"177,900","187,400","144,000","154,400","245,500",,4.9%,4.8%,2.5%,5.7%,6.5%
2000.06,"181,100","195,300","152,100","156,800","241,900",,2.3%,4.7%,2.7%,0.2%,2.8%
2000.07,"178,300","186,800","153,900","153,700","237,400",,3.0%,-0.1%,4.6%,2.6%,4.4%
2000.08,"182,900","186,300","155,200","158,100","247,700",,4.6%,-0.7%,5.1%,6.1%,4.9%
2000.09,"182,000","193,400","152,200","157,600","244,500",,4.6%,6.0%,5.5%,6.6%,2.5%
2000.10,"178,000","178,100","146,500","156,900","244,700",,5.3%,2.9%,3.1%,7.1%,6.7%
2000.11,"177,700","185,500","141,000","158,400","243,000",,4.3%,2.9%,0.3%,8.3%,5.3%
2000.12,"179,900","186,900","146,400","161,400","239,200",,5.0%,2.5%,2.0%,8.4%,6.0%
2001.01,"178,200","190,600","145,400","158,000","236,300",,2.9%,10.5%,0.1%,7.8%,0.6%
2001.02,"177,300","184,200","143,000","157,800","239,700",,4.1%,3.9%,3.5%,2.7%,6.5%
2001.03,"181,000","181,900","142,400","164,300","244,500",,4.3%,2.5%,4.2%,7.0%,2.4%
2001.04,"181,400","188,800","145,000","163,500","247,100",,3.6%,-1.5%,2.8%,8.2%,3.5%
2001.05,"185,600","193,200","151,900","166,100","250,300",,4.3%,3.1%,5.5%,7.6%,2.0%
2001.06,"193,400","201,400","157,600","178,100","250,500",,6.8%,3.1%,3.6%,13.6%,3.6%
2001.07,"191,800","204,300","165,000","169,100","245,000",,7.6%,9.4%,7.2%,10.0%,3.2%
2001.08,"194,600","209,500","162,300","173,000","251,500",,6.4%,12.5%,4.6%,9.4%,1.5%
2001.09,"188,400","189,300","156,000","169,100","254,000",,3.5%,-2.1%,2.5%,7.3%,3.9%
2001.10,"184,300","188,000","148,900","165,100","250,700",,3.5%,5.6%,1.6%,5.2%,2.5%
2001.11,"184,600","189,600","148,200","168,500","243,300",,3.9%,2.2%,5.1%,6.4%,0.1%
2001.12,"195,100","208,600","162,600","176,900","249,300",,8.4%,11.6%,11.1%,9.6%,4.2%
2002.01,"192,800","201,800","151,800","172,000","260,500",,8.2%,5.9%,4.4%,8.9%,10.2%
2002.02,"195,500","199,300","156,500","171,700","269,300",,10.3%,8.2%,9.4%,8.8%,12.3%
2002.03,"198,200","206,900","151,800","179,000","269,000",,9.5%,13.7%,6.6%,8.9%,10.0%
2002.04,"199,700","211,200","162,900","174,700","271,100",,10.1%,11.9%,12.3%,6.9%,9.7%
2002.05,"203,500","213,400","159,500","181,900","276,900",,9.6%,10.5%,5.0%,9.5%,10.6%
2002.06,"215,100","227,900","179,600","193,000","276,400",,11.2%,13.2%,14.0%,8.4%,10.3%
2002.07,"210,500","224,800","179,000","183,900","272,600",,9.7%,10.0%,8.5%,8.8%,11.3%
2002.08,"208,100","230,600","174,700","184,300","262,000",,6.9%,10.1%,7.6%,6.5%,4.2%
2002.09,"206,800","217,400","172,200","181,700","271,600",,9.8%,14.8%,10.4%,7.5%,6.9%
2002.10,"206,100","210,600","171,500","183,000","271,800",,11.8%,12.0%,15.2%,10.8%,8.4%
2002.11,"207,000","223,300","171,900","182,000","268,000",,12.1%,17.8%,16.0%,8.0%,10.2%
2002.12,"211,300","229,400","173,400","187,600","273,600",,8.3%,10.0%,6.6%,6.0%,9.7%
2003.01,"208,200","228,600","167,900","183,100","274,000",,8.0%,13.3%,10.6%,6.5%,5.2%
2003.02,"206,800","220,500","162,800","186,800","274,600",,5.8%,10.6%,4.0%,8.8%,2.0%
2003.03,"210,200","224,500","169,500","187,100","275,800",,6.1%,8.5%,11.7%,4.5%,2.5%
2003.04,"215,800","236,500","174,100","187,800","286,100",,8.1%,12.0%,6.9%,7.5%,5.5%
2003.05,"218,700","239,600","178,800","189,800","290,100",,7.5%,12.3%,12.1%,4.3%,4.8%
2003.06,"228,900","251,000","185,500","203,500","297,600",,6.4%,10.1%,3.3%,5.4%,7.7%
2003.07,"226,700","256,700","186,300","202,500","283,900",,7.7%,14.2%,4.1%,10.1%,4.1%
2003.08,"227,200","256,100","190,500","200,700","283,800",,9.2%,11.1%,9.0%,8.9%,8.3%
2003.09,"223,500","252,500","182,400","199,100","285,400",,8.1%,16.1%,5.9%,9.6%,5.1%
2003.10,"223,200","244,200","180,300","196,200","296,500",,8.3%,16.0%,5.1%,7.2%,9.1%
2003.11,"222,400","245,300","179,800","192,400","297,300",,7.4%,9.9%,4.6%,5.7%,10.9%
2003.12,"230,800","254,700","183,300","200,700","309,700",,9.2%,11.0%,5.7%,7.0%,13.2%
2004.01,"224,200","257,200","171,300","195,800","299,600",,7.7%,12.5%,2.0%,6.9%,9.3%
2004.02,"227,200","255,200","177,500","199,400","301,100",,9.9%,15.7%,9.0%,6.7%,9.7%
2004.03,"230,000","259,200","176,000","203,000","304,700",,9.4%,15.5%,3.8%,8.5%,10.5%
2004.04,"236,100","264,000","183,200","207,400","314,400",,9.4%,11.6%,5.2%,10.4%,9.9%
2004.05,"242,400","271,400","191,500","214,600","320,100",,10.8%,13.3%,7.1%,13.1%,10.3%
2004.06,"253,700","275,900","199,200","228,100","331,000",,10.8%,9.9%,7.4%,12.1%,11.2%
2004.07,"250,100","278,600","196,900","218,800","333,700",,10.3%,8.5%,5.7%,8.0%,17.5%
2004.08,"245,900","275,300","198,700","217,200","319,200",,8.2%,7.5%,4.3%,8.2%,12.5%
2004.09,"245,900","277,800","189,700","217,500","324,300",,10.0%,10.0%,4.0%,9.2%,13.6%
2004.10,"245,500","273,700","189,200","213,900","330,400",,10.0%,12.1%,4.9%,9.0%,11.4%
2004.11,"247,800","278,300","191,300","217,900","330,900",,11.4%,13.5%,6.4%,13.3%,11.3%
2004.12,"251,300","279,800","193,800","221,300","337,400",,8.9%,9.9%,5.7%,10.3%,8.9%
2005.01,"247,200","277,800","183,500","217,700","338,300",,10.3%,8.0%,7.1%,11.2%,12.9%
2005.02,"249,100","286,500","190,700","215,300","335,500",,9.6%,12.3%,7.4%,8.0%,11.4%
2005.03,"253,900","287,700","192,800","217,400","349,500",,10.4%,11.0%,9.5%,7.1%,14.7%
2005.04,"260,600","293,800","198,300","221,900","361,400",,10.4%,11.3%,8.2%,7.0%,14.9%
2005.05,"264,900","295,600","201,600","231,300","361,200",,9.3%,8.9%,5.3%,7.8%,12.8%
2005.06,"275,000","303,700","210,600","243,500","370,600",,8.4%,10.1%,5.7%,6.8%,12.0%
2005.07,"274,200","305,900","211,100","237,100","374,700",,9.6%,9.8%,7.2%,8.4%,12.3%
2005.08,"275,000","307,600","212,900","238,800","371,600",,11.8%,11.7%,7.1%,9.9%,16.4%
2005.09,"271,300","298,600","207,000","235,600","373,400",,10.3%,7.5%,9.1%,8.3%,15.1%
2005.10,"273,200","293,700","205,200","246,800","368,400",,11.3%,7.3%,8.5%,15.4%,11.5%
2005.11,"270,900","298,400","205,300","234,200","377,200",,9.3%,7.2%,7.3%,7.5%,14.0%
2005.12,"268,400","297,600","205,000","230,700","371,200",,6.8%,6.4%,5.8%,4.2%,10.0%
2006.01,"265,700","293,500","209,000","225,300","366,800",,7.5%,5.7%,13.9%,3.5%,8.4%
2006.02,"261,300","297,000","190,500","228,200","359,400",,4.9%,3.7%,-0.1%,6.0%,7.1%
2006.03,"264,600","294,300","197,700","227,100","369,900",,4.2%,2.3%,2.5%,4.5%,5.8%
2006.04,"269,000","307,200","200,500","229,000","373,000",,3.2%,4.6%,1.1%,3.2%,3.2%
2006.05,"273,900","305,200","210,500","239,200","372,000",,3.4%,3.2%,4.4%,3.4%,3.0%
2006.06,"276,000","312,100","214,300","237,500","372,100",,0.4%,2.8%,1.8%,-2.5%,0.4%
2006.07,"275,600","302,400","215,900","238,500","373,700",,0.5%,-1.1%,2.3%,0.6%,-0.3%
2006.08,"270,300","302,200","210,700","230,200","370,500",,-1.7%,-1.8%,-1.0%,-3.6%,-0.3%
2006.09,"266,200","291,300","207,100","229,100","368,000",,-1.9%,-2.4%,0.0%,-2.8%,-1.4%
2006.10,"264,500","285,600","202,700","228,300","369,800",,-3.2%,-2.8%,-1.2%,-7.5%,0.4%
2006.11,"265,500","296,000","201,900","223,700","375,600",,-2.0%,-0.8%,-1.7%,-4.5%,-0.4%
2006.12,"268,400","308,300","201,800","225,200","374,000",,0.0%,3.6%,-1.6%,-2.4%,0.8%
2007.01,"257,400","293,800","194,400","222,500","352,500",,-3.1%,0.1%,-7.0%,-1.2%,-3.9%
2007.02,"260,100","291,300","188,700","225,700","366,200",,-0.5%,-1.9%,-0.9%,-1.1%,1.9%
2007.03,"265,400","302,700","199,500","227,400","364,900",,0.3%,2.9%,0.9%,0.1%,-1.4%
2007.04,"267,800","308,300","200,800","226,900","373,400",,-0.4%,0.4%,0.1%,-0.9%,0.1%
2007.05,"270,600","312,400","203,700","230,000","371,300",,-1.2%,2.4%,-3.2%,-3.8%,-0.2%
2007.06,"276,200","318,600","210,600","237,800","373,400",,0.1%,2.1%,-1.7%,0.1%,0.3%
2007.07,"275,800","317,300","213,900","232,600","378,200",,0.1%,4.9%,-0.9%,-2.5%,1.2%
2007.08,"269,500","311,100","210,300","228,100","362,900",,-0.3%,2.9%,-0.2%,-0.9%,-2.1%
2007.09,"257,300","294,500","198,300","217,400","351,800",,-3.3%,1.1%,-4.2%,-5.1%,-4.4%
2007.10,"254,500","293,600","192,800","214,800","346,500",,-3.8%,2.8%,-4.9%,-5.9%,-6.3%
2007.11,"255,700","288,600","192,300","217,500","357,500",,-3.7%,-2.5%,-4.8%,-2.8%,-4.8%
2007.12,"253,900","293,400","193,600","215,900","347,200",,-5.4%,-4.8%,-4.1%,-4.1%,-7.2%
2008.01,"245,600","300,000","180,000","207,000","334,700",,-4.6%,2.1%,-7.4%,-7.0%,-5.0%
2008.02,"242,000","293,200","175,200","204,200","331,100",,-7.0%,0.7%,-7.2%,-9.5%,-9.6%
2008.03,"247,100","311,300","183,000","209,800","324,500",,-6.9%,2.8%,-8.3%,-7.7%,-11.1%
2008.04,"247,000","293,500","188,600","213,300","325,800",,-7.8%,-4.8%,-6.1%,-6.0%,-12.7%
2008.05,"252,400","310,000","190,800","218,800","325,900",,-6.7%,-0.8%,-6.3%,-4.9%,-12.2%
2008.06,"257,800","299,300","201,700","230,600","329,200",,-6.7%,-6.1%,-4.2%,-3.0%,-11.8%
2008.07,"253,300","307,100","196,000","220,700","321,000",,-8.2%,-3.2%,-8.4%,-5.1%,-15.1%
2008.08,"245,200","299,200","195,300","220,300","294,100",,-9.0%,-3.8%,-7.1%,-3.4%,-19.0%
2008.09,"234,700","287,900","176,900","206,700","301,200",,-8.8%,-2.2%,-10.8%,-4.9%,-14.4%
2008.10,"229,700","278,100","175,500","202,300","295,500",,-9.7%,-5.3%,-9.0%,-5.8%,-14.7%
2008.11,"222,700","285,000","167,100","192,300","283,300",,-12.9%,-1.2%,-13.1%,-11.6%,-20.8%
2008.12,"217,600","266,000","167,400","194,000","269,100",,-14.3%,-9.3%,-13.5%,-10.1%,-22.5%
2009.01,"206,500","260,300","157,900","179,800","256,300",,-15.9%,-13.2%,-12.3%,-13.1%,-23.4%
2009.02,"210,300","269,000","153,900","182,200","269,100",,-13.1%,-8.3%,-12.2%,-10.8%,-18.7%
2009.03,"211,300","263,500","159,400","184,000","267,900",,-14.5%,-15.4%,-12.9%,-12.3%,-17.4%
2009.04,"208,800","270,500","161,300","185,900","246,900",,-15.5%,-7.8%,-14.5%,-12.8%,-24.2%
2009.05,"218,100","276,100","174,100","197,600","249,300",,-13.6%,-10.9%,-8.8%,-9.7%,-23.5%
2009.06,"227,700","283,700","184,400","204,900","265,000",,-11.7%,-5.2%,-8.6%,-11.1%,-19.5%
2009.07,"227,200","285,900","184,500","203,400","263,700",,-10.3%,-6.9%,-5.9%,-7.8%,-17.9%
2009.08,"222,400","278,000","174,400","199,000","266,500",,-9.3%,-7.1%,-10.7%,-9.7%,-9.4%
2009.09,"222,200","279,000","174,200","193,000","271,900",,-5.3%,-3.1%,-1.5%,-6.6%,-9.7%
2009.10,"217,400","270,600","172,000","188,600","268,500",,-5.4%,-2.7%,-2.0%,-6.8%,-9.1%
2009.11,"211,800","259,200","168,400","190,000","257,600",,-4.9%,-9.1%,0.8%,-1.2%,-9.1%
2009.12,"218,900","279,300","168,000","192,800","266,700",,0.6%,5.0%,0.4%,-0.6%,-0.9%
2010.01,"212,200","285,400","163,000","180,300","256,700",,2.8%,9.6%,3.2%,0.3%,0.2%
2010.02,"208,700","286,300","157,600","178,300","248,000",,-0.8%,6.4%,2.4%,-2.1%,-7.8%
2010.03,"214,500","274,500","163,100","188,500","263,300",,1.5%,4.2%,2.3%,2.4%,-1.7%
2010.04,"217,300","277,600","166,200","190,300","263,600",,4.1%,2.6%,3.0%,2.4%,6.8%
2010.05,"220,900","271,300","175,100","195,900","270,900",,1.3%,-1.7%,0.6%,-0.9%,8.7%
2010.06,"230,000","291,100","186,200","205,000","266,800",,1.0%,2.6%,1.0%,0.0%,0.7%
2010.07,"231,700","297,900","185,400","202,100","274,500",,2.0%,4.2%,0.5%,-0.6%,4.1%
2010.08,"225,800","291,900","181,200","196,900","267,200",,1.5%,5.0%,3.9%,-1.1%,0.3%
2010.09,"218,100","273,600","171,000","190,200","267,600",,-1.8%,-1.9%,-1.8%,-1.5%,-1.6%
2010.10,"218,300","275,400","171,600","191,500","262,400",,0.4%,1.8%,-0.2%,1.5%,-2.3%
2010.11,"218,100","279,700","171,800","189,600","264,400",,3.0%,7.9%,2.0%,-0.2%,2.6%
2010.12,"217,900","279,500","174,200","193,200","255,900",,-0.5%,0.1%,3.7%,0.2%,-4.0%
2011.01,"205,800","272,900","160,100","179,400","240,800",,-3.0%,-4.4%,-1.8%,-0.5%,-6.2%
2011.02,"202,300","268,200","153,900","178,000","238,900",,-3.1%,-6.3%,-2.3%,-0.2%,-3.7%
