Existing Home Sales,,,,,,,,,,,,,
United States and Each Region ,,,,,,,,,,,,,
"Monthly, 1999 to current",,,,,,,,,,,,,
(Not Seasonally Adjusted),,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,Year over Year % Change,,,,,,
,U.S.,Northeast,Midwest,South,West,,U.S.,Northeast,Midwest,South,West,,
1999.01,"291,000","54,000","67,000","98,000","72,000",,,,,,,,
1999.02,"293,000","55,000","69,000","107,000","61,000",,,,,,,,
1999.03,"412,000","71,000","97,000","149,000","95,000",,,,,,,,
1999.04,"454,000","75,000","110,000","159,000","110,000",,,,,,,,
1999.05,"472,000","78,000","116,000","169,000","109,000",,,,,,,,
1999.06,"560,000","100,000","141,000","197,000","122,000",,,,,,,,
1999.07,"528,000","94,000","130,000","182,000","122,000",,,,,,,,
1999.08,"529,000","98,000","129,000","189,000","113,000",,,,,,,,
1999.09,"432,000","74,000","107,000","157,000","94,000",,,,,,,,
1999.10 ,"417,000","74,000","97,000","147,000","99,000",,,,,,,,
1999.11 ,"395,000","68,000","93,000","144,000","90,000",,,,,,,,
1999.12,"401,000","69,000","91,000","151,000","90,000",,,,,,,,
2000.01,"286,000","54,000","67,000","97,000","69,000",,-1.7%,0.0%,0.0%,-1.0%,-4.2%,,
2000.02,"310,000","54,000","73,000","116,000","68,000",,5.8%,-1.8%,5.8%,8.4%,11.5%,,
2000.03,"420,000","67,000","100,000","154,000","99,000",,1.9%,-5.6%,3.1%,3.4%,4.2%,,
2000.04,"432,000","70,000","103,000","156,000","103,000",,-4.8%,-6.7%,-6.4%,-1.9%,-6.4%,,
2000.05,"489,000","78,000","123,000","177,000","111,000",,3.6%,0.0%,6.0%,4.7%,1.8%,,
2000.06,"541,000","98,000","130,000","195,000","117,000",,-3.4%,-2.0%,-7.8%,-1.0%,-4.1%,,
2000.07,"492,000","100,000","117,000","171,000","104,000",,-6.8%,6.4%,-10.0%,-6.0%,-14.8%,,
2000.08,"533,000","95,000","126,000","193,000","118,000",,0.8%,-3.1%,-2.3%,2.1%,4.4%,,
2000.09,"443,000","79,000","107,000","159,000","98,000",,2.5%,6.8%,0.0%,1.3%,4.3%,,
2000.10,"434,000","78,000","99,000","158,000","100,000",,4.1%,5.4%,2.1%,7.5%,1.0%,,
2000.11,"408,000","72,000","93,000","147,000","96,000",,3.3%,5.9%,0.0%,2.1%,6.7%,,
2000.12,"385,000","67,000","84,000","144,000","90,000",,-4.0%,-2.9%,-7.7%,-4.6%,0.0%,,
2001.01,"295,000","53,000","66,000","104,000","72,000",,3.1%,-1.9%,-1.5%,7.2%,4.3%,,
2001.02,"305,000","51,000","71,000","117,000","66,000",,-1.6%,-5.6%,-2.7%,0.9%,-2.9%,,
2001.03,"438,000","68,000","101,000","164,000","105,000",,4.3%,1.5%,1.0%,6.5%,6.1%,,
2001.04,"454,000","73,000","109,000","168,000","104,000",,5.1%,4.3%,5.8%,7.7%,1.0%,,
2001.05,"506,000","80,000","124,000","189,000","113,000",,3.5%,2.6%,0.8%,6.8%,1.8%,,
2001.06,"557,000","95,000","134,000","205,000","124,000",,3.0%,-3.1%,3.1%,5.1%,6.0%,,
2001.07,"535,000","101,000","131,000","187,000","116,000",,8.7%,1.0%,12.0%,9.4%,11.5%,,
2001.08,"566,000","101,000","132,000","212,000","122,000",,6.2%,6.3%,4.8%,9.8%,3.4%,,
2001.09,"420,000","72,000","105,000","155,000","88,000",,-5.2%,-8.9%,-1.9%,-2.5%,-10.2%,,
2001.10,"443,000","79,000","104,000","162,000","98,000",,2.1%,1.3%,5.1%,2.5%,-2.0%,,
2001.11,"405,000","71,000","97,000","150,000","88,000",,-0.7%,-1.4%,4.3%,2.0%,-8.3%,,
2001.12,"409,000","69,000","96,000","156,000","88,000",,6.2%,3.0%,14.3%,8.3%,-2.2%,,
2002.01,"342,000","61,000","77,000","119,000","85,000",,15.9%,15.1%,16.7%,14.4%,18.1%,,
2002.02,"344,000","62,000","81,000","127,000","74,000",,12.8%,21.6%,14.1%,8.5%,12.1%,,
2002.03,"438,000","67,000","105,000","162,000","103,000",,0.0%,-1.5%,4.0%,-1.2%,-1.9%,,
2002.04,"502,000","81,000","121,000","182,000","118,000",,10.6%,11.0%,11.0%,8.3%,13.5%,,
2002.05,"543,000","86,000","133,000","194,000","131,000",,7.3%,7.5%,7.3%,2.6%,15.9%,,
2002.06,"542,000","94,000","129,000","200,000","119,000",,-2.7%,-1.1%,-3.7%,-2.4%,-4.0%,,
2002.07,"544,000","99,000","136,000","193,000","115,000",,1.7%,-2.0%,3.8%,3.2%,-0.9%,,
2002.08,"549,000","94,000","130,000","205,000","120,000",,-3.0%,-6.9%,-1.5%,-3.3%,-1.6%,,
2002.09,"457,000","76,000","115,000","172,000","94,000",,8.8%,5.6%,9.5%,11.0%,6.8%,,
2002.10,"481,000","83,000","112,000","178,000","108,000",,8.6%,5.1%,7.7%,9.9%,10.2%,,
2002.11,"430,000","73,000","100,000","158,000","100,000",,6.2%,2.8%,3.1%,5.3%,13.6%,,
2002.12,"459,000","75,000","107,000","175,000","102,000",,12.2%,8.7%,11.5%,12.2%,15.9%,,
2003.01,"352,000","62,000","77,000","127,000","87,000",,2.9%,1.6%,0.0%,6.7%,2.4%,,
2003.02,"350,000","59,000","84,000","132,000","75,000",,1.7%,-4.8%,3.7%,3.9%,1.4%,,
2003.03,"446,000","68,000","107,000","170,000","101,000",,1.8%,1.5%,1.9%,4.9%,-1.9%,,
2003.04,"517,000","79,000","124,000","189,000","124,000",,3.0%,-2.5%,2.5%,3.8%,5.1%,,
2003.05,"565,000","87,000","143,000","204,000","132,000",,4.1%,1.2%,7.5%,5.2%,0.8%,,
2003.06,"601,000","101,000","148,000","219,000","132,000",,10.9%,7.4%,14.7%,9.5%,10.9%,,
2003.07,"632,000","114,000","157,000","224,000","137,000",,16.2%,15.2%,15.4%,16.1%,19.1%,,
