Midwest Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*,Payment,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
1989," 73,100 ",10.30,517.0,17.9," 34,613 ",24816.0,139.5,,,,
1990," 76,700 ",10.15,535.0,17.8," 36,188 ",25680.0,140.9,,,,
1991," 81,000 ",9.26,524.0,17.1," 36,759 ",25152.0,146.1,,,,
1992," 84,600 ",8.11,492.0,15.9," 37,063 ",23616.0,156.9,,,,
1993," 87,600 ",7.02,459.0,14.5," 37,942 ",22032.0,172.2,,,,
1994," 90,900 ",7.58,503.0,15.2," 39,760 ",24144.0,164.7,,,,
1995," 96,500 ",7.71,541.0,14.9," 43,470 ",25968.0,167.4,,,,
1996," 102,800 ",7.64,573.0,15.3," 44,957 ",27504.0,163.5,,,,
1997," 108,900 ",7.52,600.0,15.4," 46,734 ",28800.0,162.3,,,,
1998," 116,300 ",7.01,620.0,15.0," 49,552 ",29760.0,166.5,,,,
1999," 121,600 ",7.37,672.0,15.6," 51,702 ",32256.0,160.3,,,,
2000," 125,600 ",8.01,738.0,16.3," 54,203 ",35424.0,153,,,,
2001," 132,300 ",7.00,704.0,15.6," 54,096 ",33792.0,160.1,,,,
2002," 138,300 ",6.45,696.0,15.4," 54,336 ",33408.0,162.6,,,,
2003," 143,700 ",5.74,670.0,14.5," 55,613 ",32160.0,172.9,,,,
2004," 151,500 ",5.73,706.0,15.0," 56,358 ",33888.0,166.3,,,,
2005," 168,300 ",5.91,799.0,16.7," 57,453 ",38352.0,149.8,,,,
2006," 164,800 ",6.57,839.0,16.8," 59,886 ",40272.0,148.7,,,,
2007," 161,400 ",6.55,820.0,16.2," 60,837 ",39360.0,154.6,,,,
2008," 150,500 ",6.14,733.0,14.0," 62,868 ",35184.0,178.7,,,,
2009," 142,900 ",5.20,628.0,12.5," 60,500 ",30144.0,200.7,,,,
