South Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family , Qualifying ,,Last,Last,,
, Home ,Rate*,Payment,Income, Income , Income** ,Composite,Month,Year,,
,,,,,,,,,,,
1989," 85,600 ",10.20,603.0,23.7," 30,499 "," 28,944 ",105.4,,,,
1990," 86,300 ",10.13,604.0,22.8," 31,727 "," 28,992 ",109.4,,,,
1991," 89,800 ",9.21,580.0,21.8," 31,940 "," 27,840 ",114.7,,,,
1992," 92,900 ",8.08,541.0,19.7," 32,786 "," 25,968 ",126.3,,,,
1993," 95,800 ",6.95,499.0,18.0," 33,365 "," 23,952 ",139.3,,,,
1994," 97,200 ",7.50,535.0,18.2," 35,388 "," 25,680 ",137.8,,,,
1995," 99,200 ",7.59,551.0,18.1," 36,628 "," 26,448 ",138.5,,,,
1996," 105,000 ",7.51,579.0,17.9," 38,710 "," 27,792 ",139.3,,,,
1997," 111,300 ",7.40,616.0,18.0," 41,001 "," 29,568 ",138.7,,,,
1998," 118,000 ",6.91,622.0,17.5," 42,711 "," 29,856 ",143.1,,,,
1999," 122,100 ",7.28,668.0,17.9," 44,881 "," 32,064 ",140,,,,
2000," 130,300 ",7.92,759.0,19.9," 45,881 "," 36,432 ",125.9,,,,
2001," 139,600 ",6.95,739.0,19.0," 46,688 "," 35,472 ",131.6,,,,
2002," 149,700 ",6.41,750.0,19.1," 47,230 "," 36,000 ",131.2,,,,
2003," 159,700 ",5.84,753.0,19.1," 47,322 "," 36,144 ",130.9,,,,
2004," 171,800 ",5.83,809.0,19.4," 50,003 "," 38,832 ",128.8,,,,
2005," 181,100 ",5.99,868.0,20.3," 51,352 "," 41,664 ",123.3,,,,
2006," 183,700 ",6.63,941.0,21.5," 52,436 "," 45,168 ",116.1,,,,
2007," 178,800 ",6.54,908.0,19.4," 56,253 "," 43,584 ",129.1,,,,
2008," 169,400 ",6.18,828.0,17.0," 58,341 "," 39,744 ",146.8,,,,
