UNITED STATES HOUSING AFFORDABILITY,,,,,,,,,,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
, Med-Price , Monthly , Princp.& ,Median,,,,,,,,,,,,,,,,
, Single-Fam , Mortgage , Interest ,as %, Family , Qualifying ,    Affordability Index,,,,,,,,,,,,,
, Home , Rate* , Payment ,Income, Income , Income** ,Composite, Fixed ,ARM,,,FIXDIR,,,,,ARMIR,,,
,,,,,,,,,,,,,,,,,,,,
1989," 94,600 ", 10.11 , 670 ,23.5 ," 34,213 "," 32,160 ",106.4 , 102.0 ,112.4,,,10.62,699.0,33552,102,,9.45,634,30432,112.4
1990," 97,300 ", 10.04 , 685 ,23.3 ," 35,353 "," 32,880 ",107.5 , 104.6 ,116.2,,,10.37,704.0,33792,104.6,,9.14,634,30432,116.2
1991," 102,700 ", 9.30 , 679 ,22.7 ," 35,939 "," 32,592 ",110.3 , 107.4 ,121.3,,,9.61,697.0,33456,107.4,,8.25,617,29616,121.3
1992," 105,500 ", 8.11 , 626 ,20.5 ," 36,573 "," 30,048 ",121.7 , 117.2 ,141.6,,,8.51,650.0,31200,117.2,,6.59,538,25824,141.6
1993," 109,100 ", 7.16 , 590 ,19.2 ," 36,959 "," 28,320 ",130.5 , 125.6 ,151.6,,,7.54,613.0,29424,125.6,,5.72,508,24384,151.6
1994," 113,500 ", 7.47 , 633 ,19.6 ," 38,782 "," 30,384 ",127.6 , 118.3 ,144.8,,,8.26,683.0,32784,118.3,,6.24,558,26784,144.8
1995," 117,000 ", 7.85 , 677 ,20.0 ," 40,611 "," 32,496 ",125.0 , 119.5 ,135.4,,,8.32,708.0,33984,119.5,,7.04,625,30000,135.4
1996," 122,600 ", 7.71 , 700 ,19.9 ," 42,300 "," 33,600 ",125.9 , 122.4 ,135.0,,,8.00,720.0,34560,122.4,,7.01,653,31344,135
1997," 129,000 ", 7.68 , 734 ,19.8 ," 44,568 "," 35,232 ",126.5 , 123.6 ,137.1,,,7.92,751.0,36048,123.6,,6.86,677,32496,137.1
1998," 136,000 ", 7.10 , 731 ,18.8 ," 46,737 "," 35,088 ",133.2 , 131.9 ,142.6,,,7.19,738.0,35424,131.9,,6.44,683,32784,142.6
1999," 141,200 ", 7.33 , 777 ,19.1 ," 48,831 "," 37,296 ",130.9 , 128.4 ,141.7,,,7.53,792.0,38016,128.4,,6.55,718,34464,141.7
