UNITED STATES HOUSING AFFORDABILITY,,,,,,,,,,,,,,,,,,,,,,,,
"Quarterly, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
, Med-Price ,Monthly,Princp.&,Median,,,,,,,,,,,,,,,,,,,,
, Single-Fam ,Mortgage,Interest,as %, Family , Qualifying ,Composite,,,,,,,,,,,,,,,,,
, Home ,Rate,Payment,Income, Income , Income ,Index,,,,,,,,,,,,,,,,,
1989.1," 91,800 ", 9.77 ,632 ,22.7 ," 33,454 "," 30,336 ",110.3 ,,,,,,,,,,,,,,,,,
1989.2," 94,100 ", 10.38 ,682 ,24.1 ," 33,958 "," 32,736 ",103.7 ,,,,,,,,,,,,,,,,,
1989.3," 96,000 ", 10.21 ,686 ,23.9 ," 34,470 "," 32,928 ",104.7 ,,,,,,,,,,,,,,,,,
1989.4," 95,300 ", 10.08 ,674 ,23.1 ," 34,990 "," 32,352 ",108.2 ,,,,,,,,,,,,,,,,,
1990.1," 96,200 ", 10.04 ,678 ,23.1 ," 35,240 "," 32,544 ",108.3 ,,,,,,,,,,,,,,,,,
1990.2," 98,500 ", 10.15 ,700 ,23.8 ," 35,315 "," 33,600 ",105.1 ,,,,,,,,,,,,,,,,,
1990.3," 98,200 ", 10.04 ,692 ,23.5 ," 35,391 "," 33,216 ",106.5 ,,,,,,,,,,,,,,,,,
1990.4," 94,500 ", 9.92 ,659 ,22.3 ," 35,466 "," 31,632 ",112.1 ,,,,,,,,,,,,,,,,,
1991.1," 98,200 ", 9.68 ,671 ,22.6 ," 35,592 "," 32,208 ",110.5 ,,,,,,,,,,,,,,,,,
1991.2," 103,300 ", 9.46 ,692 ,23.2 ," 35,823 "," 33,216 ",107.8 ,,,,,,,,,,,,,,,,,
1991.3," 104,400 ", 9.31 ,691 ,23.0 ," 36,056 "," 33,168 ",108.7 ,,,,,,,,,,,,,,,,,
1991.4," 102,200 ", 8.74 ,643 ,21.3 ," 36,290 "," 30,864 ",117.6 ,,,,,,,,,,,,,,,,,
1992.1," 103,900 ", 8.36 ,631 ,20.8 ," 36,484 "," 30,288 ",120.5 ,,,,,,,,,,,,,,,,,
1992.2," 105,500 ", 8.46 ,647 ,21.2 ," 36,543 "," 31,056 ",117.7 ,,,,,,,,,,,,,,,,,
1992.3," 105,300 ", 7.88 ,611 ,20.0 ," 36,603 "," 29,328 ",124.8 ,,,,,,,,,,,,,,,,,
1992.4," 105,500 ", 7.74 ,604 ,19.8 ," 36,662 "," 28,992 ",126.5 ,,,,,,,,,,,,,,,,,
1993.1," 103,500 ", 7.55 ,582 ,19.0 ," 36,760 "," 27,936 ",131.6 ,,,,,,,,,,,,,,,,,
1993.2," 108,700 ", 7.26 ,594 ,19.3 ," 36,893 "," 28,512 ",129.4 ,,,,,,,,,,,,,,,,,
1993.3," 110,600 ", 7.04 ,591 ,19.2 ," 37,026 "," 28,368 ",130.5 ,,,,,,,,,,,,,,,,,
1993.4," 110,200 ", 6.79 ,574 ,18.5 ," 37,159 "," 27,552 ",134.9 ,,,,,,,,,,,,,,,,,
1994.1," 109,400 ", 6.91 ,577 ,18.3 ," 37,786 "," 27,696 ",136.4 ,,,,,,,,,,,,,,,,,
1994.2," 113,700 ", 7.42 ,631 ,19.7 ," 38,447 "," 30,288 ",126.9 ,,,,,,,,,,,,,,,,,
