West Regional Housing Affordability Index,,,,,,,,,,,
Annual and Monthly 1989 - Present,,,,,,,,,,,
,,,,,,,,,,,
Existing Home Sales Program © 2019,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,
,,,,,,,,,,,
, Med-Price ,Monthly, Princp.& ,Median,,,,,,,
, Single-Fam ,Mortgage, Interest ,as %, Family ,Qualifying,,Last,Last,,
, Home ,Rate*, Payment ,Income, Income ,Income**,Composite,Month,Year,,
,,,,,,,,,,,
1989," 138,400 ",9.90, 885 ,22.8," 35,698 ","42,471",84.1,,,,
1990," 141,200 ",9.89, 901 ,29.5," 36,687 ","43,270",84.8,,,,
1991," 147,400 ",9.12, 880 ,28.4," 37,171 ","42,254",88.0,,,,
1992," 143,300 ",8.10, 779 ,24.0," 38,525 ","37,405",103.0,,,,
1993," 144,400 ",6.94, 701 ,21.7," 38,881 ","33,646",115.6,,,,
1994," 151,900 ",7.56, 784 ,23.4," 40,298 ","37,649",107.0,,,,
1995," 153,600 ",7.70, 804 ,23.0," 41,967 ","38,603",108.7,,,,
1996," 160,200 ",7.59, 830 ,23.4," 42,569 ","39,845",106.8,,,,
1997," 169,000 ",7.49, 867 ,22.8," 45,590 ","41,615",109.6,,,,
1998," 179,500 ",6.98, 953 ,24.4," 46,819 ","45,744",102.4,,,,
1999," 189,400 ",7.35," 1,044 ",25.6," 48,918 ","50,112",97.6,,,,
2000," 199,200 ",7.99," 1,168 ",27.4," 51,183 ","56,064",91.3,,,,
2001," 211,700 ",6.99," 1,126 ",26.0," 51,966 ","54,048",96.1,,,,
2002," 234,300 ",6.36," 1,168 ",26.8," 52,253 ","56,064",93.2,,,,
2003," 254,700 ",5.64," 1,175 ",25.6," 55,095 ","56,400",97.7,,,,
2004," 289,100 ",5.61," 1,329 ",29.0," 54,986 ","63,792",86.2,,,,
2005," 340,300 ",5.84," 1,604 ",33.2," 57,985 ","76,992",75.3,,,,
2006," 350,500 ",6.56," 1,783 ",35.0," 61,166 ","85,584",71.5,,,,
2007," 342,500 ",6.50," 1,732 ",32.2," 64,592 ","83,136",77.7,,,,
2008," 276,100 ",6.17," 1,349 ",24.2," 66,907 ","64,752",103.3,,,,
2009," 215,400 ",5.16, 942 ,17.6," 64,404 ","45,216",142.4,,,,
