MEDIAN SALES PRICE OF EXISTING CONDO and CO-OP HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSAID,MSA ID,MSA Name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,U.S.,87.7,86.9,87.5,87.7,86.0,88.8,89.0,92.6,97.3,102.5,110.1,114.0,125.6,144.9,168.5,197.1,223.9,221.9,226.3,209.8,175.6,171.7,165.1,173.7,194.9,204.3,210.7,220.7,234.3,241,249.5,266.3
,,,NE,108.3,107.5,104.6,100.6,96.8,97.1,92.5,95.1,98.6,100.9,109.8,108.5,121.2,143.5,178.1,214.1,245.1,249.7,256.1,252.5,232.8,242.2,237.7,240.1,250.2,254.9,249.3,256.6,271.7,284.6,294.9,313.7
,,,MW,65.5,70.2,73.9,79.0,78.9,86.2,90.7,95.2,99.1,106.4,114.6,121.7,134.8,148.6,162.6,181.0,189.1,190.9,195.2,188.2,157.1,150.5,129.0,127.8,138.3,149.3,157.9,166.2,175.2,177.6,184.4,192.3
,,,SO,66.0,64.2,65.6,66.6,66.5,66.7,67.8,70.6,73.3,76.8,80.7,84.2,93.2,109.9,126.9,156.6,187.3,184.0,185.1,166.8,132.7,118.5,107.8,123.9,147.9,154.7,162.9,172.6,183.8,184.5,193.5,210.9
,,,WE,129.3,114.6,114.5,117.4,112.0,118.6,114.8,119.8,128.9,137.7,143.9,149.1,160.4,187.0,222.4,258.0,283.8,264.7,263.3,218.5,162.1,154.7,176.0,196.7,249.2,273.3,294.5,321.3,345.6,361.5,369.9,390.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10740,200,"Albuquerque, NM                                                                                                                                                 ",N/A,75.8,73.5,77.9,78.3,87.0,94.3,99.7,94.5,97.1,99.2,96.7,100.8,98.8,115.5,109.0,122.9,138.6,149.2,151.4,143.7,142.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,152.8,161.4,175.2
2,12060,520,"Atlanta-Sandy Springs-Marietta, GA                                                                                                                              ",N/A,N/A,N/A,61.1,62.4,61.1,62.6,66.6,71.3,77.2,110.0,121.1,143.3,149.8,149.0,143.7,151.3,153.0,150.5,N/A,N/A,N/A,38.8,76.9,117.30,136.30,156.9,167.3,181.6,195.9,206.5,223
3,12420,640,"Austin-Round Rock, TX                                                                                                                                           ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.8,89.0,N/A,N/A,N/A,127.2,130.9,137.6,150.4,172.3,170.2,150.9,155.5,168.8,168.8,195.8,215.4,227.5,228,241.8,260.5,271.1,295.6
4,12580,720,"Baltimore-Columbia-Towson, MD                                                                                                                                            ",87.4,88.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.0,80.4,89.2,136.9,174.1,218.5,235.3,238.5,227.5,208.0,202.5,182.8,185.1,196.6,195.9,193.3,202.4,207,206.8,216,227.4
