MEDIAN SALES PRICE OF EXISTING CONDO and CO-OP HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: QUARTERLY, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSAID,MSA ID,MSA Name,1989:I,1989:II,1989:III,1989:IV,1990:I,1990:II,1990:III,1990:IV,1991:I,1991:II,1991:III,1991:IV,1992:I,1992:II,1992:III,1992:IV,1993:I,1993:II,1993:III,1993:IV,1994:I,1994:II,1994:III,1994:IV,1995:I,1995:II,1995:III,1995:IV,1996:I,1996:II,1996:III,1996:IV,1997:I,1997:II,1997:III,1997:IV,1998:I,1998:II,1998:III,1998:IV,1999:I,1999:II,1999:III,1999:IV,2000:I,2000:II,2000:III,2000:IV,200I:I,200I:II,200I:III,200I:IV,2002:I,2002:II,2002:III,2002:IV,2003:I,2003:II,2003:III,2003:IV,2004:I,2004:II,2004:III,2004:IV,2005:I,2005:II,2005:III,2005:IV ,2006.I ,2006.II ,2006.III ,2006.IV ,2007.I ,2007.II ,2007.III ,2007.IV ,2008.I ,2008.II ,2008.III ,2008.IV ,2009.I,2009.II,2009.III,2009.IV,2010.I ,2010.II ,2010.III,2010.IV,2011.I,2011.II,2011.III,2011.IV,2012.I,2012.II,2012.III,2012.IV,2013.I,2013.II,2013.III,2013.IV,2014.I,2014.II,2014.III,2014.IV,2015.I,2015.II,2015.III,2015.IV,2016.I,2016.II,2016.III,2016.IV,2017.I,2017.II,2017.III,2017.IV,2018.I,2018.II,2018.III,2018.IV,2019.I,2019.II,2019.III,2019.IV,2020.I,2020.II,2020.III,2020.IV
,,,U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.8,109.7,111.9,109.8,113.3,113.8,116.7,113.0,121.7,125.5,129.0,128.1,140.4,146.9,148.6,151.1,158.4,169.6,172.9,173.0,183.5,196.0,204.1,202.0,213.1,226.4,227.6,225.7,222.2,224.5,222.5,221.2,223.7,226.9,227.0,221.0,216.6,220.6,210.5,186.2,170.8,176.6,178.4,175.4,170.6,175.3,171.4,163.5,152.1,165.6,167.8,160.4,156.2,178,178.4,178.2,172.7,199.3,205.5,196.9,190.6,210.8,211,202,193.5,216.7,215.2,209.3,204.2,227.2,225.1,222,218.8,239.6,238.6,237.1,231.6,246.6,243.7,238,237.5,255,251.9,250.2,253.9,260.2,271.6,272.3
,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.2,107.6,114.7,106.2,108.9,106.8,114.1,104.8,116.5,118.0,123.1,124.3,137.7,149.4,151.2,145.3,163.6,187.1,188.0,177.4,198.4,212.5,221.2,217.8,228.8,245.8,253.0,248.1,247.2,255.6,248.9,252.1,253.0,263.0,259.0,247.9,250.1,257.2,259.4,231.6,220.0,235.6,237.9,228.7,232.4,241.1,251.1,235.4,231.9,245.3,248.0,225.6,217.7,247,249.9,239.7,225,257.9,266.2,246.4,242.8,263.5,268.7,244.2,228.2,259.2,259.3,244.9,235.9,265.1,265.5,258.6,249.7,277.3,279.4,274.3,267.8,289.9,291.2,278.4,274.4,303.9,302.2,292.9,303.8,308.8,318.8,318.4
,,,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5,113.2,114.8,117.6,113.8,119.3,123.7,125.5,126.6,132.6,137.9,139.2,139.2,148.3,149.0,160.2,150.5,157.3,163.5,170.9,168.0,177.1,185.1,183.8,189.5,187.3,190.0,191.4,192.1,190.0,192.2,195.6,194.3,196.2,198.9,193.4,196.2,200.0,189.1,173.9,155.3,158.7,158.0,156.9,153.0,155.4,149.7,139.7,129.1,134.5,132.7,120.1,115.1,131.8,132,125.3,119.6,141.2,146.6,138.2,133.2,154.4,153.8,146.3,145.2,162.7,162,154.3,153.1,171.4,167.7,165.7,164.6,181.1,177.8,172.8,171.2,185,178.8,171.3,175.5,190.8,185.5,181.2,181.9,192.8,198.2,191
,,,SO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,79.9,79.9,79.5,88.4,82.8,83.8,82.4,93.7,90.6,93.3,94.6,109.7,105.2,110.8,115.4,126.0,122.9,125.9,132.5,146.0,152.5,161.2,162.9,177.1,192.1,188.8,190.8,187.6,181.4,183.2,178.5,180.1,177.7,183.0,180.7,172.9,176.3,164.6,149.2,130.0,131.8,133.8,133.3,116.5,124.1,116.8,108.0,94.8,114.7,111.6,111.7,111.2,128.8,122.3,130.8,132.1,151.4,155,150.5,144.3,158,157.2,155.7,152.3,166.6,164.6,163.6,162.6,175.6,173.2,176.2,175.2,189.1,187.1,182.7,176,189,184,186.7,185.7,196.2,194,195.8,198.4,204.7,215.2,220.1
,,,WE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.0,141.9,134.2,145.2,145.0,153.7,138.5,154.0,152.8,167.3,147.4,171.0,184.3,188.0,171.8,202.1,202.8,226.9,207.1,240.4,239.3,254.8,249.2,275.5,273.1,291.7,285.2,282.9,268.5,272.9,264.0,257.6,265.5,269.4,263.0,251.4,235.4,239.8,214.5,178.5,167.5,162.7,166.9,162.6,156.0,162.9,152.5,146.7,133.2,148,166,177.9,170,191.9,208.7,217.2,220.1,246.4,262.4,264.2,263.4,277.6,274.3,277.4,282.3,298.9,294.7,296.7,301.9,327.1,330.4,320.9,320.2,347.1,350.4,360.8,360,369.7,364.5,356.3,357,372.2,369,379.1,378.3,372.4,396.7,404.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10740,200,"Albuquerque, NM                                                                                                                                                 ",N/A,N/A,N/A,N/A,77.9,76.8,74.4,75.3,70.9,73.0,75.1,74.0,76.9,76.8,78.9,78.3,75.4,79.5,78.5,80.4,87.0,83.1,87.7,90.4,87.6,95.6,95.6,96.8,100.6,102.3,98.3,97.1,95.0,94.2,95.2,93.6,94.2,94.6,107.9,90.6,104.0,98.6,N/A,99.4,98.9,94.7,95.0,100.4,N/A,99.5,101.1,101.0,100.0,95.5,100.0,101.4,N/A,105.5,104.4,99.2,103.6,111.4,109.6,110.4,113.4,125.4,126.7,125.1,124.8,142.3,153.3,138.4,147.1,151.1,151.0,146.3,154.1,149.5,142.0,158.9,150.4,149.2,139.3,139.7,144.2,145.5,136.3,142.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,150.4,155.5,149,155.5,149.5,140,164.5,169.7,172.4,168.3,180.6,179.3
2,12060,520,"Atlanta-Sandy Springs-Marietta, GA                                                                                                                              ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,66.8,61.0,64.3,54.7,59.4,66.7,59.3,63.0,59.8,63.8,59.7,60.6,60.3,64.4,62.2,63.4,65.9,66.2,66.4,67.6,69.0,70.2,72.6,74.8,73.6,77.6,76.3,88.1,106.0,113.8,N/A,110.0,111.8,118.4,125.3,125.5,137.6,145.2,142.2,145.8,140.5,151.0,153.7,150.4,152.4,142.3,151.4,150.8,139.3,145.6,144.0,145.1,146.5,154.3,153.7,151.5,151.2,146.5,155.6,160.3,155.8,149.9,147.8,141.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.7,41.6,43.3,54.1,50,85.6,85.6,96.4,111.6,129.5,125.3,114.1,139.1,139.7,146.6,146.5,160.4,159.8,156.3,154.5,170,168.8,173.1,174.4,181.5,182.6,186.6,188.5,199.1,198.8,194.7,200.5,208.9,207.9,206.7,213.2,218.2,224.3,232.5
3,12420,640,"Austin-Round Rock, TX                                                                                                                                           ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,84.7,82.3,81.1,88.4,93.0,86.0,N/A,89.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,129.7,125.3,121.0,132.9,130.6,134.2,126.3,132.4,141.8,138.9,132.3,137.3,147.7,149.8,144.0,160.9,169.0,172.1,171.7,173.2,176.3,175.3,175.0,155.1,143.5,156.7,154.2,147.0,146.0,158.6,160.7,165.1,160.5,174.0,165.2,173.4,174.5,185.4,178.2,192.2,187.4,195.7,195.7,208.2,215.3,212.7,208.4,225.6,214.4,233,224.1,235.2,212.4,232.2,222.8,239.6,238.1,242.5,239.7,246.8,256.7,265.8,247.4,272.6,256.3,270.1,269.2,291.5,290.4,286.4,292.4,314.1
4,12580,720,"Baltimore-Columbia-Towson, MD                                                                                                                                      ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.1,78.4,64.0,70.2,84.2,85.1,79.2,79.8,81.8,110.3,121.2,119.0,135.9,142.9,144.0,153.3,171.3,180.9,186.1,198.0,219.0,225.9,226.6,238.6,234.4,234.4,234.9,239.3,237.9,241.1,235.5,227.1,228.7,229.9,222.8,213.3,210.8,204.5,206.2,202.5,197.0,210.1,204.6,180.3,185.3,184.6,179.3,177.4,188.6,188,188,181.7,197.6,203.9,195.7,185.2,203.4,198.2,193,182.1,193.2,201,194,186.5,207.7,202.9,204.8,201.1,206.1,214.9,203.6,195.5,210.1,212.2,204.5,203.1,222.1,220.8,212.7,215.3,222.6,236.2,231.4
