MEDIAN SALES PRICE OF EXISTING SINGLE-FAMILY HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSA,MSA,MSANAME,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,U.S.,94.6,97.3,102.7,105.5,109.1,113.5,117.0,122.6,129.0,136.0,141.2,147.3,156.6,167.6,180.2,195.2,219.0,221.9,217.9,196.6,172.1,173.1,166.2,177.2,197.4,209.0,223.9,235.5,248.8,261.6,274.6,300.2
,,,NE,147.7,146.2,149.3,149.0,149.3,149.3,146.5,147.8,152.4,157.1,160.7,161.2,169.4,190.1,220.3,254.4,281.6,280.3,288.1,271.5,243.2,243.9,237.5,237.2,248.9,252.5,262.5,265.4,275.7,289.2,301.9,341.7
,,,MW,73.1,76.7,81.0,84.6,87.6,90.9,96.5,102.8,108.9,116.3,121.6,125.6,132.3,138.3,143.7,151.5,168.3,164.8,161.4,150.5,142.9,140.8,135.8,143.7,155.7,164.3,175.5,184.4,196.2,201.7,214.5,235.4
,,,SO,85.6,86.3,89.8,92.9,95.8,97.2,99.2,105.0,111.3,118.0,122.1,130.3,139.6,149.7,159.7,171.8,181.1,183.7,178.8,169.4,155.0,153.7,149.3,158.4,174.2,183.0,196.4,209.2,222.7,231.6,241.9,265.1
,,,WE,138.4,141.2,147.4,143.3,144.4,151.9,153.6,160.2,169.0,179.5,189.4,199.2,211.7,234.3,254.7,289.1,340.3,350.5,342.5,276.1,215.4,220.7,204.5,234.3,276.4,294.6,319.1,342.9,369.4,388.6,405.2,451.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10180,40,"Abilene, TX ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,112.8,119.2,124.6,129.7,136.2,151.7,157.5,161.2,166.8,179.8,193.5
2,10420,80,"Akron, OH ",64.5,67.7,71.8,79.3,83.2,84.9,92.1,98.8,105.9,106.1,104.9,110.1,113.6,115.3,116.7,116.9,120.5,114.6,119.3,100.5,93.2,108.9,90.9,109.5,118.5,115.7,118.6,125.6,135.1,145.6,155,168.1
3,10580,160,"Albany-Schenectady-Troy, NY",104.8,106.8,110.2,111.3,112.2,111.9,105.8,106.8,105.2,106.9,106.0,111.0,121.5,125.9,141.6,161.3,183.5,195.4,198.9,197.9,189.1,195.7,193.8,200.3,202.6,202.0,206.3,203.7,205.3,209.1,218.8,232.5
4,10740,200,"Albuquerque, NM",83.0,84.5,86.8,92.0,100.4,110.0,117.0,122.3,126.7,128.2,130.3,130.4,133.3,133.8,138.4,145.4,169.2,184.2,198.5,192.6,180.6,178.7,167.9,170.3,174.3,177.6,180.8,190.0,196.6,205.6,225,248.1
5,10900,240,"Allentown-Bethlehem-Easton, PA-NJ ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,115.4,124.0,161.1,184.7,207.3,243.4,248.1,260.8,243.6,223.4,224.0,185.4,189.6,179.5,179.1,182.6,186.8,190.3,199.3,207.2,234.9
6,11100,320,"Amarillo, TX",55.0,N/A,57.5,58.1,63.2,64.5,71.0,73.7,76.8,79.3,81.4,86.3,90.2,91.9,95.7,97.1,107.1,114.9,118.4,124.7,123.8,124.7,128.2,133.8,138.4,144.5,150.3,154.6,157.7,158.6,165.1,183.5
7,11244,360,"Anaheim-Santa Ana-Irvine, CA",241.7,242.4,239.7,230.9,217.2,211.0,208.4,213.4,229.8,261.7,280.9,316.2,355.6,412.7,487.0,627.3,691.9,709.0,709.5,533.2,477.2,546.4,512.5,542.7,651.7,687.9,700.4,735.0,780,820,825,900
8,11460,440,"Ann Arbor, MI",,,,,,,,,,,,,,,,,,,216.0,180.3,146.7,146.8,155.1,174.8,209.7,224.8,232.1,243.4,263.7,281,294.7,312.4
9,11540,11540,"Appleton, WI Metropolitan Statistical Area",68.0,71.3,74.8,80.0,85.0,90.9,96.0,96.8,99.5,104.5,105.3,113.4,118.6,127.2,133.9,138.8,146.4,145.9,146.8,143.9,130.6,134.4,130.7,128.7,142.0,143.9,145.3,152.3,163.6,175.3,189.2,202.8
