MEDIAN SALES PRICE OF EXISTING SINGLE-FAMILY HOMES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FOR METROPOLITAN AREAS: ANNUAL, 1989 - current",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted in Thousands of Dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CBSA,MSA,MSANAME,1989.I,1989.II,1989.III,1989.IV,1990.I,1990.II,1990.III,1990.IV,1991.I,1991.II,1991.III,1991.IV,1992.I,1992.II,1992.III,1992.IV,1993.I,1993.II,1993.III,1993.IV,1994.I,1994.II,1994.III,1994.IV,1995.I,1995.II,1995.III,1995.IV,1996.I,1996.II,1996.III,1996.IV,1997.I,1997.II,1997.III,1997.IV,1998.I,1998.II,1998.III,1998.IV,1999.I,1999.II,1999.III,1999.IV,2000.I,2000.II,2000.III,2000.IV,200I.I,200I.II,200I.III,200I.IV,2002.I,2002.II,2002.III,2002.IV,2003.I,2003.II,2003.III,2003.IV,2004.I,2004.II,2004.III,2004.IV,2005.I,2005.II,2005.III,2005.IV ,2006.I ,2006.II ,2006.III ,2006.IV ,2007.I ,2007.II ,2007.III ,2007.IV ,2008.I ,2008.II ,2008.III ,2008.IV ,2009.I,2009.II,2009.III,2009.IV,2010.I ,2010.II ,2010.III,2010.IV,2011.I,2011.II,2011.III,2011.IV,2012.I,2012.II,2012.III,2012.IV,2013.I,2013.II,2013.III,2013.IV,2014.I,2014.II,2014.III,2014.IV,2015.I,2015.II,2015.III,2015.IV,2016.I,2016.II,2016.III,2016.IV,2017.I,2017.II,2017.III,2017.IV,2018.I,2018.II,2018.III,2018.IV,2019.I,2019.II,2019.III,2019.IV,2020.I,2020.II,2020.III,2020.IV
,,,U.S.,91.8,94.1,96.0,95.3,96.2,98.5,98.2,94.5,98.2,103.3,104.4,102.2,103.9,105.5,105.3,105.5,103.5,108.7,110.6,110.2,109.4,113.7,114.9,112.9,110.4,114.7,120.1,118.2,118.1,122.7,124.1,122.6,122.8,128.0,131.3,130.1,130.0,135.8,137.8,136.3,135.9,140.9,143.3,141.0,140.6,145.6,150.4,147.4,146.8,154.9,159.1,157.2,158.6,166.1,169.5,170.7,168.4,177.9,184.5,182.4,180.7,193.7,198.4,198.4,197.6,219.4,227.6,225.3,216.1,227.1,225.3,219.0,212.6,223.5,220.3,205.7,196.1,206.4,200.4,180.2,167.3,174.2,178.2,170.3,166.4,176.8,177.8,170.6,158.7,169.1,173.0,162.6,158.6,181.3,184.3,178.9,176.4,203.4,207.1,196.9,191.1,212.0,217.1,208.4,204.7,229.4,228.9,222.3,217.2,240.7,241.3,235.4,232.2,255.4,254.7,247.8,245.3,268.0,266.5,258.0,254.9,279.5,280.0,275.0,274.6,291.1,313.4,315.7
,,,NE,135.4,148.0,149.7,151.7,139.1,146.3,150.4,143.0,137.7,151.3,152.1,148.7,141.7,149.6,151.3,148.1,136.3,149.9,152.5,150.9,139.6,149.9,153.1,147.3,136.1,145.1,151.5,146.3,136.2,149.1,150.6,148.0,139.0,152.6,157.1,153.6,143.4,159.5,163.2,155.4,149.9,160.5,163.9,160.0,148.1,166.7,162.6,164.6,155.7,169.1,174.8,176.7,174.1,185.9,195.0,199.8,194.1,211.5,229.4,229.9,234.2,248.8,256.2,260.8,267.6,281.5,289.9,281.7,275.8,295.8,277.4,275.0,271.3,297.5,286.2,261.1,280.0,272.3,269.9,248.8,235.2,245.8,247.1,234.9,246.3,240.9,253.2,240.2,233.7,245.1,247.7,226.8,227.5,241.3,245.7,228.4,234.1,257.9,256.1,241.0,239.3,256.0,260.4,245.5,245.0,269.3,269.4,254.5,249.4,273.6,272.6,257.2,255.6,282.3,284.2,268.5,267.4,288.9,301.5,286.0,277.2,304.4,308.8,302.5,302.5,327.2,349.8,365.1
,,,MW,69.3,73.0,74.4,73.7,74.5,77.8,77.7,74.7,78.0,81.5,81.5,80.7,82.1,84.9,84.8,84.6,83.5,88.5,87.6,88.3,87.1,91.9,92.2,90.6,89.0,95.0,99.7,98.2,98.0,103.7,104.4,102.4,102.8,108.9,111.1,109.1,109.7,116.9,118.5,116.5,114.7,121.8,124.7,121.1,119.0,124.7,130.6,121.1,123.8,128.5,136.0,128.4,128.6,135.8,141.8,140.1,135.1,143.5,149.4,143.3,138.6,153.1,155.7,153.1,148.8,170.8,175.0,168.9,159.0,167.2,170.0,161.4,154.9,162.9,169.2,156.0,142.1,160.7,158.9,139.5,131.6,146.4,150.1,138.5,131.4,147.8,145.5,138.7,124.3,139.0,145.0,131.7,124.9,148.9,151.2,142.4,134.9,160.6,164.4,152.5,143.8,167.4,172.8,161.9,156.5,182.0,181.1,171.4,167.1,191.3,191.6,180.8,176.6,203.5,202.6,193.8,186.8,209.6,206.5,196.8,194.1,221.8,222.2,209.7,208.4,232.1,246.9,240.6
,,,SO,85.1,85.6,86.9,85.1,86.9,87.5,86.6,84.2,87.0,90.3,91.5,89.7,91.9,93.0,93.3,93.4,91.3,95.7,97.6,96.6,96.0,98.1,97.7,96.3,94.7,97.7,102.0,100.6,101.7,105.0,106.7,105.4,106.0,110.6,113.8,112.6,113.9,118.0,119.7,118.6,117.6,123.3,124.4,122.8,124.1,128.1,132.9,132.0,132.7,141.3,141.5,142.7,143.3,150.5,151.5,152.7,152.8,158.6,164.8,159.8,159.4,172.0,174.1,172.7,168.5,180.8,187.4,188.7,178.8,188.0,187.5,181.5,177.6,184.6,180.8,171.2,164.4,176.9,173.8,156.7,146.6,158.6,160.0,152.0,142.6,157.3,156.7,152.3,141.9,151.9,156.5,146.8,143.4,162.8,161.6,159.7,156.8,180.7,181.2,172.8,168.5,186.7,189.3,183.3,181.5,202.9,200.6,195.0,192.1,214.9,214.4,211.0,208.9,229.3,226.5,220.9,220.3,238.4,234.2,228.6,225.8,247.5,246.3,242.6,242.9,255.4,274.7,276.8
,,,WE,135.8,136.1,139.4,137.3,142.7,142.5,138.1,135.5,143.0,149.3,147.6,142.5,146.1,143.9,139.5,139.3,140.5,142.5,144.5,143.3,147.7,151.6,152.7,149.6,148.8,151.2,155.3,152.2,155.5,159.7,161.9,156.9,160.8,167.5,170.6,169.4,171.3,178.7,180.9,179.0,185.2,187.5,193.0,186.3,190.4,198.9,201.1,199.9,199.2,210.3,214.0,208.7,227.5,232.4,233.5,233.2,235.7,253.4,255.1,261.5,261.8,283.0,293.3,298.3,307.2,338.6,352.2,353.6,342.4,350.9,351.3,355.0,337.7,351.9,338.8,324.6,296.2,289.7,268.0,249.3,229.2,214.2,225.6,220.8,207.2,225.0,226.1,214.1,197.9,206.3,205.8,204.1,199.2,234.7,247.0,247.8,247.4,277.1,288.1,285.7,279.4,296.8,302.3,298.5,294.9,325.2,324.5,323.6,316.1,346.5,349.1,349.1,343.1,372.5,377.4,376.5,371.4,398.3,394.8,385.4,384.3,409.3,411.0,412.9,413.6,424.2,466.4,476.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10180,40,"Abilene, TX ",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,116.2,107.6,111.1,108.7,125.7,107.6,110.3,116.9,121.2,124.8,116.5,121.0,135.7,123.3,120.5,130.1,139.0,123.5,125.6,134.1,143.6,142.3,145.7,149.8,156.3,155.5,155.4,164.3,157.5,150.9,158.8,161.7,164.7,158.6,158.8,167.2,167.2,175.5,163.0,187.2,186.2,182.5,178.3,187.2,205.0,197.4
2,10420,80,"Akron, OH ",56.0,62.9,66.6,69.7,65.8,67.0,71.1,65.8,68.3,72.3,73.7,71.6,75.5,80.5,78.3,82.4,77.4,85.4,84.0,84.2,81.6,86.6,86.5,83.3,83.9,90.3,97.7,94.0,91.1,103.1,100.8,97.2,99.0,106.9,109.7,105.4,106.2,112.6,105.8,98.9,98.4,107.9,109.3,100.8,100.9,112.1,112.5,112.8,110.0,113.4,118.8,110.6,103.7,117.4,119.7,117.9,111.4,119.6,121.6,111.6,104.4,116.0,122.9,117.2,111.2,119.8,129.1,117.8,104.2,123.4,116.6,110.2,111.0,125.3,124.7,109.1,96.3,106.5,108.1,86.1,50.1,88.0,107.2,105.7,95.3,119.7,105.7,105.3,74.9,100.2,93.6,91.4,81.6,116.7,118.8,112.4,108.3,126.7,125.3,107.0,100.5,119.5,126.0,110.7,95.4,120.6,130.4,113.5,107.0,131.1,131.5,122.8,118.2,139.4,144.1,132.3,124.9,148.6,156.0,144.4,138.7,158.6,163.2,152.7,145.2,165.2,181.7,171.2
3,10580,160,"Albany-Schenectady-Troy, NY",102.0,104.2,108.5,103.5,102.7,106.9,109.3,106.9,106.6,108.0,112.9,111.7,109.3,110.2,112.4,112.5,109.8,110.6,111.8,115.3,112.4,110.3,112.9,112.2,106.5,104.4,106.6,105.8,106.2,107.1,107.6,106.0,101.9,107.4,105.0,105.5,105.3,103.2,110.2,107.0,103.4,109.6,105.7,104.2,100.3,105.7,117.8,117.3,116.5,116.5,122.5,127.8,121.3,121.9,127.4,130.7,133.3,139.3,146.3,145.4,144.7,157.8,168.9,167.7,170.4,176.1,192.8,190.8,189.9,193.0,197.6,198.7,201.8,191.6,204.5,200.3,194.1,198.4,205.5,193.1,184.5,189.4,195.4,182.7,183.8,194.3,208.0,196.5,184.0,195.6,198.6,190.8,189.2,197.5,209.8,202.1,194.2,208.6,205.8,198.8,203.4,198.5,208.8,197.5,189.8,206.6,218.3,201.9,193.0,202.7,212.1,202.6,194.0,210.3,216.1,196.2,194.8,212.6,218.8,204.0,200.4,223.6,225.2,216.7,208.4,227.5,241.7,240.1
4,10740,200,"Albuquerque, NM",82.0,84.5,83.5,81.7,82.8,86.1,86.4,81.8,83.2,86.7,89.8,86.5,86.7,90.7,93.6,96.5,94.4,100.8,102.6,102.9,103.1,108.5,112.5,114.5,110.8,116.3,121.5,117.0,122.6,120.7,124.3,121.1,124.5,127.7,128.4,125.3,126.2,126.8,129.5,129.5,129.6,133.5,130.7,126.2,128.0,132.7,130.4,129.4,N/A,132.3,131.3,142.1,128.0,134.3,136.3,134.9,134.3,140.1,142.2,135.7,134.7,145.4,144.5,155.8,149.7,171.7,170.8,174.1,171.9,185.4,191.1,187.5,193.7,199.6,204.8,195.9,190.5,199.4,193.4,183.7,182.6,182.2,183.5,175.6,174.2,177.9,185.1,179.5,167.7,166.8,173.4,163.3,162.9,174.3,172.9,168.7,168.9,171.6,180.7,174.3,170.1,178.7,183.4,177.2,172.2,184.0,185.6,180.7,179.2,193.5,193.8,189.4,189.3,196.5,201.6,197.4,194.9,210.6,208.9,205.5,208.0,228.3,228.9,228.4,231.7,238.7,258.6,263.5
