Table 2 - 2018,,,,,,,,,,,,,,,,,
Federal Housing Finance Agency,,,,,,,,,,,,,,,,,
www.fhfa.gov,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"NATIONAL STATISTICS FOR NEW FIXED-RATE, FULLY-AMORTIZING RESIDENTIAL MORTGAGES ON OWNER-OCCUPIED, SITE-BUILT PROPERTIES IN THE UNITED STATES",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mortgage,Average,Average,Average,Average,Average,Average,Average,Percent of Loans,,,,,Share of ,Enterprise,,,
Type,Purchase,Property,Loan,Term to,Contract,Loan-to-,Combined,by Loan-to-Value Ratio Class,,,,,Mortgages with,Share of,Refinance,,
and,Price,Value,Amount,Maturity,Interest,Value,Loan-to-,Loan-to-Value Percentage,,,,Average,Credit Score,Conforming-,Share of,,
Origination,in Thousand,in Thousand,in Thousand,in,Rate,Ratio,Value Ratio in,70.0 or,70.1 to,80.1 to,Over,Credit,Below 600,Sized Mortgages,Mortgages,,
Period,Dollars,Dollars,Dollars,Years,in Percent,in Percent,Percent,Less,80,90,90,Score,in Percent,in Percent,in Percent,,
PURCHASE-MONEY MORTGAGES,,,,,,,,,,,,,,,,,
All Mortgages,,,,,,,,,,,,,,,,,
JAN-2018,300.7,300.7,246.3,28.3,4.2,84.8,85.0,14.9,20.3,12.1,52.8,730.0,3.9,NA,NA,,
FEB-2018,297.9,297.9,245.0,28.2,4.4,84.9,85.2,14.7,20.9,11.7,52.7,731.5,3.5,NA,NA,,
MAR-2018,299.6,299.6,247.0,28.2,4.6,85.0,85.3,14.2,21.1,11.5,53.2,730.1,4.2,NA,NA,,
APR-2018,307.2,307.2,249.7,28.1,4.7,84.3,84.6,15.5,20.5,12.2,51.8,732.4,3.5,NA,NA,,
MAY-2018,307.1,307.1,251.0,28.2,4.7,84.5,84.8,14.9,21.2,12.1,51.8,734.0,3.1,NA,NA,,
JUN-2018,312.4,312.4,255.0,28.3,4.8,84.4,84.7,15.3,21.0,12.4,51.2,735.3,3.6,NA,NA,,
JUL-2018,304.8,304.8,248.6,28.2,4.8,84.0,84.3,15.7,21.0,12.7,50.7,733.5,3.2,NA,NA,,
AUG-2018,310.9,310.9,251.7,28.2,4.8,83.9,84.2,15.9,21.7,12.4,49.9,734.6,3.1,NA,NA,,
SEP-2018,306.8,306.8,249.4,28.2,4.8,83.8,84.0,16.2,21.6,12.4,49.8,732.6,3.8,NA,NA,,
OCT-2018,314.3,314.3,251.4,28.3,4.9,84.3,84.6,15.4,20.9,13.1,50.6,732.9,3.6,NA,NA,,
NOV-2018,302.7,302.7,248.3,28.2,5.1,84.2,84.4,14.7,21.8,12.5,51.0,733.2,3.6,NA,NA,,
DEC-2018,305.9,305.9,250.2,28.2,5.1,84.2,84.5,15.4,20.3,13.2,51.1,731.4,3.9,NA,NA,,
,,,,,,,,,,,,,,,,,
All Conventional Mortgages,,,,,,,,,,,,,,,,,
JAN-2018,340.6,340.6,261.2,27.4,4.3,78.4,78.8,22.3,30.5,15.5,31.7,750.8,2.1,NA,NA,,
FEB-2018,334.6,334.6,258.0,27.3,4.4,78.7,79.0,21.9,31.2,14.8,32.0,752.2,1.7,NA,NA,,
MAR-2018,337.7,337.7,261.8,27.2,4.6,79.0,79.4,21.0,31.6,14.9,32.5,751.5,2.0,NA,NA,,
APR-2018,347.1,347.1,265.6,27.2,4.7,78.4,78.7,22.6,29.8,15.5,32.1,752.6,1.8,NA,NA,,
MAY-2018,344.2,344.2,265.3,27.4,4.7,78.7,79.2,21.6,30.7,15.3,32.4,753.4,1.7,NA,NA,,
JUN-2018,348.8,348.8,269.3,27.6,4.8,79.0,79.4,21.7,30.0,15.4,32.9,754.9,1.8,NA,NA,,
JUL-2018,338.9,338.9,261.2,27.4,4.8,78.5,78.8,22.2,29.8,15.6,32.3,751.9,1.9,NA,NA,,
AUG-2018,347.2,347.2,265.1,27.5,4.8,78.2,78.6,22.6,30.7,15.5,31.2,752.9,1.7,NA,NA,,
SEP-2018,341.7,341.7,262.5,27.4,4.8,78.1,78.4,23.0,30.8,15.5,30.7,751.6,2.0,NA,NA,,
OCT-2018,355.7,355.7,267.1,27.5,4.9,78.5,79.0,22.0,30.3,16.1,31.6,752.6,1.9,NA,NA,,
NOV-2018,335.6,335.6,260.3,27.4,5.1,78.6,78.9,20.9,31.1,15.5,32.5,751.7,1.9,NA,NA,,
DEC-2018,339.4,339.4,261.7,27.4,5.1,78.6,78.9,22.0,29.2,16.3,32.5,750.7,2.1,NA,NA,,
,,,,,,,,,,,,,,,,,
"All Conventional, Conforming-Sized Mortgages",,,,,,,,,,,,,,,,,
JAN-2018,294.9,294.9,227.9,27.3,4.3,78.5,78.8,22.3,29.5,15.3,32.8,749.2,2.2,77.6,NA,,
FEB-2018,301.7,301.7,232.9,27.3,4.4,78.6,78.9,22.2,30.2,14.7,32.9,751.0,1.8,77.6,NA,,
MAR-2018,299.2,299.2,233.1,27.2,4.6,79.0,79.4,21.2,30.4,14.9,33.6,750.2,2.1,78.5,NA,,
APR-2018,300.0,300.0,230.8,27.2,4.7,78.4,78.8,22.5,28.9,15.4,33.3,751.0,1.8,76.4,NA,,
MAY-2018,297.3,297.3,230.4,27.3,4.7,78.7,79.1,21.9,29.6,15.1,33.4,752.0,1.8,75.7,NA,,
JUN-2018,303.6,303.6,236.0,27.5,4.8,79.1,79.4,21.7,29.0,15.2,34.0,753.3,1.9,76.2,NA,,
JUL-2018,298.2,298.2,230.7,27.3,4.8,78.4,78.8,22.4,28.8,15.5,33.4,750.5,2.0,74.4,NA,,
AUG-2018,302.8,302.8,233.1,27.4,4.8,78.2,78.6,22.7,29.8,15.4,32.1,751.7,1.7,74.4,NA,,
SEP-2018,298.1,298.1,229.5,27.3,4.8,78.1,78.4,23.3,29.6,15.3,31.8,750.3,2.1,73.9,NA,,
OCT-2018,299.4,299.4,231.4,27.4,4.9,78.6,79.0,22.1,29.3,16.0,32.6,751.4,2.0,75.5,NA,,
NOV-2018,296.5,296.5,230.8,27.4,5.1,78.6,78.9,21.0,29.9,15.6,33.5,750.3,2.0,74.9,NA,,
DEC-2018,300.0,300.0,232.0,27.3,5.1,78.5,78.9,22.3,28.0,16.2,33.5,749.3,2.2,75.6,NA,,
,,,,,,,,,,,,,,,,,
"All Conventional, Conforming-Sized Mortgages with Term of 30 Years",,,,,,,,,,,,,,,,,
JAN-2018,308.5,308.5,246.5,30.0,4.3,82.6,82.9,15.3,30.2,16.7,37.8,751.8,1.2,85.2,NA,,
FEB-2018,317.5,317.5,251.7,30.0,4.4,82.5,82.8,15.4,31.3,15.8,37.6,753.7,1.0,85.4,NA,,
MAR-2018,315.3,315.3,252.3,30.0,4.6,82.9,83.3,14.2,31.1,16.1,38.6,752.6,1.1,86.8,NA,,
APR-2018,317.8,317.8,251.1,30.0,4.7,82.5,82.8,15.2,29.9,16.7,38.2,753.6,0.8,85.2,NA,,
MAY-2018,312.6,312.6,249.0,30.0,4.8,82.7,83.0,14.9,30.6,16.4,38.0,754.5,0.9,83.5,NA,,
JUN-2018,317.8,317.8,252.7,30.0,4.8,82.6,83.0,15.4,29.8,16.3,38.5,755.0,1.1,83.1,NA,,
JUL-2018,314.6,314.6,249.7,30.0,4.8,82.5,82.8,15.7,29.6,16.8,37.9,753.3,1.0,82.4,NA,,
AUG-2018,319.3,319.3,251.9,30.0,4.8,82.1,82.4,16.0,30.8,16.7,36.4,754.3,0.8,82.0,NA,,
SEP-2018,315.5,315.5,249.0,30.0,4.8,82.1,82.4,16.2,30.8,16.8,36.2,753.0,1.1,81.9,NA,,
OCT-2018,315.0,315.0,249.3,30.0,4.9,82.3,82.7,15.8,30.2,17.2,36.8,753.9,1.0,82.7,NA,,
NOV-2018,313.3,313.3,249.5,30.0,5.1,82.5,82.8,14.7,30.7,16.6,37.9,753.8,0.6,82.1,NA,,
DEC-2018,316.5,316.5,251.1,30.0,5.1,82.5,82.8,15.4,28.9,17.7,38.0,752.5,1.1,83.3,NA,,
,,,,,,,,,,,,,,,,,
Enterprise Mortgages,,,,,,,,,,,,,,,,,
JAN-2018,306.5,306.5,242.0,28.8,4.2,81.8,82.1,16.4,30.7,16.2,36.7,754.6,0.9,NA,NA,,
FEB-2018,317.1,317.1,248.8,28.9,4.3,81.7,82.0,16.7,31.7,15.6,36.1,755.9,0.7,NA,NA,,
MAR-2018,311.9,311.9,247.7,28.8,4.6,82.3,82.6,15.3,32.1,15.4,37.3,754.9,0.7,NA,NA,,
APR-2018,315.8,315.8,247.8,28.9,4.6,82.0,82.2,15.9,31.0,16.2,36.9,755.8,0.6,NA,NA,,
MAY-2018,312.4,312.4,246.9,28.9,4.7,82.0,82.3,15.7,31.8,15.9,36.7,757.0,0.6,NA,NA,,
JUN-2018,314.0,314.0,249.0,28.9,4.8,82.2,82.6,16.0,30.3,15.9,37.8,757.0,0.8,NA,NA,,
JUL-2018,311.0,311.0,246.1,29.0,4.8,82.2,82.4,15.7,30.1,16.3,37.9,755.4,0.7,NA,NA,,
AUG-2018,315.2,315.2,247.4,29.0,4.8,81.6,81.9,16.5,31.0,16.3,36.1,756.7,0.5,NA,NA,,
