"Table 4 - January-June, 2020",,,,,,,,,,,,,,,,,
Federal Housing Finance Agency,,,,,,,,,,,,,,,,,
www.fhfa.gov,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"NATIONAL STATISTICS FOR NEW FIXED-RATE, FULLY-AMORTIZING RESIDENTIAL MORTGAGES ON OWNER-OCCUPIED, SITE-BUILT PROPERTIES IN THE UNITED STATES",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Mortgage,Average,Average,Average,Average,Average,Average,Average,Percent of Loans,,,,,Share of ,Enterprise,,,
Type,Purchase,Property,Loan,Term to,Contract,Loan-to-,Combined,by Loan-to-Value Ratio Class,,,,,Mortgages with,Share of,Refinance,,
and,Price,Value,Amount,Maturity,Interest,Value,Loan-to-,Loan-to-Value Percentage,,,,Average,Credit Score,Conforming-,Share of,,
Origination,in Thousand,in Thousand,in Thousand,in,Rate,Ratio,Value Ratio in,70.0 or,70.1 to,80.1 to,Over,Credit,Below 600,Sized Mortgages,Mortgages,,
Period,Dollars,Dollars,Dollars,Years,in Percent,in Percent,Percent,Less,80,90,90,Score,in Percent,in Percent,in Percent,,
PURCHASE-MONEY MORTGAGES,,,,,,,,,,,,,,,,,
All Mortgages,,,,,,,,,,,,,,,,,
JAN-2020,322.4,322.4,261.3,27.9,4.0,83.3,83.6,18.0,19.9,13.0,49.2,725.2,4.9,NA,NA,,
FEB-2020,330.9,330.9,268.4,28.2,3.9,83.8,84.1,16.9,20.7,12.3,50.1,726.3,4.5,NA,NA,,
MAR-2020,330.5,330.5,269.4,28.4,3.7,84.4,84.6,16.9,19.1,11.6,52.5,725.1,4.9,NA,NA,,
APR-2020,327.7,327.7,266.6,28.3,3.5,84.3,84.6,17.1,18.6,11.6,52.6,724.3,5.4,NA,NA,,
MAY-2020,324.0,324.0,263.9,28.2,3.5,84.3,84.5,17.5,17.7,11.7,53.1,721.9,5.6,NA,NA,,
JUN-2020,336.0,336.0,272.1,28.1,3.5,83.9,84.1,18.0,18.2,11.6,52.3,718.8,6.8,NA,NA,,
,,,,,,,,,,,,,,,,,
All Conventional Mortgages,,,,,,,,,,,,,,,,,
JAN-2020,357.6,357.6,271.6,26.8,4.1,77.0,77.5,26.1,28.7,16.3,28.9,744.2,3.1,NA,NA,,
FEB-2020,369.6,369.6,282.5,27.3,3.9,78.1,78.4,24.0,29.5,15.5,30.9,747.2,2.0,NA,NA,,
MAR-2020,369.3,369.3,282.6,27.5,3.7,78.4,78.6,24.7,28.1,15.0,32.2,747.5,2.2,NA,NA,,
APR-2020,362.9,362.9,277.7,27.4,3.6,78.6,78.9,24.4,27.1,15.1,33.4,746.0,2.4,NA,NA,,
MAY-2020,351.9,351.9,269.3,27.4,3.5,78.6,79.0,24.9,25.7,15.1,34.3,742.5,2.5,NA,NA,,
JUN-2020,369.0,369.0,280.3,27.3,3.5,78.2,78.4,25.6,25.9,14.9,33.7,739.6,3.3,NA,NA,,
,,,,,,,,,,,,,,,,,
"All Conventional, Conforming-Sized Mortgages",,,,,,,,,,,,,,,,,
JAN-2020,304.4,304.4,233.4,26.7,4.1,77.0,77.5,26.0,27.9,16.2,29.9,742.9,3.3,68.8,NA,,
FEB-2020,311.1,311.1,242.0,27.2,3.9,78.2,78.4,24.0,28.4,15.5,32.2,745.8,2.1,72.9,NA,,
MAR-2020,315.6,315.6,245.9,27.4,3.7,78.6,78.8,24.2,27.4,14.9,33.5,745.9,2.3,75.5,NA,,
APR-2020,315.4,315.4,245.9,27.4,3.6,78.8,79.0,23.9,26.6,14.9,34.6,744.8,2.6,76.2,NA,,
MAY-2020,305.6,305.6,238.4,27.2,3.5,78.9,79.1,24.1,25.3,15.0,35.6,741.2,2.7,74.8,NA,,
JUN-2020,315.5,315.5,245.7,27.2,3.5,78.4,78.6,25.1,25.1,14.8,35.0,738.2,3.5,74.0,NA,,
,,,,,,,,,,,,,,,,,
"All Conventional, Conforming-Sized Mortgages with Term of 30 Years",,,,,,,,,,,,,,,,,
JAN-2020,328.6,328.6,259.1,30.0,4.1,81.5,81.9,17.6,29.0,17.9,35.5,748.7,1.4,78.5,NA,,
FEB-2020,333.1,333.1,265.8,30.0,3.9,82.1,82.3,16.3,29.4,17.0,37.3,749.6,0.9,81.8,NA,,
MAR-2020,333.2,333.2,266.9,30.0,3.7,82.4,82.5,16.8,27.9,16.6,38.7,748.9,1.1,83.5,NA,,
APR-2020,334.0,334.0,268.8,30.0,3.6,82.9,83.0,15.6,27.7,16.4,40.2,748.3,1.4,84.8,NA,,
MAY-2020,323.5,323.5,260.2,30.0,3.5,82.9,83.1,15.8,26.2,16.4,41.5,743.9,1.4,84.2,NA,,
JUN-2020,337.6,337.6,270.9,30.0,3.5,82.8,82.9,16.3,26.4,16.1,41.2,742.3,1.9,84.1,NA,,
,,,,,,,,,,,,,,,,,
Enterprise Mortgages,,,,,,,,,,,,,,,,,
JAN-2020,337.3,337.3,264.7,28.8,4.0,81.3,81.6,17.2,30.5,17.1,35.2,752.5,0.9,NA,NA,,
FEB-2020,342.6,342.6,272.6,29.0,3.9,82.1,82.3,15.7,30.1,16.5,37.7,752.7,0.6,NA,NA,,
MAR-2020,346.8,346.8,277.8,28.9,3.6,82.5,82.7,15.4,29.4,16.4,38.8,752.5,0.8,NA,NA,,
APR-2020,349.0,349.0,279.4,28.9,3.5,82.7,82.9,15.3,28.3,16.3,40.1,752.0,1.0,NA,NA,,
MAY-2020,341.7,341.7,273.6,29.0,3.4,83.0,83.3,15.0,27.3,16.3,41.4,747.9,1.0,NA,NA,,
JUN-2020,358.4,358.4,286.9,29.1,3.4,82.9,83.1,15.3,27.9,15.9,40.9,746.1,1.4,NA,NA,,
,,,,,,,,,,,,,,,,,
"Non-Enterprise, Conventional, Conforming-Sized Mortgages",,,,,,,,,,,,,,,,,
JAN-2020,250.7,250.7,177.9,22.0,4.2,67.5,68.4,46.1,21.8,14.3,17.8,721.6,8.6,NA,NA,,
FEB-2020,262.1,262.1,185.0,22.4,4.1,67.4,67.9,46.7,24.6,13.0,15.8,727.4,6.1,NA,NA,,
MAR-2020,262.8,262.8,180.0,22.7,4.0,66.5,66.8,51.9,21.7,10.8,15.6,726.2,7.1,NA,NA,,
APR-2020,258.1,258.1,174.2,22.4,3.9,65.9,66.3,52.7,21.3,10.4,15.5,722.3,7.6,NA,NA,,
MAY-2020,254.2,254.2,172.3,22.0,3.9,66.0,66.4,53.4,19.7,11.5,15.4,722.2,7.6,NA,NA,,
JUN-2020,247.7,247.7,167.2,21.8,3.9,65.1,65.4,54.2,18.2,12.1,15.5,716.1,9.5,NA,NA,,
,,,,,,,,,,,,,,,,,
PURCHASE-MONEY AND REFINANCE MORTGAGES,,,,,,,,,,,,,,,,,
All Mortgages,,,,,,,,,,,,,,,,,
JAN-2020,NA,385.4,276.7,26.9,3.9,76.0,76.2,32.9,25.7,13.2,28.2,726.1,4.6,NA,59.3,,
FEB-2020,NA,396.7,282.4,27.0,3.8,75.7,75.8,33.5,27.0,12.7,26.9,730.1,4.3,NA,61.4,,
MAR-2020,NA,409.6,286.4,27.0,3.5,74.8,74.9,36.5,25.9,11.7,25.9,734.4,3.8,NA,62.1,,
APR-2020,NA,419.6,285.5,26.4,3.4,73.0,73.2,40.7,25.9,11.4,21.9,740.6,3.2,NA,69.2,,
MAY-2020,NA,420.6,281.6,26.3,3.3,72.1,72.3,43.5,24.2,11.0,21.4,739.1,3.5,NA,68.4,,
JUN-2020,NA,427.5,286.4,26.3,3.3,72.4,72.6,42.8,23.4,10.2,23.6,737.9,4.0,NA,62.5,,
,,,,,,,,,,,,,,,,,
"Source: National Mortgage Database (NMDB®), Federal Housing Finance Agency",,,,,,,,,,,,,,,,,
Note: The explanation for each row category and column statistic is provided in the Decriptions tab. NA is not applicable.  The tables reflect the most up to date data available. ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
