Pending Home Sales,,,,,,,,,,,,,,,,,,,,,,,
United States & Each Region ,,,,,,,,,,,,,,,,,,,,,,,
Monthly: 2001-current,,,,,,,,,,,,,,,,,,,,,,,
(Not Seasonally Adjusted ),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Year-to-Year % Change,,,,,,,,,,,,,,,,
,US,NE,MW,S,W,,US,NE,MW,S,W,,,,,,,,,,,,
Annual,,,,,,,,,,,,,,,,,,,,,,,
2001.00,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,
2002.00,102.2,103.3,103.0,99.7,104.7,,,,,,,,,,,,,,,,,,
2003.00,107.4,101.0,109.8,107.4,110.0,,,,,,,,,,,,,,,,,,
2004.00,120.9,109.7,118.6,126.8,122.9,,,,,,,,,,,,,,,,,,
2005.00,124.2,108.6,116.6,134.9,127.8,,,,,,,,,,,,,,,,,,
2006.00,111.7,98.6,101.5,127.0,108.8,,,,,,,,,,,,,,,,,,
2007.00,96.4,86.8,89.9,107.9,92.5,,,,,,,,,,,,,,,,,,
2008.00,86.7,74.1,80.8,89.8,97.9,,,,,,,,,,,,,,,,,,
2009.00,94.2,76.8,88.9,98.5,106.4,,,,,,,,,,,,,,,,,,
2010.00,89.0,71.2,80.3,97.1,99.3,,,,,,,,,,,,,,,,,,
