Pending Home Sales,,,,,,,,,,,,,,,,,,,,,,,
United States & Each Region ,,,,,,,,,,,,,,,,,,,,,,,
Annual & Monthly: 2001-current,,,,,,,,,,,,,,,,,,,,,,,
(Seasonally Adjusted Annual Rates),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Existing Home Sales Program © 2021,,,,,,,,,,,,,,,,,,,,,,,
National Association of REALTORS ® Research Division,,,,,,,,,,,,,,,,,,,,,,,
"500 New Jersey Avenue, Washington, DC 20001",,,,,,,,,,,,,,,,,,,,,,,
"Existing Home Sales data are provided by NAR solely for use as a reference. No part of the data may be reproduced, stored in a retrieval system, transmitted or",,,,,,,,,,,,,,,,,,,,,,,
"redistributed in any form or by any means, electronic, mechanical, photocopying, recording or otherwise, without NAR's prior written consent. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Month-to-Month % Change,,,,,,Year-Over-Year % Change,,,,,,,,,,
,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,US,NE,MW,SO,WE,,,,,,
Annual,,,,,,,,,,,,,,,,,,,,,,,
2001,100.0,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,,,,
2002,102.2,103.3,103.0,99.7,104.6,,,,,,,,2.2%,3.3%,3.0%,-0.3%,4.6%,,,,,,
2003,107.2,101.0,109.8,107.4,109.2,,,,,,,,4.9%,-2.2%,6.6%,7.7%,4.4%,,,,,,
2004,120.6,109.7,118.6,126.9,121.6,,,,,,,,12.5%,8.6%,8.0%,18.2%,11.4%,,,,,,
2005,124.2,108.6,116.6,134.9,127.8,,,,,,,,3.0%,-1.0%,-1.7%,6.3%,5.1%,,,,,,
2006,111.7,98.6,101.5,127.0,108.8,,,,,,,,-10.1%,-9.2%,-13.0%,-5.9%,-14.9%,,,,,,
2007,96.4,86.8,89.9,107.9,92.5,,,,,,,,-13.7%,-12.0%,-11.4%,-15.0%,-15.0%,,,,,,
2008,86.7,74.1,80.8,89.8,97.9,,,,,,,,-10.1%,-14.6%,-10.1%,-16.8%,5.8%,,,,,,
2009,94.2,76.8,88.9,98.5,106.4,,,,,,,,8.7%,3.6%,10.0%,9.7%,8.7%,,,,,,
2010,89.0,71.2,80.3,97.1,99.3,,,,,,,,-5.5%,-7.3%,-9.7%,-1.4%,-6.7%,,,,,,
2011,89.3,67.5,80.8,98.0,101.4,,,,,,,,0.3%,-5.2%,0.6%,0.9%,2.1%,,,,,,
2012,99.9,79.3,95.8,110.6,103.3,,,,,,,,11.9%,17.5%,18.6%,12.9%,1.9%,,,,,,
2013,104.9,84.8,106.6,117.2,99.4,,,,,,,,5.0%,6.9%,11.3%,6.0%,-3.8%,,,,,,
2014,100.8,83.7,99.9,114.9,92.9,,,,,,,,-3.9%,-1.3%,-6.3%,-2.0%,-6.5%,,,,,,
2015,108.9,90.5,107.2,123.1,102.5,,,,,,,,8.0%,8.1%,7.3%,7.1%,10.3%,,,,,,
2016,110.2,96.4,107.9,123.3,102.7,,,,,,,,1.2%,6.5%,0.7%,0.2%,0.2%,,,,,,
2017,108.9,97.1,104.7,123.6,99.4,,,,,,,,-1.2%,0.7%,-3.0%,0.2%,-3.2%,,,,,,
2018,105.1,92.6,100.5,122.3,92.6,,,,,,,,-3.5%,-4.6%,-4.0%,-1.1%,-6.8%,,,,,,
2019,105.8,92.9,99.7,124.0,93.5,,,,,,,,0.7%,0.3%,-0.8%,1.4%,1.0%,,,,,,
2020,111.1,91.9,106.0,132.5,97.9,,,,,,,,5.0%,-1.1%,6.3%,6.9%,4.7%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Monthly,,,,,,,,,,,,,,,,,,,,,,,
2001.01,101.5,101.7,102.3,101.5,100.6,,n/a,n/a,n/a,n/a,n/a,,,,,,,,,,,,
2001.02,106.7,102.6,106.5,110.6,104.0,,5.1%,0.9%,4.1%,9.0%,3.4%,,,,,,,,,,,,
