,state,agi_class,zipcode,#_of_returns,AGI,returns x AGI
2163,il,1,60601.0,495.0,-3415.0,-1690425.0
2164,il,2,60601.0,438.0,7573.0,3316974.0
2165,il,3,60601.0,855.0,32873.0,28106415.0
2166,il,4,60601.0,749.0,46281.0,34664469.0
2167,il,5,60601.0,508.0,44042.0,22373336.0
2168,il,6,60601.0,853.0,119280.0,101745840.0
2169,il,7,60601.0,588.0,554458.0,326021304.0
2170,il,1,60602.0,246.0,-1868.0,-459528.0
2171,il,2,60602.0,199.0,3269.0,650531.0
2172,il,3,60602.0,177.0,6519.0,1153863.0
2173,il,4,60602.0,120.0,7399.0,887880.0
2174,il,5,60602.0,96.0,8464.0,812544.0
2175,il,6,60602.0,157.0,22473.0,3528261.0
2176,il,7,60602.0,192.0,218194.0,41893248.0
2177,il,1,60603.0,254.0,-209.0,-53086.0
2178,il,2,60603.0,222.0,3878.0,860916.0
2179,il,3,60603.0,213.0,7711.0,1642443.0
2180,il,4,60603.0,157.0,9721.0,1526197.0
2181,il,5,60603.0,105.0,9049.0,950145.0
2182,il,6,60603.0,188.0,26261.0,4937068.0
2183,il,7,60603.0,207.0,439659.0,91009413.0
2184,il,1,60604.0,83.0,-22661.0,-1880863.0
2185,il,2,60604.0,89.0,1568.0,139552.0
2186,il,3,60604.0,78.0,2840.0,221520.0
2187,il,4,60604.0,59.0,3684.0,217356.0
2188,il,5,60604.0,32.0,2724.0,87168.0
2189,il,6,60604.0,50.0,6948.0,347400.0
2190,il,7,60604.0,96.0,430148.0,41294208.0
2191,il,1,60605.0,1069.0,-2414.0,-2580566.0
2192,il,2,60605.0,972.0,17039.0,16561908.0
2193,il,3,60605.0,1566.0,59983.0,93933378.0
2194,il,4,60605.0,1594.0,98884.0,157621096.0
2195,il,5,60605.0,1148.0,99303.0,113999844.0
2196,il,6,60605.0,1920.0,264100.0,507072000.0
2197,il,7,60605.0,853.0,421343.0,359405579.0
2198,il,1,60606.0,191.0,-10341.0,-1975131.0
2199,il,2,60606.0,160.0,2756.0,440960.0
2200,il,3,60606.0,342.0,13160.0,4500720.0
2201,il,4,60606.0,284.0,17550.0,4984200.0
2202,il,5,60606.0,207.0,17977.0,3721239.0
2203,il,6,60606.0,405.0,55994.0,22677570.0
2204,il,7,60606.0,450.0,1004626.0,452081700.0
2205,il,1,60607.0,1325.0,-2541.0,-3366825.0
2206,il,2,60607.0,1357.0,23602.0,32027914.0
2207,il,3,60607.0,1914.0,71518.0,136885452.0
2208,il,4,60607.0,1750.0,108240.0,189420000.0
2209,il,5,60607.0,1203.0,104102.0,125234706.0
2210,il,6,60607.0,1758.0,241208.0,424043664.0
2211,il,7,60607.0,698.0,298844.0,208593112.0
2212,il,1,60608.0,5140.0,22381.0,115038340.0
2213,il,2,60608.0,8876.0,153596.0,1363318096.0
2214,il,3,60608.0,7507.0,261677.0,1964409239.0
2215,il,4,60608.0,2449.0,148137.0,362787513.0
2216,il,5,60608.0,891.0,76653.0,68297823.0
