,state,zipcode,agi_class,#_of_returns,AGI,returns x AGI
0,IL,60601,1,647,705903,456719241
1,IL,60601,2,496,8781250,4355500000
2,IL,60601,3,1460,52794572,77080075120
3,IL,60601,4,894,54932167,49109357298
4,IL,60601,5,558,48554458,27093387564
5,IL,60601,6,987,138421890,136622405430
6,IL,60601,7,795,855461659,680092018905
7,IL,60602,1,369,827475,305338275
8,IL,60602,2,176,2829352,497965952
9,IL,60602,3,196,7170599,1405437404
10,IL,60602,4,127,7731337,981879799
11,IL,60602,5,83,7182707,596164681
12,IL,60602,6,148,21081537,3120067476
13,IL,60602,7,224,315698385,70716438240
14,IL,60603,1,298,891129,265556442
15,IL,60603,2,206,3600108,741622248
16,IL,60603,3,234,8611907,2015186238
17,IL,60603,4,172,10775620,1853406640
18,IL,60603,5,109,9512515,1036864135
19,IL,60603,6,210,29935144,6286380240
20,IL,60603,7,255,497829032,126946403160
21,IL,60604,1,126,38705,4876830
22,IL,60604,2,88,1465018,128921584
23,IL,60604,3,102,3698635,377260770
24,IL,60604,4,68,4229253,287589204
25,IL,60604,5,35,3053133,106859655
26,IL,60604,6,61,8678176,529368736
27,IL,60604,7,116,488079969,56617276404
28,IL,60605,1,1640,2780478,4559983920
29,IL,60605,2,1001,17328387,17345715387
30,IL,60605,3,1586,60682653,96242687658
31,IL,60605,4,1743,107930558,188122962594
32,IL,60605,5,1295,112657679,145891694305
33,IL,60605,6,2079,288587097,599972574663
34,IL,60605,7,1026,597937318,613483688268
35,IL,60606,1,221,147702,32642142
36,IL,60606,2,181,3128165,566197865
37,IL,60606,3,366,14177049,5188799934
38,IL,60606,4,329,20108339,6615643531
39,IL,60606,5,200,17390318,3478063600
40,IL,60606,6,459,63954390,29355065010
41,IL,60606,7,453,1163356346,527000424738
42,IL,60607,1,2104,4073976,8571645504
43,IL,60607,2,1434,24616662,35300293308
44,IL,60607,3,1955,74016029,144701336695
45,IL,60607,4,1827,113657758,207652723866
46,IL,60607,5,1305,112772445,147168040725
47,IL,60607,6,1988,274846433,546394708804
48,IL,60607,7,874,408187749,356756092626
49,IL,60608,1,7723,25893365,199974457895
50,IL,60608,2,9051,156481130,1416310707630
51,IL,60608,3,8080,283469957,2290437252560
52,IL,60608,4,2704,163546787,442230512048
53,IL,60608,5,1041,89056093,92707392813
54,IL,60608,6,885,116875548,103434859980
55,IL,60608,7,197,82884850,16328315450
56,IL,60609,1,7268,25003365,181724456820
57,IL,60609,2,8077,136764077,1104643449929
58,IL,60609,3,6286,219173528,1377724797008
59,IL,60609,4,2038,123359312,251406277856
60,IL,60609,5,744,63975148,47597510112
61,IL,60609,6,610,78336230,47785100300
62,IL,60609,7,84,48015968,4033341312
63,IL,60610,1,4768,9450719,45061028192
64,IL,60610,2,3739,63811418,238590891902
65,IL,60610,3,5836,218867270,1277309387720
66,IL,60610,4,4706,288908927,1359605410462
67,IL,60610,5,2882,249237854,718303495228
68,IL,60610,6,4564,638036456,2911998385184
69,IL,60610,7,4048,3956909013,16017567684624
70,IL,60611,1,2130,1173378,2499295140
71,IL,60611,2,1491,26193962,39055197342
72,IL,60611,3,3167,119326476,377906949492
73,IL,60611,4,2594,159943955,414894619270
74,IL,60611,5,1661,143456883,238281882663
75,IL,60611,6,2823,399039945,1126489764735
76,IL,60611,7,3434,4203837126,14435976690684
77,IL,60612,1,5439,15109050,82178122950
78,IL,60612,2,4371,72300250,316024392750
79,IL,60612,3,3580,127368873,455980565340
80,IL,60612,4,1463,89133983,130403017129
81,IL,60612,5,671,57726295,38734343945
82,IL,60612,6,632,84283524,53267187168
83,IL,60612,7,208,81667743,16986890544
84,IL,60613,1,4556,11133244,50723059664
85,IL,60613,2,4759,83426388,397026180492
86,IL,60613,3,8114,302008021,2450493082394
87,IL,60613,4,5199,317690002,1651670320398
88,IL,60613,5,2539,217679237,552687582743
89,IL,60613,6,3154,433525141,1367338294714
90,IL,60613,7,1696,916858192,1554991493632
91,IL,60614,1,5393,9024562,48669462866
92,IL,60614,2,4256,74326481,316333503136
93,IL,60614,3,7931,297562452,2359967806812
94,IL,60614,4,5522,337224024,1862151060528
95,IL,60614,5,3007,259815792,781266086544
96,IL,60614,6,4911,692478597,3400762389867
97,IL,60614,7,5461,5051345385,27585397147485
98,IL,60615,1,5485,16741413,91826650305
99,IL,60615,2,4183,70970012,296867560196
100,IL,60615,3,4653,168023267,781812261351
101,IL,60615,4,2308,141264348,326038115184
102,IL,60615,5,1148,98673074,113276688952
103,IL,60615,6,1352,184621952,249608879104
104,IL,60615,7,694,496182075,344350360050
105,IL,60616,1,6786,19551124,132673927464
106,IL,60616,2,5294,90501779,479116418026
107,IL,60616,3,5644,205525468,1159985741392
108,IL,60616,4,3107,190363791,591460298637
