,statefips,state,zipcode,agi_stub,#_of_returns,AGI,year,returns x AGI
0,17,IL,60601,1,1210,13899,2010,16817790
1,17,IL,60601,2,1141,42974,2010,49033334
2,17,IL,60601,3,1063,65723,2010,69863549
3,17,IL,60601,4,717,62185,2010,44586645
4,17,IL,60601,5,1253,174086,2010,218129758
5,17,IL,60601,6,862,779500,2010,671929000
6,17,IL,60602,1,610,5554,2010,3387940
7,17,IL,60602,2,241,8891,2010,2142731
8,17,IL,60602,3,154,9587,2010,1476398
9,17,IL,60602,4,100,8652,2010,865200
10,17,IL,60602,5,174,24309,2010,4229766
11,17,IL,60602,6,197,211457,2010,41657029
12,17,IL,60603,1,428,4448,2010,1903744
13,17,IL,60603,2,214,7819,2010,1673266
14,17,IL,60603,3,153,9555,2010,1461915
15,17,IL,60603,4,117,10146,2010,1187082
16,17,IL,60603,5,183,25648,2010,4693584
17,17,IL,60603,6,236,530720,2010,125249920
18,17,IL,60604,1,299,2952,2010,882648
19,17,IL,60604,2,128,4731,2010,605568
20,17,IL,60604,3,107,6657,2010,712299
21,17,IL,60604,4,65,5596,2010,363740
22,17,IL,60604,5,135,19593,2010,2645055
23,17,IL,60604,6,187,465553,2010,87058411
24,17,IL,60605,1,2314,27370,2010,63334180
25,17,IL,60605,2,2142,81805,2010,175226310
26,17,IL,60605,3,2182,135470,2010,295595540
27,17,IL,60605,4,1561,135221,2010,211079981
28,17,IL,60605,5,2584,357312,2010,923294208
29,17,IL,60605,6,1223,542772,2010,663810156
30,17,IL,60606,1,420,4582,2010,1924440
31,17,IL,60606,2,407,15454,2010,6289778
32,17,IL,60606,3,436,26987,2010,11766332
33,17,IL,60606,4,267,23191,2010,6191997
34,17,IL,60606,5,513,70527,2010,36180351
35,17,IL,60606,6,446,617704,2010,275495984
36,17,IL,60607,1,3077,35716,2010,109898132
37,17,IL,60607,2,2107,79859,2010,168262913
38,17,IL,60607,3,1953,120923,2010,236162619
39,17,IL,60607,4,1391,120804,2010,168038364
40,17,IL,60607,5,2317,320759,2010,743198603
41,17,IL,60607,6,989,547638,2010,541613982
42,17,IL,60608,1,15631,206149,2010,3222315019
43,17,IL,60608,2,8382,292290,2010,2449974780
44,17,IL,60608,3,2829,170738,2010,483017802
45,17,IL,60608,4,1107,94716,2010,104850612
46,17,IL,60608,5,1005,133901,2010,134570505
47,17,IL,60608,6,222,89392,2010,19845024
48,17,IL,60609,1,13872,183578,2010,2546594016
49,17,IL,60609,2,6447,224825,2010,1449446775
50,17,IL,60609,3,1910,115528,2010,220658480
51,17,IL,60609,4,805,68450,2010,55102250
52,17,IL,60609,5,727,95237,2010,69237299
53,17,IL,60609,6,89,38271,2010,3406119
54,17,IL,60610,1,5759,70521,2010,406130439
55,17,IL,60610,2,4677,174742,2010,817268334
56,17,IL,60610,3,3749,230015,2010,862326235
57,17,IL,60610,4,2057,177705,2010,365539185
58,17,IL,60610,5,3057,424367,2010,1297289919
59,17,IL,60610,6,2378,1887337,2010,4488087386
60,17,IL,60611,1,3201,38738,2010,124000338
61,17,IL,60611,2,3023,114082,2010,344869886
62,17,IL,60611,3,2793,171932,2010,480206076
63,17,IL,60611,4,1832,159086,2010,291445552
64,17,IL,60611,5,3182,444520,2010,1414462640
65,17,IL,60611,6,3229,3336824,2010,10774604696
66,17,IL,60612,1,8203,104275,2010,855367825
67,17,IL,60612,2,3674,130780,2010,480485720
68,17,IL,60612,3,1550,93921,2010,145577550
69,17,IL,60612,4,741,63546,2010,47087586
70,17,IL,60612,5,727,97170,2010,70642590
71,17,IL,60612,6,224,105314,2010,23590336
72,17,IL,60613,1,8170,105910,2010,865284700
73,17,IL,60613,2,7794,288693,2010,2250073242
74,17,IL,60613,3,4964,304044,2010,1509274416
75,17,IL,60613,4,2582,221717,2010,572473294
76,17,IL,60613,5,3450,473696,2010,1634251200
77,17,IL,60613,6,1675,770630,2010,1290805250
78,17,IL,60614,1,7919,94827,2010,750935013
79,17,IL,60614,2,7654,288262,2010,2206357348
80,17,IL,60614,3,5590,341567,2010,1909359530
81,17,IL,60614,4,3013,260033,2010,783479429
82,17,IL,60614,5,5192,728402,2010,3781863184
83,17,IL,60614,6,5076,3728081,2010,18923739156
84,17,IL,60615,1,7856,97057,2010,762479792
85,17,IL,60615,2,4661,166557,2010,776322177
86,17,IL,60615,3,2572,156965,2010,403713980
87,17,IL,60615,4,1281,110241,2010,141218721
88,17,IL,60615,5,1409,191785,2010,270225065
89,17,IL,60615,6,675,308726,2010,208390050
90,17,IL,60616,1,9862,119320,2010,1176733840
91,17,IL,60616,2,5706,207290,2010,1182796740
92,17,IL,60616,3,3246,199033,2010,646061118
93,17,IL,60616,4,1733,148838,2010,257936254
94,17,IL,60616,5,1866,250503,2010,467438598
95,17,IL,60616,6,533,206176,2010,109891808
96,17,IL,60617,1,18122,234969,2010,4258108218
97,17,IL,60617,2,10054,357097,2010,3590253238
98,17,IL,60617,3,4623,281969,2010,1303542687
99,17,IL,60617,4,1997,170205,2010,339899385
100,17,IL,60617,5,1284,162568,2010,208737312
101,17,IL,60617,6,80,23401,2010,1872080
102,17,IL,60618,1,18048,237657,2010,4289233536
103,17,IL,60618,2,11916,426919,2010,5087166804
104,17,IL,60618,3,5637,343626,2010,1937019762
105,17,IL,60618,4,2927,252069,2010,737805963
106,17,IL,60618,5,3564,486528,2010,1733985792
107,17,IL,60618,6,1561,669868,2010,1045663948
108,17,IL,60619,1,15502,201876,2010,3129481752
109,17,IL,60619,2,8690,308258,2010,2678762020
110,17,IL,60619,3,3819,232742,2010,888841698
111,17,IL,60619,4,1652,140066,2010,231389032
112,17,IL,60619,5,982,124110,2010,121876020
113,17,IL,60619,6,78,21561,2010,1681758
114,17,IL,60620,1,17821,232618,2010,4145485378
115,17,IL,60620,2,9284,330284,2010,3066356656
116,17,IL,60620,3,3793,227978,2010,864720554
117,17,IL,60620,4,1352,114565,2010,154891880
118,17,IL,60620,5,631,79131,2010,49931661
119,17,IL,60620,6,36,10751,2010,387036
120,17,IL,60621,1,9779,123998,2010,1212576442
121,17,IL,60621,2,2679,92089,2010,246706431
122,17,IL,60621,3,772,46576,2010,35956672
123,17,IL,60621,4,219,18395,2010,4028505
124,17,IL,60621,5,87,11569,2010,1006503
125,17,IL,60621,6,0,0,2010,0
126,17,IL,60622,1,10229,132153,2010,1351793037
127,17,IL,60622,2,7602,277457,2010,2109228114
128,17,IL,60622,3,4024,245639,2010,988451336
129,17,IL,60622,4,2008,172705,2010,346791640
130,17,IL,60622,5,2895,402617,2010,1165576215
131,17,IL,60622,6,1486,699950,2010,1040125700
132,17,IL,60623,1,21142,289317,2010,6116740014
133,17,IL,60623,2,9282,316492,2010,2937678744
134,17,IL,60623,3,1977,118192,2010,233665584
135,17,IL,60623,4,537,45316,2010,24334692
136,17,IL,60623,5,229,29140,2010,6673060
137,17,IL,60623,6,21,16013,2010,336273
138,17,IL,60624,1,10983,142732,2010,1567625556
139,17,IL,60624,2,3620,124623,2010,451135260
140,17,IL,60624,3,918,55111,2010,50591898
141,17,IL,60624,4,278,23629,2010,6568862
142,17,IL,60624,5,159,22202,2010,3530118
143,17,IL,60624,6,0,0,2010,0
144,17,IL,60625,1,15365,199095,2010,3059094675
145,17,IL,60625,2,9621,345794,2010,3326884074
146,17,IL,60625,3,4639,283429,2010,1314827131
147,17,IL,60625,4,2362,203437,2010,480518194
148,17,IL,60625,5,2626,350316,2010,919929816
149,17,IL,60625,6,754,286851,2010,216285654
150,17,IL,60626,1,10394,137085,2010,1424861490
151,17,IL,60626,2,6158,219751,2010,1353226658
152,17,IL,60626,3,2814,172329,2010,484933806
153,17,IL,60626,4,1303,112186,2010,146178358
154,17,IL,60626,5,1284,168213,2010,215985492
155,17,IL,60626,6,191,64232,2010,12268312
156,17,IL,60628,1,17529,228154,2010,3999311466
157,17,IL,60628,2,8878,315947,2010,2804977466
158,17,IL,60628,3,3785,228734,2010,865758190
159,17,IL,60628,4,1528,129689,2010,198164792
160,17,IL,60628,5,766,95202,2010,72924732
161,17,IL,60628,6,38,14604,2010,554952
162,17,IL,60629,1,23724,325594,2010,7724392056
163,17,IL,60629,2,14159,495820,2010,7020315380
164,17,IL,60629,3,4783,289281,2010,1383631023
165,17,IL,60629,4,1757,149240,2010,262214680
166,17,IL,60629,5,904,111161,2010,100489544
167,17,IL,60629,6,45,12452,2010,560340
168,17,IL,60630,1,10876,132835,2010,1444713460
169,17,IL,60630,2,6691,241962,2010,1618967742
170,17,IL,60630,3,3874,238197,2010,922775178
171,17,IL,60630,4,2323,200133,2010,464908959
172,17,IL,60630,5,2561,335092,2010,858170612
173,17,IL,60630,6,326,100230,2010,32674980
174,17,IL,60631,1,4562,51620,2010,235490440
175,17,IL,60631,2,2945,108107,2010,318375115
176,17,IL,60631,3,2380,147984,2010,352201920
177,17,IL,60631,4,1825,157505,2010,287446625
178,17,IL,60631,5,2826,384676,2010,1087094376
179,17,IL,60631,6,462,145211,2010,67087482
180,17,IL,60632,1,18666,261561,2010,4882297626
181,17,IL,60632,2,11396,396211,2010,4515220556
