,STATEFIPS,STATE,ZIPCODE,agi_stub,#_of_returns,AGI,returns x AGI
0,17,IL,60601,1,1114,13248,14758272
1,17,IL,60601,2,1186,44758,53082988
2,17,IL,60601,3,1084,67183,72826372
3,17,IL,60601,4,799,68822,54988778
4,17,IL,60601,5,1300,181857,236414100
5,17,IL,60601,6,953,856708,816442724
6,17,IL,60602,1,580,5644,3273520
7,17,IL,60602,2,223,8257,1841311
8,17,IL,60602,3,179,10935,1957365
9,17,IL,60602,4,89,7660,681740
10,17,IL,60602,5,179,25110,4494690
11,17,IL,60602,6,213,192435,40988655
12,17,IL,60603,1,492,4263,2097396
13,17,IL,60603,2,230,8546,1965580
14,17,IL,60603,3,170,10397,1767490
15,17,IL,60603,4,123,10649,1309827
16,17,IL,60603,5,209,29526,6170934
17,17,IL,60603,6,268,356164,95451952
18,17,IL,60604,1,305,3118,950990
19,17,IL,60604,2,158,5917,934886
20,17,IL,60604,3,93,5725,532425
21,17,IL,60604,4,68,5842,397256
22,17,IL,60604,5,144,20428,2941632
23,17,IL,60604,6,182,490151,89207482
24,17,IL,60605,1,2354,27676,65149304
25,17,IL,60605,2,2036,77861,158524996
26,17,IL,60605,3,2214,137253,303878142
27,17,IL,60605,4,1653,143998,238028694
28,17,IL,60605,5,2755,381880,1052079400
29,17,IL,60605,6,1358,595124,808178392
30,17,IL,60606,1,443,5236,2319548
31,17,IL,60606,2,414,15971,6611994
32,17,IL,60606,3,462,28609,13217358
33,17,IL,60606,4,331,28676,9491756
34,17,IL,60606,5,594,83299,49479606
35,17,IL,60606,6,455,678296,308624680
36,17,IL,60607,1,3170,35924,113879080
37,17,IL,60607,2,2332,87310,203606920
38,17,IL,60607,3,2015,125012,251899180
39,17,IL,60607,4,1477,128128,189245056
40,17,IL,60607,5,2426,337294,818275244
41,17,IL,60607,6,1138,441879,502858302
42,17,IL,60608,1,15798,205913,3253013574
43,17,IL,60608,2,8564,298822,2559111608
44,17,IL,60608,3,2948,178942,527521016
45,17,IL,60608,4,1231,105482,129848342
46,17,IL,60608,5,1091,145990,159275090
47,17,IL,60608,6,248,98542,24438416
48,17,IL,60609,1,14313,189699,2715161787
49,17,IL,60609,2,6452,225227,1453164604
50,17,IL,60609,3,2070,125359,259493130
51,17,IL,60609,4,815,69505,56646575
52,17,IL,60609,5,781,102797,80284457
53,17,IL,60609,6,113,45968,5194384
54,17,IL,60610,1,5516,65957,363818812
55,17,IL,60610,2,4718,177484,837369512
56,17,IL,60610,3,3764,231568,871621952
57,17,IL,60610,4,2274,195782,445208268
58,17,IL,60610,5,3243,449807,1458724101
59,17,IL,60610,6,2568,1988037,5105279016
60,17,IL,60611,1,3195,37491,119783745
61,17,IL,60611,2,3075,116940,359590500
62,17,IL,60611,3,2900,179193,519659700
63,17,IL,60611,4,1930,167383,323049190
64,17,IL,60611,5,3321,465931,1547356851
65,17,IL,60611,6,3455,4014194,13869040270
66,17,IL,60612,1,8495,107460,912872700
67,17,IL,60612,2,3637,130053,473002761
68,17,IL,60612,3,1554,95013,147650202
69,17,IL,60612,4,769,66282,50970858
70,17,IL,60612,5,797,107505,85681485
71,17,IL,60612,6,226,78803,17809478
72,17,IL,60613,1,8099,104017,842433683
73,17,IL,60613,2,7700,285114,2195377800
74,17,IL,60613,3,4920,301322,1482504240
75,17,IL,60613,4,2782,239558,666450356
76,17,IL,60613,5,3640,497282,1810106480
77,17,IL,60613,6,1810,880738,1594135780
78,17,IL,60614,1,7734,92419,714768546
79,17,IL,60614,2,7832,294440,2306054080
80,17,IL,60614,3,5932,362772,2151963504
81,17,IL,60614,4,3210,276571,887792910
82,17,IL,60614,5,5386,758524,4085410264
83,17,IL,60614,6,5453,4126063,22499421539
84,17,IL,60615,1,7962,97498,776279076
85,17,IL,60615,2,4872,175087,853023864
86,17,IL,60615,3,2518,154326,388592868
87,17,IL,60615,4,1298,111890,145233220
88,17,IL,60615,5,1454,198881,289172974
89,17,IL,60615,6,723,322806,233388738
90,17,IL,60616,1,10220,123437,1261526140
91,17,IL,60616,2,5744,208305,1196503920
92,17,IL,60616,3,3262,199725,651502950
93,17,IL,60616,4,1819,156357,284413383
94,17,IL,60616,5,2059,276324,568951116
95,17,IL,60616,6,622,239484,148959048
96,17,IL,60617,1,18417,238017,4383559089
97,17,IL,60617,2,9689,345013,3342830957
98,17,IL,60617,3,4612,281501,1298282612
99,17,IL,60617,4,1999,171431,342690569
100,17,IL,60617,5,1358,172407,234128706
101,17,IL,60617,6,93,28127,2615811
102,17,IL,60618,1,18008,235416,4239371328
103,17,IL,60618,2,12078,431743,5214591954
104,17,IL,60618,3,5655,345963,1956420765
105,17,IL,60618,4,2939,253155,744022545
106,17,IL,60618,5,3834,520976,1997421984
107,17,IL,60618,6,1777,731239,1299411703
108,17,IL,60619,1,16057,207621,3333770397
109,17,IL,60619,2,8275,294999,2441116725
110,17,IL,60619,3,3858,234509,904735722
111,17,IL,60619,4,1603,136262,218427986
