,STATEFIPS,STATE,zipcode,AGI_STUB,#_of_returns,AGI,returns x AGI
0,17,IL,60601,1,980,11703,11468940
1,17,IL,60601,2,1020,38541,39311820
2,17,IL,60601,3,1120,69248,77557760
3,17,IL,60601,4,810,69957,56665170
4,17,IL,60601,5,1430,198013,283158590
5,17,IL,60601,6,1060,1240525,1314956500
6,17,IL,60602,1,500,4518,2259000
7,17,IL,60602,2,200,7368,1473600
8,17,IL,60602,3,180,10853,1953540
9,17,IL,60602,4,100,8620,862000
10,17,IL,60602,5,170,23999,4079830
11,17,IL,60602,6,220,335605,73833100
12,17,IL,60603,1,480,4254,2041920
13,17,IL,60603,2,210,7646,1605660
14,17,IL,60603,3,180,11106,1999080
15,17,IL,60603,4,120,10190,1222800
16,17,IL,60603,5,250,35522,8880500
17,17,IL,60603,6,320,441751,141360320
18,17,IL,60604,1,210,2408,505680
19,17,IL,60604,2,140,5130,718200
20,17,IL,60604,3,100,6351,635100
21,17,IL,60604,4,60,5034,302040
22,17,IL,60604,5,160,23390,3742400
23,17,IL,60604,6,210,427994,89878740
24,17,IL,60605,1,2210,25395,56122950
25,17,IL,60605,2,1930,73642,142129060
26,17,IL,60605,3,2180,135566,295533880
27,17,IL,60605,4,1680,145852,245031360
28,17,IL,60605,5,2890,401529,1160418810
29,17,IL,60605,6,1520,673689,1024007280
30,17,IL,60606,1,370,4456,1648720
31,17,IL,60606,2,390,15263,5952570
32,17,IL,60606,3,410,25482,10447620
33,17,IL,60606,4,330,29091,9600030
34,17,IL,60606,5,620,87450,54219000
35,17,IL,60606,6,470,937983,440852010
36,17,IL,60607,1,2840,32090,91135600
37,17,IL,60607,2,1990,74870,148991300
38,17,IL,60607,3,2010,124792,250831920
39,17,IL,60607,4,1540,133336,205337440
40,17,IL,60607,5,2580,361465,932579700
41,17,IL,60607,6,1260,667296,840792960
42,17,IL,60608,1,15390,202328,3113827920
43,17,IL,60608,2,8600,301874,2596116400
44,17,IL,60608,3,3050,185243,564991150
45,17,IL,60608,4,1300,111436,144866800
46,17,IL,60608,5,1190,156907,186719330
47,17,IL,60608,6,270,93131,25145370
48,17,IL,60609,1,13760,180770,2487395200
49,17,IL,60609,2,6390,222327,1420669530
50,17,IL,60609,3,2080,126296,262695680
51,17,IL,60609,4,890,75707,67379230
52,17,IL,60609,5,840,111728,93851520
53,17,IL,60609,6,120,45087,5410440
54,17,IL,60610,1,4970,61405,305182850
55,17,IL,60610,2,4450,167789,746661050
56,17,IL,60610,3,3920,240755,943759600
57,17,IL,60610,4,2350,202835,476662250
58,17,IL,60610,5,3400,471356,1602610400
59,17,IL,60610,6,2800,2479721,6943218800
