,STATEFIPS,STATE,zipcode,agi_stub,#_of_returns,AGI,returns x AGI
0,17,IL,60601,1,970,11590,11242300
1,17,IL,60601,2,950,35902,34106900
2,17,IL,60601,3,1280,80953,103619840
3,17,IL,60601,4,1140,99204,113092560
4,17,IL,60601,5,2070,294035,608652450
5,17,IL,60601,6,1640,1878669,3081017160
6,17,IL,60602,1,360,3611,1299960
7,17,IL,60602,2,180,6698,1205640
8,17,IL,60602,3,160,10091,1614560
9,17,IL,60602,4,110,9154,1006940
10,17,IL,60602,5,200,28867,5773400
11,17,IL,60602,6,290,485590,140821100
12,17,IL,60603,1,190,1945,369550
13,17,IL,60603,2,130,5038,654940
14,17,IL,60603,3,140,8654,1211560
15,17,IL,60603,4,120,10392,1247040
16,17,IL,60603,5,280,40091,11225480
17,17,IL,60603,6,450,802253,361013850
18,17,IL,60604,1,150,1486,222900
19,17,IL,60604,2,100,3750,375000
20,17,IL,60604,3,70,4191,293370
21,17,IL,60604,4,50,4132,206600
22,17,IL,60604,5,110,16211,1783210
23,17,IL,60604,6,140,374245,52394300
24,17,IL,60605,1,2120,24222,51350640
25,17,IL,60605,2,1970,74187,146148390
26,17,IL,60605,3,2670,166313,444055710
27,17,IL,60605,4,2250,195921,440822250
28,17,IL,60605,5,4190,584922,2450823180
29,17,IL,60605,6,2440,1113788,2717642720
30,17,IL,60606,1,270,3361,907470
31,17,IL,60606,2,290,11232,3257280
32,17,IL,60606,3,430,27516,11831880
33,17,IL,60606,4,390,33312,12991680
34,17,IL,60606,5,720,101114,72802080
35,17,IL,60606,6,680,1424233,968478440
36,17,IL,60607,1,2090,24372,50937480
37,17,IL,60607,2,1730,64576,111716480
38,17,IL,60607,3,2120,132092,280035040
39,17,IL,60607,4,1800,156504,281707200
40,17,IL,60607,5,3420,480938,1644807960
41,17,IL,60607,6,2590,1290349,3342003910
42,17,IL,60608,1,11960,161037,1926002520
43,17,IL,60608,2,9660,347570,3357526200
44,17,IL,60608,3,4370,264663,1156577310
45,17,IL,60608,4,2020,173565,350601300
46,17,IL,60608,5,2150,289161,621696150
47,17,IL,60608,6,570,196568,112043760
48,17,IL,60609,1,10890,149995,1633445550
49,17,IL,60609,2,7580,269712,2044416960
50,17,IL,60609,3,2760,166505,459553800
51,17,IL,60609,4,1200,102890,123468000
52,17,IL,60609,5,1300,174470,226811000
53,17,IL,60609,6,300,114617,34385100
54,17,IL,60610,1,4040,50751,205034040
55,17,IL,60610,2,3650,138349,504973850
56,17,IL,60610,3,4350,271131,1179419850
57,17,IL,60610,4,3330,288348,960198840
58,17,IL,60610,5,4820,668344,3221418080
59,17,IL,60610,6,3870,3702371,14328175770
60,17,IL,60611,1,2360,27590,65112400
61,17,IL,60611,2,2390,90848,217126720
62,17,IL,60611,3,3280,205323,673459440
63,17,IL,60611,4,2540,219805,558304700
64,17,IL,60611,5,4680,658115,3079978200
65,17,IL,60611,6,5320,5431830,28897335600
66,17,IL,60612,1,5880,80007,470441160
67,17,IL,60612,2,3640,130491,474987240
68,17,IL,60612,3,1890,114907,217174230
69,17,IL,60612,4,1060,91218,96691080
70,17,IL,60612,5,1210,164333,198842930
71,17,IL,60612,6,540,211471,114194340
72,17,IL,60613,1,5710,74191,423630610
73,17,IL,60613,2,6710,253205,1699005550
74,17,IL,60613,3,5670,349197,1979946990
75,17,IL,60613,4,3450,297808,1027437600
76,17,IL,60613,5,4700,651808,3063497600
77,17,IL,60613,6,2950,1603914,4731546300
78,17,IL,60614,1,5220,62994,328828680
79,17,IL,60614,2,5710,218686,1248697060
80,17,IL,60614,3,6630,411612,2728987560
81,17,IL,60614,4,4210,362124,1524542040
82,17,IL,60614,5,6430,902023,5800007890
83,17,IL,60614,6,7850,7608231,59724613350
84,17,IL,60615,1,6430,81714,525421020
85,17,IL,60615,2,4850,177369,860239650
86,17,IL,60615,3,2740,168122,460654280
87,17,IL,60615,4,1610,138785,223443850
88,17,IL,60615,5,2000,272482,544964000
89,17,IL,60615,6,1110,520352,577590720
90,17,IL,60616,1,9200,114125,1049950000
91,17,IL,60616,2,5470,199153,1089366910
92,17,IL,60616,3,3590,220695,792295050
93,17,IL,60616,4,2200,190392,418862400
94,17,IL,60616,5,3080,420408,1294856640
95,17,IL,60616,6,1250,525908,657385000
96,17,IL,60617,1,14740,197722,2914422280
97,17,IL,60617,2,9780,351708,3439704240
98,17,IL,60617,3,4630,284390,1316725700
99,17,IL,60617,4,2530,217778,550978340
100,17,IL,60617,5,1930,251702,485784860
101,17,IL,60617,6,170,57223,9727910
102,17,IL,60618,1,12430,163375,2030751250
103,17,IL,60618,2,11570,422762,4891356340
104,17,IL,60618,3,6760,413569,2795726440
105,17,IL,60618,4,3940,340747,1342543180
106,17,IL,60618,5,5750,799881,4599315750
107,17,IL,60618,6,3710,1680525,6234747750
108,17,IL,60619,1,12460,168066,2094102360
109,17,IL,60619,2,8110,291193,2361575230
110,17,IL,60619,3,3690,225113,830666970
111,17,IL,60619,4,1920,165110,317011200
112,17,IL,60619,5,1430,184765,264213950
113,17,IL,60619,6,140,37677,5274780
114,17,IL,60620,1,14210,192372,2733606120
115,17,IL,60620,2,8910,319483,2846593530
116,17,IL,60620,3,3960,241638,956886480
117,17,IL,60620,4,1650,141485,233450250
118,17,IL,60620,5,1030,130244,134151320
119,17,IL,60620,6,70,19278,1349460
120,17,IL,60621,1,6460,88266,570198360
121,17,IL,60621,2,2750,95230,261882500
122,17,IL,60621,3,690,41410,28572900
123,17,IL,60621,4,270,22663,6119010
124,17,IL,60621,5,120,16801,2016120
125,17,IL,60621,6,0,0,0
126,17,IL,60622,1,6050,80277,485675850
127,17,IL,60622,2,6370,237186,1510874820
128,17,IL,60622,3,5360,330553,1771764080
129,17,IL,60622,4,3160,272552,861264320
130,17,IL,60622,5,4750,664823,3157909250
131,17,IL,60622,6,3620,1760899,6374454380
132,17,IL,60623,1,15440,217598,3359713120
133,17,IL,60623,2,10960,384339,4212355440
134,17,IL,60623,3,3100,185853,576144300
135,17,IL,60623,4,990,84307,83463930
136,17,IL,60623,5,510,63043,32151930
137,17,IL,60623,6,50,16755,837750
138,17,IL,60624,1,7960,110193,877136280
139,17,IL,60624,2,4250,147973,628885250
140,17,IL,60624,3,1140,68906,78552840
141,17,IL,60624,4,410,34600,14186000
142,17,IL,60624,5,240,29977,7194480
143,17,IL,60624,6,30,7170,215100
144,17,IL,60625,1,11650,151746,1767840900
145,17,IL,60625,2,9870,360191,3555085170
146,17,IL,60625,3,5590,342742,1915927780
147,17,IL,60625,4,3100,267681,829811100
148,17,IL,60625,5,4150,569563,2363686450
149,17,IL,60625,6,1790,794102,1421442580
150,17,IL,60626,1,8020,105563,846615260
151,17,IL,60626,2,7360,266366,1960453760
152,17,IL,60626,3,3610,219797,793467170
153,17,IL,60626,4,1740,150021,261036540
154,17,IL,60626,5,1900,255191,484862900
155,17,IL,60626,6,450,149692,67361400
156,17,IL,60628,1,13420,181791,2439635220
157,17,IL,60628,2,8150,290938,2371144700
158,17,IL,60628,3,3780,231616,875508480
159,17,IL,60628,4,1770,151043,267346110
160,17,IL,60628,5,1150,144826,166549900
161,17,IL,60628,6,60,16697,1001820
162,17,IL,60629,1,20150,280017,5642342550
163,17,IL,60629,2,16410,585673,9610893930
164,17,IL,60629,3,6710,408005,2737713550
165,17,IL,60629,4,2790,238803,666260370
166,17,IL,60629,5,1930,242512,468048160
167,17,IL,60629,6,100,41622,4162200
168,17,IL,60630,1,8560,104934,898235040
169,17,IL,60630,2,6650,243612,1620019800
170,17,IL,60630,3,4080,250983,1024010640
171,17,IL,60630,4,2690,233337,627676530
172,17,IL,60630,5,4140,564887,2338632180
173,17,IL,60630,6,940,285836,268685840
174,17,IL,60631,1,3530,39659,139996270
175,17,IL,60631,2,2570,95141,244512370
176,17,IL,60631,3,2180,135528,295451040
177,17,IL,60631,4,1880,164009,308336920
178,17,IL,60631,5,3870,546844,2116286280
179,17,IL,60631,6,1310,409013,535807030
180,17,IL,60632,1,15330,212897,3263711010
181,17,IL,60632,2,13390,478366,6405320740
182,17,IL,60632,3,4920,297404,1463227680
183,17,IL,60632,4,1890,161030,304346700
184,17,IL,60632,5,1110,138912,154192320
185,17,IL,60632,6,80,37950,3036000
186,17,IL,60633,1,2080,27520,57241600
187,17,IL,60633,2,1610,58397,94019170
188,17,IL,60633,3,930,57027,53035110
189,17,IL,60633,4,580,50323,29187340
190,17,IL,60633,5,520,67919,35317880
191,17,IL,60633,6,50,13038,651900
192,17,IL,60634,1,13360,167155,2233190800
193,17,IL,60634,2,10140,368541,3737005740
194,17,IL,60634,3,5920,364058,2155223360
195,17,IL,60634,4,3720,321325,1195329000
196,17,IL,60634,5,4450,592768,2637817600
